level	f1	f5	depth	correct	total	rate_mil	prov
L1	100	125	1	0	10	0	kb-diet-v3c:cell:L1
L1	100	142	1	0	5	0	kb-diet-v3c:cell:L1
L1	100	200	1	0	16	0	kb-diet-v3c:cell:L1
L1	100	250	1	0	44	0	kb-diet-v3c:cell:L1
L1	100	333	1	0	58	0	kb-diet-v3c:cell:L1
L1	100	500	1	0	24	0	kb-diet-v3c:cell:L1
L1	150	23	1	0	2	0	kb-diet-v3c:cell:L1
L1	150	24	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	150	45	1	0	2	0	kb-diet-v3c:cell:L1
L1	150	47	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	150	71	1	0	2	0	kb-diet-v3c:cell:L1
L1	150	76	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	150	125	1	0	2	0	kb-diet-v3c:cell:L1
L1	150	142	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	200	200	1	1	1	1000000	kb-diet-v3c:cell:L1
L1	200	250	2	0	10	0	kb-diet-v3c:cell:L1
L1	200	285	2	0	5	0	kb-diet-v3c:cell:L1
L1	200	400	2	0	16	0	kb-diet-v3c:cell:L1
L1	200	500	2	0	44	0	kb-diet-v3c:cell:L1
L1	200	666	2	0	30	0	kb-diet-v3c:cell:L1
L1	200	800	4	1	1	1000000	kb-diet-v3c:cell:L1
L1	250	23	1	0	2	0	kb-diet-v3c:cell:L1
L1	250	24	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	250	45	1	0	2	0	kb-diet-v3c:cell:L1
L1	250	47	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	250	71	1	0	2	0	kb-diet-v3c:cell:L1
L1	250	76	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	250	125	1	0	2	0	kb-diet-v3c:cell:L1
L1	250	142	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	300	23	1	0	2	0	kb-diet-v3c:cell:L1
L1	300	24	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	300	45	1	0	2	0	kb-diet-v3c:cell:L1
L1	300	47	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	300	71	1	0	2	0	kb-diet-v3c:cell:L1
L1	300	76	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	300	125	1	0	2	0	kb-diet-v3c:cell:L1
L1	300	142	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	400	23	1	0	2	0	kb-diet-v3c:cell:L1
L1	400	24	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	400	45	1	0	2	0	kb-diet-v3c:cell:L1
L1	400	47	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	400	71	1	0	2	0	kb-diet-v3c:cell:L1
L1	400	76	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	400	125	1	0	2	0	kb-diet-v3c:cell:L1
L1	400	142	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	400	200	1	1	1	1000000	kb-diet-v3c:cell:L1
L1	400	400	2	1	1	1000000	kb-diet-v3c:cell:L1
L1	400	500	4	0	10	0	kb-diet-v3c:cell:L1
L1	400	571	4	0	5	0	kb-diet-v3c:cell:L1
L1	425	20	1	1	1	1000000	kb-diet-v3c:cell:L1
L1	425	23	1	1	1	1000000	kb-diet-v3c:cell:L1
L1	425	28	1	1	1	1000000	kb-diet-v3c:cell:L1
L1	425	29	1	1	1	1000000	kb-diet-v3c:cell:L1
L1	425	33	1	1	1	1000000	kb-diet-v3c:cell:L1
L1	425	37	1	1	1	1000000	kb-diet-v3c:cell:L1
L1	425	40	1	1	1	1000000	kb-diet-v3c:cell:L1
L1	425	50	1	1	1	1000000	kb-diet-v3c:cell:L1
L1	425	52	1	2	2	1000000	kb-diet-v3c:cell:L1
L1	425	71	1	1	1	1000000	kb-diet-v3c:cell:L1
L1	425	76	1	2	2	1000000	kb-diet-v3c:cell:L1
