rowid	candidate	qtype	query	domain	url	title	snippet	stance
V3-01-q0-r0	V3-01	neutral	how many chambers does the human heart have	en.wikipedia.org	https://en.wikipedia.org/wiki/Anatomy_of_the_human_heart	Anatomy of the human heart	The heart has four chambers: the left and right atriums and the left and right ventricles.	SUPPORT
V3-01-q0-r1	V3-01	neutral	how many chambers does the human heart have	sciencefocus.com	https://www.sciencefocus.com/the-human-body/how-many-chambers-does-the-heart-have	How do the chambers of the heart work? - BBC Science Focus Magazine	A heart has four chambers in total - two upper, and two lower. The upper chambers, called the right and left atria, receive incoming blood.	SUPPORT
V3-01-q0-r2	V3-01	neutral	how many chambers does the human heart have	encyclopedia.nm.org	https://encyclopedia.nm.org/library/Wellness/InjuriesEmergencies/85,P00192	Basic Anatomy of the Heart | Northwestern Medicine	The heart is made up of: 4 chambers (2 atria and 2 ventricles) that get blue (deoxygenated) blood from the body.	SUPPORT
V3-01-q0-r3	V3-01	neutral	how many chambers does the human heart have	mayoclinic.org	https://www.mayoclinic.org/tests-procedures/aortic-valve-repair-aortic-valve-replacement/multimedia/img-20305790	Chambers and valves of the heart - Mayo Clinic	A typical heart has two upper and two lower chambers. The upper chambers, the right and left atria, receive incoming blood.	SUPPORT
V3-01-q1-r0	V3-01	disconfirm	human heart four chambers myth OR debunked	testbook.com	https://testbook.com/question-answer/why-does-the-human-heart-has-different-chambers--693c10ea0807d4405477dfb9	[SOLVED] Why does the human heart has different chambers?	The human heart has four chambers: two atria (upper chambers) and two ventricles (lower chambers). This structural arrangement is crucial for maintaining the separation of oxygenated and deoxygenated blood.	SUPPORT
V3-01-q1-r1	V3-01	disconfirm	human heart four chambers myth OR debunked	homework.study.com	https://homework.study.com/explanation/true-or-false-the-human-heart-has-five-chambers.html	True or False: The human heart has five chambers.	The correct option is False. The human heart has four chambers.	SUPPORT
V3-01-q1-r2	V3-01	disconfirm	human heart four chambers myth OR debunked	answers.com	https://www.answers.com/art-and-architecture/Does_the_heart_consist_of_five_chambers	Does the heart consist of five chambers? - Answers	no. the heart only has 4 chambers	SUPPORT
V3-01-q1-r3	V3-01	disconfirm	human heart four chambers myth OR debunked	infinitylearn.com	https://infinitylearn.com/question-answer/is-it-true-that-human-heart-has-three-chambers-444385	Is it true that human heart has three chambers?	Human heart has four chambers, two atria and two ventricles.	SUPPORT
V3-02-q0-r0	V3-02	neutral	what causes ocean tides on earth moon gravity	science.nasa.gov	https://science.nasa.gov/resource/tides/	Tides - NASA Science	On Earth, the Moon's gravitational pull causes the oceans to bulge out on both the side closest to the Moon and the side farthest from the Moon. These bulges create high tides.	SUPPORT
V3-02-q0-r1	V3-02	neutral	what causes ocean tides on earth moon gravity	wtamu.edu	https://wtamu.edu/~cbaird/sq/mobile/2012/12/14/i-know-that-the-gravity-of-the-moon-causes-ocean-tides-on-earth-how-does-centrifugal-force-cause-the-far-side-bulge/	How does centrifugal force cause the far-side bulge? | WTAMU	Tidal effects are instead caused by gravitational gradients, which are differences in gravity from one point on earth to the next... both the sun's and the moon's gravity add together to create the tidal bulges.	SUPPORT
V3-02-q0-r2	V3-02	neutral	what causes ocean tides on earth moon gravity	open.maricopa.edu	https://open.maricopa.edu/mccasth5p/chapter/ocean-tides-and-the-moon/	Ocean Tides and the Moon – MCC AST	The twice-daily ocean tides are primarily the result of the Moon's differential force on the material of Earth's crust and ocean.	SUPPORT
V3-02-q0-r3	V3-02	neutral	what causes ocean tides on earth moon gravity	skyatnightmagazine.com	https://www.skyatnightmagazine.com/space-science/what-causes-tides-moon	What causes the tides | BBC Sky at Night Magazine	The gravitational pull of the Moon hauls up Earth's oceans into two bulges on opposite sides of the planet.	SUPPORT
V3-02-q1-r0	V3-02	disconfirm	moon does not cause tides alternative explanation	yourweather.co.uk	https://www.yourweather.co.uk/news/astronomy/how-the-moon-influences-the-tides-the-scientific-explanation.html	How the Moon influences the tides: the scientific explanation	The daily dance of the tides in our oceans is caused mainly by the Moon's gravitational force. Although the Sun also exerts a considerable pull, solar tides are only about half as strong as lunar tides.	SUPPORT
V3-02-q1-r1	V3-02	disconfirm	moon does not cause tides alternative explanation	medium.com	https://medium.com/@arturormk/dont-sound-stupid-about-tides-ccfd22168533	Don't Sound Stupid About Tides	As a first explanation of the source of tidal forcing, the two-bulge model has value. It teaches that tides come from gradients, not from ordinary gravity alone. It also helps explain why there are often two high tides per lunar day rather than one.	SUPPORT
V3-02-q1-r2	V3-02	disconfirm	moon does not cause tides alternative explanation	github.com	https://github.com/mvnaol2026/gravity-does-not-exist/blob/HEAD/EN/07_chapters_21-25.md	Why the Moon Influences Tides (alternative gravity theory)	Tides and ebb tides are not the 'stretching of water by the Moon.' They represent a redistribution of water under the action of the aol space pressure, factoring in the law of two-sided compression.	REFUTE
V3-02-q1-r3	V3-02	disconfirm	moon does not cause tides alternative explanation	rxiv.org	https://rxiv.org/pdf/2306.0042v2.pdf	How fictitious forces instead of gravity create tides	Moon's gravity is negligible compared to the centrifugal forces at Earth's surface... So any influence of the Moon along this way in the form of spring and neap tides must be considered impossible too.	REFUTE
V3-03-q0-r0	V3-03	neutral	why does ice float on water expands when freezes	sciencetimes.com	https://Www.Sciencetimes.Com/articles/60790/20251114/why-ice-floats-exploring-density-water-buoyancy-thermal-expansion-explained.htm	Why Ice Floats: Exploring Density of Water, Buoyancy, and Thermal Expansion Explained	When water freezes into ice at 0C, it expands even more, decreasing its density significantly compared to liquid water.	SUPPORT
V3-03-q0-r1	V3-03	neutral	why does ice float on water expands when freezes	testbook.com	https://testbook.com/question-answer/ice-floats-on-water-because-a-being-a-solid--6496abf90b62bcdf34ba8c13	Ice floats on water because	When water freezes and becomes ice, it actually expands and becomes less dense. That's why ice floats on water.	SUPPORT
V3-03-q0-r2	V3-03	neutral	why does ice float on water expands when freezes	livescience.com	https://www.livescience.com/chemistry/why-does-ice-float	Why does ice float? | Live Science	When water freezes, these hydrogen bonds form a crystal lattice... There's a lot of empty space within this lattice structure... leading to ice's lower density.	SUPPORT
V3-03-q0-r3	V3-03	neutral	why does ice float on water expands when freezes	cordis.europa.eu	https://cordis.europa.eu/article/id/454697-why-does-ice-float	Why does ice float? | CORDIS	As water freezes, its molecules arrange themselves into a crystal structure, leaving extra space between themselves and making ice less dense than liquid water.	SUPPORT
V3-03-q1-r0	V3-03	disconfirm	does ice sink in water claim	gauthmath.com	https://www.gauthmath.com/solution/1815070857014311/Does-solid-ice-float-or-sink-on-liquid-water-Sink-Float-	Does solid ice float or sink on liquid water?	Since ice is less dense than water, it will not sink but instead float on the surface of liquid water.	SUPPORT
V3-03-q1-r1	V3-03	disconfirm	does ice sink in water claim	enviroliteracy.org	https://enviroliteracy.org/animals/does-heavy-water-ice-float-or-sink/	Does heavy water ice float or sink?	Just as regular ice floats in regular water because it is less dense.	SUPPORT
