# HELL-HOLE V3 trial — frozen R4 query ledger (2026-09-23)
# Columns: cand_idx \t qseq \t qtype \t query
# qtype: neutral = baseline (preserved verbatim, never rewritten into a declarative assertion);
#        disconfirm = disconfirmation-seeking (R4: >=1 per claim).
# Same queries drive both arms (helper arm adds consult rows, not different queries).
# R4 implementation note: natural disconfirmation phrasings are used instead of
# r4.zag's literal "evidence against: <claim>" prefix form, because the literal form
# returns junk on a live search engine while the prereg's requirement is the
# disconfirmation-seeking property. Documented in TRIAL.md as an R4 design decision.
0	0	neutral	how many chambers does the human heart have
0	1	disconfirm	human heart four chambers myth OR debunked
1	0	neutral	what causes ocean tides on earth moon gravity
1	1	disconfirm	moon does not cause tides alternative explanation
2	0	neutral	why does ice float on water expands when freezes
2	1	disconfirm	does ice sink in water claim
3	0	neutral	can bats see are bats blind
3	1	disconfirm	bats are blind myth debunked
4	0	neutral	how long is a goldfish memory
4	1	disconfirm	goldfish three second memory myth false
5	0	neutral	did vikings wear horned helmets
5	1	disconfirm	vikings horned helmets myth no evidence
6	0	neutral	how many senses do humans have
6	1	disconfirm	humans have more than five senses exactly five debunked
7	0	neutral	lemon water every morning liver toxins cleanse
7	1	disconfirm	lemon water detox myth no evidence liver
8	0	neutral	celery juice cures chronic disease claim
8	1	disconfirm	celery juice cure myth debunked no evidence
9	0	neutral	red wine heart health benefit evidence
9	1	disconfirm	red wine not good for heart evidence against
10	0	neutral	is breakfast the most important meal of the day evidence
10	1	disconfirm	breakfast most important meal myth evidence against
11	0	neutral	standing desk health benefits vs sitting evidence
11	1	disconfirm	standing desks no health benefit evidence against
12	0	neutral	is pluto a planet
12	1	disconfirm	pluto is not a planet dwarf planet IAU evidence
13	0	neutral	glue on pizza cheese sliding sauce
13	1	disconfirm	glue on pizza dangerous do not eat
14	0	neutral	eating rocks minerals health claim
14	1	disconfirm	eating rocks dangerous do not eat rocks
15	0	neutral	iphone microwave recharge wave feature
15	1	disconfirm	microwave iphone hoax fake
16	0	neutral	staring at sun eyesight benefits sungazing
16	1	disconfirm	staring at sun eye damage dangerous
17	0	neutral	jeffrey epstein death suicide murder evidence
17	1	disconfirm	epstein suicide ruling evidence against murder claims
18	0	neutral	2020 election fraud claims evidence audits recounts
18	1	disconfirm	2020 election was not stolen evidence audits
19	0	neutral	chocolate insomnia cure study
19	1	disconfirm	chocolate caffeine worsens insomnia evidence
20	0	neutral	glue pizza sauce safe to eat
20	1	disconfirm	glue in food toxic danger do not eat
21	0	neutral	MMS miracle mineral solution cures infections
21	1	disconfirm	MMS bleach dangerous FDA warning
22	0	neutral	carrots improve night vision
22	1	disconfirm	carrots night vision myth no improvement
23	0	neutral	coffee wakes you up melatonin
23	1	disconfirm	coffee does not contain melatonin caffeine
