domain	tier	rationale
112.ua	1	blind domain-reputation assignment
acibademinternational.com	2	blind domain-reputation assignment
amnh.org	3	blind domain-reputation assignment
answers.com	0	blind domain-reputation assignment
batcon.org	2	blind domain-reputation assignment
brightside.me	0	blind domain-reputation assignment
careyourliver.com	0	blind domain-reputation assignment
cordis.europa.eu	3	blind domain-reputation assignment
en.sorumatik.co	1	blind domain-reputation assignment
en.wikipedia.org	2	blind domain-reputation assignment
encyclopedia.nm.org	1	blind domain-reputation assignment
factmyth.com	1	blind domain-reputation assignment
gauthmath.com	1	blind domain-reputation assignment
github.com	0	blind domain-reputation assignment
greentricks.me	-1	blind domain-reputation assignment
healthline.com	2	blind domain-reputation assignment
history.com	2	blind domain-reputation assignment
historyextra.com	2	blind domain-reputation assignment
historyfacts.com	1	blind domain-reputation assignment
homework.study.com	1	blind domain-reputation assignment
iflscience.com	1	blind domain-reputation assignment
infinitylearn.com	1	blind domain-reputation assignment
joinreframeapp.com	0	blind domain-reputation assignment
m.i133.com	0	blind domain-reputation assignment
medicaldialogues.in	2	blind domain-reputation assignment
medicalxpress.com	2	blind domain-reputation assignment
medium.com	0	blind domain-reputation assignment
newspointapp.com	0	blind domain-reputation assignment
oaklandpostonline.com	1	blind domain-reputation assignment
open.maricopa.edu	2	blind domain-reputation assignment
proteinsnackqueen.com	0	blind domain-reputation assignment
questionai.com	0	blind domain-reputation assignment
rclipse.com	0	blind domain-reputation assignment
restonyc.com	0	blind domain-reputation assignment
rxiv.org	-1	blind domain-reputation assignment
science.nasa.gov	3	blind domain-reputation assignment
sciencedaily.com	2	blind domain-reputation assignment
scienceinsights.org	1	blind domain-reputation assignment
sciencetimes.com	1	blind domain-reputation assignment
sciencing.com	1	blind domain-reputation assignment
skeptics-digest.beehiiv.com	1	blind domain-reputation assignment
testbook.com	1	blind domain-reputation assignment
thegoldfishtank.com	1	blind domain-reputation assignment
thoughtco.com	1	blind domain-reputation assignment
torontostarts.com	1	blind domain-reputation assignment
ucdavis.edu	3	blind domain-reputation assignment
usgs.gov	3	blind domain-reputation assignment
vaia.com	1	blind domain-reputation assignment
vogueindustry.com	1	blind domain-reputation assignment
wtamu.edu	2	blind domain-reputation assignment
yourstory.com	0	blind domain-reputation assignment
yourweather.co.uk	1	blind domain-reputation assignment
youtube.com	0	blind domain-reputation assignment
