rep,id,status,leg0,leg1,leg2,leg3,leg4,leg5,leg6,leg7,leg8,leg9
0,0,0,1,1,1,1,1,1,1,1,1,1
0,37,0,12,12,12,12,12,12,12,12,12,12
0,26,0,1,1,1,1,1,1,1,1,1,1
0,15,0,16,16,16,16,16,16,16,16,16,16
0,4,0,5,5,5,5,5,5,5,5,5,5
0,41,0,16,16,16,16,16,16,16,16,16,16
0,30,0,5,5,5,5,5,5,5,5,5,5
0,19,0,20,20,20,20,20,20,20,20,20,20
0,8,0,9,9,9,9,9,9,9,9,9,9
0,45,0,20,20,20,20,20,20,20,20,20,20
0,34,0,9,9,9,9,9,9,9,9,9,9
0,23,0,24,24,24,24,24,24,24,24,24,24
0,12,0,13,13,13,13,13,13,13,13,13,13
0,38,0,13,13,13,13,13,13,13,13,13,13
0,27,0,2,2,2,2,2,2,2,2,2,2
0,16,0,17,17,17,17,17,17,17,17,17,17
0,5,0,6,6,6,6,6,6,6,6,6,6
0,42,0,17,17,17,17,17,17,17,17,17,17
0,31,0,6,6,6,6,6,6,6,6,6,6
0,20,0,21,21,21,21,21,21,21,21,21,21
0,9,0,10,10,10,10,10,10,10,10,10,10
0,46,0,21,21,21,21,21,21,21,21,21,21
0,35,0,10,10,10,10,10,10,10,10,10,10
0,24,0,25,25,25,25,25,25,25,25,25,25
0,13,0,14,14,14,14,14,14,14,14,14,14
0,2,0,3,3,3,3,3,3,3,3,3,3
0,39,0,14,14,14,14,14,14,14,14,14,14
0,28,0,3,3,3,3,3,3,3,3,3,3
0,17,0,18,18,18,18,18,18,18,18,18,18
0,6,0,7,7,7,7,7,7,7,7,7,7
0,43,0,18,18,18,18,18,18,18,18,18,18
0,32,0,7,7,7,7,7,7,7,7,7,7
0,21,0,22,22,22,22,22,22,22,22,22,22
0,10,0,11,11,11,11,11,11,11,11,11,11
0,36,0,11,11,11,11,11,11,11,11,11,11
0,25,0,26,26,26,26,26,26,26,26,26,26
0,14,0,15,15,15,15,15,15,15,15,15,15
0,3,0,5,5,5,5,5,5,5,5,5,5
0,40,0,15,15,15,15,15,15,15,15,15,15
0,29,0,6,6,6,6,6,6,6,6,6,6
0,18,0,19,19,19,19,19,19,19,19,19,19
0,7,0,8,8,8,8,8,8,8,8,8,8
0,44,0,19,19,19,19,19,19,19,19,19,19
0,33,0,8,8,8,8,8,8,8,8,8,8
0,22,0,23,23,23,23,23,23,23,23,23,23
0,11,0,12,12,12,12,12,12,12,12,12,12
0,85,0,5,5,5,5,5,5,5,5,5,5
0,74,0,20,20,20,20,20,20,20,20,20,20
0,63,0,16,16,16,16,16,16,16,16,16,16
0,52,0,5,5,5,5,5,5,5,5,5,5
0,89,0,7,7,7,7,7,7,7,7,7,7
0,78,0,4,4,4,4,4,4,4,4,4,4
0,67,0,20,20,20,20,20,20,20,20,20,20
0,56,0,9,9,9,9,9,9,9,9,9,9
0,93,0,7,7,7,7,7,7,7,7,7,7
0,82,0,6,6,6,6,6,6,6,6,6,6
0,71,0,21,21,21,21,21,21,21,21,21,21
0,60,0,13,13,13,13,13,13,13,13,13,13
0,86,0,5,5,5,5,5,5,5,5,5,5
0,75,0,25,25,25,25,25,25,25,25,25,25
0,64,0,17,17,17,17,17,17,17,17,17,17
0,53,0,6,6,6,6,6,6,6,6,6,6
0,90,0,8,8,8,8,8,8,8,8,8,8
0,79,0,8,8,8,8,8,8,8,8,8,8
0,68,0,21,21,21,21,21,21,21,21,21,21
0,57,0,10,10,10,10,10,10,10,10,10,10
0,94,0,4,4,4,4,4,4,4,4,4,4
0,83,0,7,7,7,7,7,7,7,7,7,7
0,72,0,21,21,21,21,21,21,21,21,21,21
0,61,0,14,14,14,14,14,14,14,14,14,14
0,50,0,3,3,3,3,3,3,3,3,3,3
0,87,0,4,4,4,4,4,4,4,4,4,4
0,76,0,28,28,28,28,28,28,28,28,28,28
0,65,0,18,18,18,18,18,18,18,18,18,18
0,54,0,7,7,7,7,7,7,7,7,7,7
0,91,0,10,10,10,10,10,10,10,10,10,10
0,80,0,8,8,8,8,8,8,8,8,8,8
0,69,0,22,22,22,22,22,22,22,22,22,22
0,58,0,11,11,11,11,11,11,11,11,11,11
0,95,0,3,3,3,3,3,3,3,3,3,3
0,84,0,4,4,4,4,4,4,4,4,4,4
0,73,0,21,21,21,21,21,21,21,21,21,21
0,62,0,15,15,15,15,15,15,15,15,15,15
0,51,0,4,4,4,4,4,4,4,4,4,4
0,88,0,5,5,5,5,5,5,5,5,5,5
0,77,0,4,4,4,4,4,4,4,4,4,4
0,66,0,19,19,19,19,19,19,19,19,19,19
0,55,0,7,7,7,7,7,7,7,7,7,7
0,92,0,9,9,9,9,9,9,9,9,9,9
0,81,0,8,8,8,8,8,8,8,8,8,8
0,70,0,21,21,21,21,21,21,21,21,21,21
0,59,0,12,12,12,12,12,12,12,12,12,12
0,133,0,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886
0,122,0,1859,1859,1859,1859,1859,1859,1859,1859,1859,1859
0,111,0,1813,1813,1813,1813,1813,1813,1813,1813,1813,1813
0,100,0,1623,1623,1623,1623,1623,1623,1623,1623,1623,1623
0,137,0,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891
0,126,0,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866
0,115,0,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847
0,104,0,1719,1719,1719,1719,1719,1719,1719,1719,1719,1719
0,141,0,1898,1898,1898,1898,1898,1898,1898,1898,1898,1898
0,130,0,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880
0,119,0,1852,1852,1852,1852,1852,1852,1852,1852,1852,1852
0,108,0,1759,1759,1759,1759,1759,1759,1759,1759,1759,1759
0,134,0,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886
0,123,0,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861
0,112,0,1818,1818,1818,1818,1818,1818,1818,1818,1818,1818
0,101,0,1651,1651,1651,1651,1651,1651,1651,1651,1651,1651
0,138,0,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892
0,127,0,1869,1869,1869,1869,1869,1869,1869,1869,1869,1869
0,116,0,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850
0,105,0,1726,1726,1726,1726,1726,1726,1726,1726,1726,1726
0,142,0,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903
0,131,0,1883,1883,1883,1883,1883,1883,1883,1883,1883,1883
0,120,0,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854
0,109,0,1766,1766,1766,1766,1766,1766,1766,1766,1766,1766
0,98,0,1608,1608,1608,1608,1608,1608,1608,1608,1608,1608
0,135,0,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887
0,124,0,1862,1862,1862,1862,1862,1862,1862,1862,1862,1862
0,113,0,1826,1826,1826,1826,1826,1826,1826,1826,1826,1826
0,102,0,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667
0,139,0,1896,1896,1896,1896,1896,1896,1896,1896,1896,1896
0,128,0,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871
0,117,0,1851,1851,1851,1851,1851,1851,1851,1851,1851,1851
0,106,0,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740
0,143,0,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925
0,132,0,1884,1884,1884,1884,1884,1884,1884,1884,1884,1884
0,121,0,1857,1857,1857,1857,1857,1857,1857,1857,1857,1857
0,110,0,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776
0,99,0,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611
0,136,0,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890
0,125,0,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865
0,114,0,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847
0,103,0,1688,1688,1688,1688,1688,1688,1688,1688,1688,1688
0,140,0,1897,1897,1897,1897,1897,1897,1897,1897,1897,1897
0,129,0,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878
0,118,0,1851,1851,1851,1851,1851,1851,1851,1851,1851,1851
0,107,0,1749,1749,1749,1749,1749,1749,1749,1749,1749,1749
0,144,0,26,26,26,26,26,26,26,26,26,26
0,181,0,11,11,11,11,11,11,11,11,11,11
0,218,0,9,9,9,9,9,9,9,9,9,9
0,159,0,3,3,3,3,3,3,3,3,3,3
0,233,0,30,30,30,30,30,30,30,30,30,30
0,174,0,50,50,50,50,50,50,50,50,50,50
0,211,0,7,7,7,7,7,7,7,7,7,7
0,152,0,60,60,60,60,60,60,60,60,60,60
0,189,0,21,21,21,21,21,21,21,21,21,21
0,226,0,100,100,100,100,100,100,100,100,100,100
0,167,0,6,6,6,6,6,6,6,6,6,6
0,204,0,4,4,4,4,4,4,4,4,4,4
0,145,0,5,5,5,5,5,5,5,5,5,5
0,182,0,4,4,4,4,4,4,4,4,4,4
0,219,0,40,40,40,40,40,40,40,40,40,40
0,160,0,18,18,18,18,18,18,18,18,18,18
0,197,0,7,7,7,7,7,7,7,7,7,7
0,234,0,31,31,31,31,31,31,31,31,31,31
0,175,0,7,7,7,7,7,7,7,7,7,7
0,212,0,5,5,5,5,5,5,5,5,5,5
0,153,0,60,60,60,60,60,60,60,60,60,60
0,190,0,12,12,12,12,12,12,12,12,12,12
0,227,0,100,100,100,100,100,100,100,100,100,100
0,168,0,4,4,4,4,4,4,4,4,4,4
0,205,0,38,38,38,38,38,38,38,38,38,38
0,183,0,13,13,13,13,13,13,13,13,13,13
0,220,0,12,12,12,12,12,12,12,12,12,12
0,161,0,4,4,4,4,4,4,4,4,4,4
0,198,0,9,9,9,9,9,9,9,9,9,9
0,235,0,28,28,28,28,28,28,28,28,28,28
0,176,0,5,5,5,5,5,5,5,5,5,5
0,213,0,4,4,4,4,4,4,4,4,4,4
0,154,0,168,168,168,168,168,168,168,168,168,168
0,191,0,32,32,32,32,32,32,32,32,32,32
0,228,0,16,16,16,16,16,16,16,16,16,16
0,169,0,8,8,8,8,8,8,8,8,8,8
0,206,0,12,12,12,12,12,12,12,12,12,12
0,184,0,52,52,52,52,52,52,52,52,52,52
0,221,0,12,12,12,12,12,12,12,12,12,12
0,162,0,2,2,2,2,2,2,2,2,2,2
0,199,0,3,3,3,3,3,3,3,3,3,3
0,236,0,29,29,29,29,29,29,29,29,29,29
0,177,0,15,15,15,15,15,15,15,15,15,15
0,214,0,7,7,7,7,7,7,7,7,7,7
0,155,0,27,27,27,27,27,27,27,27,27,27
0,192,0,2,2,2,2,2,2,2,2,2,2
0,229,0,118,118,118,118,118,118,118,118,118,118
0,170,0,4,4,4,4,4,4,4,4,4,4
0,207,0,4,4,4,4,4,4,4,4,4,4
0,148,0,12,12,12,12,12,12,12,12,12,12
0,185,0,64,64,64,64,64,64,64,64,64,64
0,222,0,144,144,144,144,144,144,144,144,144,144
0,163,0,4,4,4,4,4,4,4,4,4,4
0,200,0,12,12,12,12,12,12,12,12,12,12
0,237,0,10,10,10,10,10,10,10,10,10,10
0,178,0,10,10,10,10,10,10,10,10,10,10
0,215,0,101,101,101,101,101,101,101,101,101,101
0,156,0,10,10,10,10,10,10,10,10,10,10
0,193,0,2,2,2,2,2,2,2,2,2,2
0,230,0,4,4,4,4,4,4,4,4,4,4
0,171,0,5,5,5,5,5,5,5,5,5,5
0,208,0,56,56,56,56,56,56,56,56,56,56
0,149,0,4,4,4,4,4,4,4,4,4,4
0,186,0,16,16,16,16,16,16,16,16,16,16
0,223,0,20,20,20,20,20,20,20,20,20,20
0,164,0,3,3,3,3,3,3,3,3,3,3
0,201,0,10,10,10,10,10,10,10,10,10,10
0,179,0,5,5,5,5,5,5,5,5,5,5
0,216,0,12,12,12,12,12,12,12,12,12,12
0,157,0,100,100,100,100,100,100,100,100,100,100
0,231,0,7,7,7,7,7,7,7,7,7,7
0,172,0,50,50,50,50,50,50,50,50,50,50
0,209,0,3,3,3,3,3,3,3,3,3,3
0,150,0,52,52,52,52,52,52,52,52,52,52
0,187,0,8,8,8,8,8,8,8,8,8,8
0,224,0,30,30,30,30,30,30,30,30,30,30
0,165,0,7,7,7,7,7,7,7,7,7,7
0,202,0,7,7,7,7,7,7,7,7,7,7
0,180,0,11,11,11,11,11,11,11,11,11,11
0,217,0,8,8,8,8,8,8,8,8,8,8
0,158,0,12,12,12,12,12,12,12,12,12,12
0,195,0,12,12,12,12,12,12,12,12,12,12
0,232,0,12,12,12,12,12,12,12,12,12,12
0,173,0,13,13,13,13,13,13,13,13,13,13
0,210,0,7,7,7,7,7,7,7,7,7,7
0,151,0,24,24,24,24,24,24,24,24,24,24
0,188,0,6,6,6,6,6,6,6,6,6,6
0,225,0,9,9,9,9,9,9,9,9,9,9
0,166,0,88,88,88,88,88,88,88,88,88,88
0,203,0,66,66,66,66,66,66,66,66,66,66
1,13,0,14,14,14,14,14,14,14,14,14,14
1,2,0,3,3,3,3,3,3,3,3,3,3
1,39,0,14,14,14,14,14,14,14,14,14,14
1,28,0,3,3,3,3,3,3,3,3,3,3
1,17,0,18,18,18,18,18,18,18,18,18,18
1,6,0,7,7,7,7,7,7,7,7,7,7
1,43,0,18,18,18,18,18,18,18,18,18,18
1,32,0,7,7,7,7,7,7,7,7,7,7
1,10,0,11,11,11,11,11,11,11,11,11,11
1,47,0,22,22,22,22,22,22,22,22,22,22
1,36,0,11,11,11,11,11,11,11,11,11,11
1,25,0,26,26,26,26,26,26,26,26,26,26
1,14,0,15,15,15,15,15,15,15,15,15,15
1,3,0,5,5,5,5,5,5,5,5,5,5
