experiment_schema,tnn_r32_e50_provenance_temporal_contention_representation_discriminator_v1
purpose,two_model_order_invariant_batch_joint_control_vs_grounded_provenance_temporal_contention_representation
models,m0_batch_joint_e47_m1_batch_joint_plus_slots13_22_contention
unknown_target_geometry,grounded_zero_no_unknown_label_or_threshold
batch_method,scaled_complete_dataset_integer_normal_equation_coordinate_sweeps_actual_fixed_point_loss_acceptance
batch_record_order_audit,forward_and_reverse_must_match
sealed_confirmation_ids,49301_49302_49303_49304_49305_49306_allocated_not_executed
seed_manifest_columns,stage_0_aux_1_terminal_2_validation_3_sealed_confirmation,epoch,base_index,base_id,mode,resource,episode,stream_seed
seed_manifest,0,0,0,46001,0,0,0,274732
seed_manifest,0,0,0,46001,0,0,1,177922
seed_manifest,0,0,0,46001,0,0,2,290570
seed_manifest,0,0,0,46001,0,0,3,193760
seed_manifest,0,0,0,46001,0,0,4,306408
seed_manifest,0,0,0,46001,0,0,5,209598
seed_manifest,0,0,0,46001,0,0,6,217517
seed_manifest,0,0,0,46001,0,0,7,225436
seed_manifest,0,0,0,46001,0,0,8,233355
seed_manifest,0,0,0,46001,0,0,9,241274
seed_manifest,0,0,0,46001,0,0,10,249193
seed_manifest,0,0,0,46001,0,0,11,257112
seed_manifest,0,0,0,46001,0,1,0,265031
seed_manifest,0,0,0,46001,0,1,1,272950
seed_manifest,0,0,0,46001,0,1,2,280869
seed_manifest,0,0,0,46001,0,1,3,288788
seed_manifest,0,0,0,46001,0,1,4,296707
seed_manifest,0,0,0,46001,0,1,5,304626
seed_manifest,0,0,0,46001,0,1,6,312545
seed_manifest,0,0,0,46001,0,1,7,320464
seed_manifest,0,0,0,46001,0,1,8,328383
seed_manifest,0,0,0,46001,0,1,9,336302
seed_manifest,0,0,0,46001,0,1,10,344221
seed_manifest,0,0,0,46001,0,1,11,352140
seed_manifest,0,0,0,46001,0,2,0,360059
seed_manifest,0,0,0,46001,0,2,1,367978
seed_manifest,0,0,0,46001,0,2,2,375897
seed_manifest,0,0,0,46001,0,2,3,383816
seed_manifest,0,0,0,46001,0,2,4,391735
seed_manifest,0,0,0,46001,0,2,5,399654
seed_manifest,0,0,0,46001,0,2,6,407573
seed_manifest,0,0,0,46001,0,2,7,415492
seed_manifest,0,0,0,46001,0,2,8,423411
seed_manifest,0,0,0,46001,0,2,9,431330
seed_manifest,0,0,0,46001,0,2,10,439249
seed_manifest,0,0,0,46001,0,2,11,447168
seed_manifest,0,0,0,46001,0,3,0,455087
seed_manifest,0,0,0,46001,0,3,1,463006
seed_manifest,0,0,0,46001,0,3,2,470925
seed_manifest,0,0,0,46001,0,3,3,478844
seed_manifest,0,0,0,46001,0,3,4,486763
seed_manifest,0,0,0,46001,0,3,5,494682
seed_manifest,0,0,0,46001,0,3,6,502601
seed_manifest,0,0,0,46001,0,3,7,510520
seed_manifest,0,0,0,46001,0,3,8,518439
seed_manifest,0,0,0,46001,0,3,9,526358
seed_manifest,0,0,0,46001,0,3,10,534277
seed_manifest,0,0,0,46001,0,3,11,542196
seed_manifest,0,0,0,46001,0,4,0,550115
seed_manifest,0,0,0,46001,0,4,1,558034
seed_manifest,0,0,0,46001,0,4,2,565953
seed_manifest,0,0,0,46001,0,4,3,573872
seed_manifest,0,0,0,46001,0,4,4,581791
seed_manifest,0,0,0,46001,0,4,5,589710
seed_manifest,0,0,0,46001,0,4,6,597629
seed_manifest,0,0,0,46001,0,4,7,605548
seed_manifest,0,0,0,46001,0,4,8,718196
seed_manifest,0,0,0,46001,0,4,9,621386
seed_manifest,0,0,0,46001,0,4,10,629305
seed_manifest,0,0,0,46001,0,4,11,637224
seed_manifest,0,0,0,46001,1,0,0,645143
seed_manifest,0,0,0,46001,1,0,1,757791
seed_manifest,0,0,0,46001,1,0,2,660981
seed_manifest,0,0,0,46001,1,0,3,668900
seed_manifest,0,0,0,46001,1,0,4,676819
seed_manifest,0,0,0,46001,1,0,5,684738
seed_manifest,0,0,0,46001,1,0,6,692657
seed_manifest,0,0,0,46001,1,0,7,700576
seed_manifest,0,0,0,46001,1,0,8,813224
seed_manifest,0,0,0,46001,1,0,9,716414
seed_manifest,0,0,0,46001,1,0,10,724333
seed_manifest,0,0,0,46001,1,0,11,732252
