PILOT step5a-code mode 3 (PC2 validation leak)
EP 0 0 0 0 1 64
ELIM 0 1 511 63
EP 1 0 0 1001 1 320
EP 2 0 0 2002 1 64
ELIM 0 3 63 45
EP 3 0 0 3 1 256
EP 4 0 0 1004 1 64
EP 5 0 0 2005 1 64
EP 6 0 0 6 1 64
EP 7 0 0 1007 1 64
EP 8 0 0 2008 1 64
EP 9 0 0 9 1 64
EP 10 0 0 1010 1 64
EP 11 0 0 2011 1 64
EP 12 0 0 12 1 64
EP 13 0 0 1013 1 64
EP 14 0 0 2014 1 64
EP 15 0 0 15 1 64
EP 16 0 0 1016 1 64
EP 17 0 0 2017 1 64
EP 18 0 0 18 1 64
EP 19 0 0 1019 1 64
EP 20 0 0 2020 1 64
EP 21 0 0 21 1 64
EP 22 0 0 1022 1 64
EP 23 0 0 2023 1 64
EP 24 0 0 24 1 64
EP 25 0 0 1025 1 64
EP 26 0 0 2026 1 64
EP 27 0 0 27 1 64
EP 28 0 0 1028 1 64
EP 29 0 0 2029 1 64
EP 30 0 0 30 1 64
EP 31 0 0 1031 1 64
EP 32 0 0 2032 1 64
EP 33 0 0 33 1 64
EP 34 0 0 1034 1 64
EP 35 0 0 2035 1 64
EP 36 0 0 36 1 64
EP 37 0 0 1037 1 64
EP 38 0 0 2038 1 64
EP 39 0 0 39 1 64
EP 40 0 0 1040 1 64
EP 41 0 0 2041 1 64
EP 42 0 0 42 1 64
EP 43 0 0 1043 1 64
EP 44 0 0 2044 1 64
EP 45 0 0 45 1 64
EP 46 0 0 1046 1 64
EP 47 0 0 2047 1 64
EP 48 0 0 48 1 64
EP 49 0 0 1049 1 64
EP 50 0 1 203000 1 0
EP 51 0 1 204001 1 0
EP 52 0 1 205002 1 0
EP 53 0 1 203003 1 0
EP 54 0 1 204004 1 0
EP 55 0 1 205005 1 0
EP 56 0 1 203006 1 0
EP 57 0 1 204007 1 0
EP 58 0 1 205008 1 0
EP 59 0 1 203009 1 0
EP 60 0 1 204010 1 0
EP 61 0 1 205011 1 0
EP 62 0 1 203012 1 0
EP 63 0 1 204013 1 0
EP 64 0 1 205014 1 0
EP 65 0 1 203015 1 0
EP 66 0 1 204016 1 0
EP 67 0 1 205017 1 0
EP 68 0 1 203018 1 0
EP 69 0 1 204019 1 0
EP 70 0 1 205020 1 0
EP 71 0 1 203021 1 0
EP 72 0 1 204022 1 0
EP 73 0 1 205023 1 0
EP 74 0 1 203024 1 0
EP 75 0 1 204025 1 0
EP 76 0 1 205026 1 0
EP 77 0 1 203027 1 0
EP 78 0 2 303000 1 0
EP 79 0 2 301001 1 0
EP 80 0 2 305002 1 0
EP 81 0 2 300003 1 0
EP 82 0 2 304004 1 0
EP 83 0 2 302005 1 0
EP 84 0 2 303006 1 0
EP 85 0 2 301007 1 0
EP 86 0 2 305008 1 0
EP 87 0 2 300009 1 0
EP 88 0 2 304010 1 0
EP 89 0 2 302011 1 0
EP 90 0 2 303012 1 0
EP 91 0 2 301013 1 0
EP 92 0 2 305014 1 0
EP 93 0 2 300015 1 0
EP 94 0 2 304016 1 0
EP 95 0 2 302017 1 0
EP 96 0 2 303018 1 0
EP 97 0 2 301019 1 0
END 98
