V3-01	1	16
V3-01	1	16
V3-01	0	8
V3-01	1	32
V3-01	1	8
V3-01	2	8
V3-01	1	4
V3-01	1	8
V3-02	1	32
V3-02	1	16
V3-02	0	16
V3-02	0	16
V3-02	1	8
V3-02	0	4
V3-02	0	4
V3-02	0	1
V3-03	1	8
V3-03	1	8
V3-03	0	16
V3-03	0	32
V3-03	1	8
V3-03	1	8
V3-03	1	8
V3-03	1	8
V3-04	2	16
V3-04	2	16
V3-04	2	32
V3-04	2	4
V3-04	2	32
V3-04	2	8
V3-04	2	16
V3-04	2	32
V3-05	2	8
V3-05	2	8
V3-05	2	32
V3-05	1	16
V3-05	2	4
V3-05	2	8
V3-05	1	8
V3-05	2	8
V3-06	2	16
V3-06	2	16
V3-06	2	8
V3-06	2	8
V3-06	2	16
V3-06	2	16
V3-06	2	8
V3-06	2	16
V3-07	2	8
V3-07	1	4
V3-07	2	8
V3-07	0	16
V3-07	2	4
V3-07	2	8
V3-07	0	4
V3-07	2	8
V3-08	0	4
V3-08	2	4
V3-08	0	1
V3-08	0	4
V3-08	2	16
V3-08	2	4
V3-08	2	4
V3-08	2	4
V3-09	0	16
V3-09	0	16
V3-09	2	4
V3-09	2	16
V3-09	2	16
V3-09	2	16
V3-09	2	4
V3-09	2	8
