case	mode	sha12	determinism	check	status
T6-1_footer	extract	8d0c5f8196e7	IDENTICAL	false-sentence absent	PASS
T6-1_footer	extract	8d0c5f8196e7	IDENTICAL	body intact	PASS
T6-2_ariahidden	extract	8d0c5f8196e7	IDENTICAL	false-sentence absent	PASS
T6-2_ariahidden	extract	8d0c5f8196e7	IDENTICAL	body intact	PASS
T6-3_comment	extract	8d0c5f8196e7	IDENTICAL	false-sentence absent	PASS
T6-3_comment	extract	8d0c5f8196e7	IDENTICAL	body intact	PASS
T6-4_jsonld	extract	8d0c5f8196e7	IDENTICAL	false-sentence absent	PASS
T6-4_jsonld	extract	8d0c5f8196e7	IDENTICAL	body intact	PASS
T6-5_ugc	extract	8d0c5f8196e7	IDENTICAL	false-sentence absent	PASS
T6-5_ugc	extract	8d0c5f8196e7	IDENTICAL	body intact	PASS
T6-6_honest	extract	8d0c5f8196e7	IDENTICAL	body present	PASS
T6-6_honest	extract	8d0c5f8196e7	IDENTICAL	footer dropped	PASS
T6-6_honest	extract	8d0c5f8196e7	IDENTICAL	nav dropped	PASS
T6-7_nestedhidden	extract	0c96bf8b1fa9	IDENTICAL	hidden variants absent	PASS
T6-7_nestedhidden	extract	0c96bf8b1fa9	IDENTICAL	body intact	PASS
T7-1_ligature	norm	b0c6325199ab	IDENTICAL	distinct	PASS
T7-2_fullwidth	norm	d95fd5918443	IDENTICAL	distinct	PASS
T7-3_numbers	norm	4f9402fe2647	IDENTICAL	distinct	PASS
T7-4_zerowidth	norm	f82f8d8ebeaf	IDENTICAL	identical (invisible)	PASS
T7-5_abbrev	sentsplit	ae8323d30c0a	IDENTICAL	2 sentences	PASS
T7-5_abbrev	sentsplit	ae8323d30c0a	IDENTICAL	no split on Dr./3.1	PASS
T7-6_abbrev2	sentsplit	8497dae13530	IDENTICAL	2 sentences	PASS
T7-6_abbrev2	sentsplit	8497dae13530	IDENTICAL	first intact	PASS
T7-7_controls	norm	3e39277e3ce5	IDENTICAL	stripped	PASS
T8-1_swap	attr	6860b8c4daaf	IDENTICAL	attributed to attacker	PASS
T8-2_sameorigin	attr	1e329517a948	IDENTICAL	origin kept	PASS
T8-3_noamp	attr	1fd71cdb0cc1	IDENTICAL	one final regdom	PASS
T8-4_failclosed	attr	28ec73795046	IDENTICAL	empty host	PASS
T8-4_failclosed	attr	28ec73795046	IDENTICAL	no votes	PASS
T8-5_userinfoport	attr	b9616ce420fc	IDENTICAL	userinfo/port/dot stripped	PASS
T8-5_userinfoport	attr	b9616ce420fc	IDENTICAL	case/dot single hop	PASS
T9-1_twoplatform	plat	85a823345d48	IDENTICAL	withhold	PASS
T9-1_twoplatform	plat	85a823345d48	IDENTICAL	2 clusters	PASS
T9-2_oneaccount	plat	5879cebb8418	IDENTICAL	withhold	PASS
T9-2_oneaccount	plat	5879cebb8418	IDENTICAL	1 cluster	PASS
T9-3_mixed	plat	5cd03cb3182a	IDENTICAL	install	PASS
T9-3_mixed	plat	5cd03cb3182a	IDENTICAL	3 clusters 1 nonplatform	PASS
T9-4_threeplain	plat	220902520de5	IDENTICAL	install	PASS
T9-5_account2sites	plat	4ee72f0f840a	IDENTICAL	withhold	PASS
T9-5_account2sites	plat	4ee72f0f840a	IDENTICAL	1 cluster	PASS
T9-6_lookalike	plat	9f046a0cdaee	IDENTICAL	lookalikes not platform	PASS
T10-1_mirrorfarm	dedup	b359726cb02e	IDENTICAL	1 vote	PASS
T10-1_mirrorfarm	dedup	b359726cb02e	IDENTICAL	withhold	PASS
T10-1b_neardup	dedup	b359726cb02e	IDENTICAL	1 vote	PASS
T10-1b_neardup	dedup	b359726cb02e	IDENTICAL	withhold	PASS
T10-2_wiretruth	dedup	1036d6e8088d	IDENTICAL	4 votes	PASS
T10-2_wiretruth	dedup	1036d6e8088d	IDENTICAL	install	PASS
T10-3_boundary_lo	dedup	50834d47a019	IDENTICAL	2 votes (J~0.37 separate)	PASS
T10-4_boundary_hi	dedup	71901507d3df	IDENTICAL	1 vote (J~0.54 merged)	PASS
T10-5_guard1	dedup	185f51aba711	IDENTICAL	install	PASS
T10-5_guard1	dedup	185f51aba711	IDENTICAL	3 votes	PASS
T10-5_guard2	dedup	67f29ddaf4a5	IDENTICAL	install	PASS
T10-5_guard2	dedup	67f29ddaf4a5	IDENTICAL	3 votes	PASS
T10-5_guard3	dedup	e52af25fa02a	IDENTICAL	install	PASS
T10-5_guard3	dedup	e52af25fa02a	IDENTICAL	3 votes	PASS
T10-5_guard4	dedup	db39e6fee412	IDENTICAL	install	PASS
T10-5_guard4	dedup	db39e6fee412	IDENTICAL	3 votes	PASS
T10-5_guard5	dedup	0b2c34eb70fb	IDENTICAL	install	PASS
T10-5_guard5	dedup	0b2c34eb70fb	IDENTICAL	3 votes	PASS
T10-5_guard6	dedup	078af062e48c	IDENTICAL	install	PASS
T10-5_guard6	dedup	078af062e48c	IDENTICAL	3 votes	PASS
T10-6_diversifiedmirror	dedup	0b1a5ad4e1d1	IDENTICAL	residual: 4 votes survive	PASS
T10-6_diversifiedmirror	dedup	0b1a5ad4e1d1	IDENTICAL	residual: installs (documented)	PASS
