helper	0	C1	at what temperature does water boil at sea level
helper	1	C2	what is the speed of light in meters per second
helper	2	C3	does the earth orbit the sun
helper	3	C4	how many pairs of chromosomes do humans have
helper	4	C14	how many planets in the solar system 8
helper	5	C5	COVID-19 originated from a lab leak evidence
helper	6	C6	eating eggs cholesterol dangerous current guidance
helper	7	C7	drinking coffee causes cancer iarc
helper	8	C8	the earth is flat evidence
helper	9	C9	the apollo moon landings were faked evidence
helper	10	C10	5g networks caused covid-19 pandemic claim
helper	11	C11	chemtrails mind control program claim
helper	12	C12	tallest mountain in the world mount everest mauna kea
helper	13	C13	largest desert in the world sahara antarctic
helper	14	C15	fruit dissolves blood clots doctors hate it
helper	15	C16	chocolate cures insomnia study
helper	16	A1	is the great wall of china visible from the moon naked eye
helper	17	A2	do humans only use 10 percent of their brains myth
helper	18	A3	does lightning strike the same place twice
solo	0	C1	at what temperature does water boil at sea level
solo	1	C2	what is the speed of light in meters per second
solo	2	C3	does the earth orbit the sun
solo	3	C4	how many pairs of chromosomes do humans have
solo	4	C14	how many planets in the solar system 8
solo	5	C5	COVID-19 originated from a lab leak evidence
solo	6	C6	eating eggs cholesterol dangerous current guidance
solo	7	C7	drinking coffee causes cancer iarc
solo	8	C8	the earth is flat evidence
solo	9	C9	the apollo moon landings were faked evidence
solo	10	C10	5g networks caused covid-19 pandemic claim
solo	11	C11	chemtrails mind control program claim
solo	12	C12	tallest mountain in the world mount everest mauna kea
solo	13	C13	largest desert in the world sahara antarctic
solo	14	C15	fruit dissolves blood clots doctors hate it
solo	15	C16	chocolate cures insomnia study
solo	16	A1	is the great wall of china visible from the moon naked eye
solo	17	A2	do humans only use 10 percent of their brains myth
solo	18	A3	does lightning strike the same place twice
