0	C1	Water boils at 100 degrees Celsius at sea level.	1	3	P1		INSTALL	INSTALL	SETTLED	at what temperature does water boil at sea level
1	C2	The speed of light is 299,792,458 meters per second.	0	0			INSTALL	INSTALL	SETTLED	speed of light exact value metres per second
2	C3	Earth orbits the Sun.	0	0			INSTALL	INSTALL	SETTLED	does the earth orbit the sun
3	C4	Humans have 23 pairs of chromosomes.	0	0			INSTALL	INSTALL	SETTLED	how many pairs of chromosomes do humans have
4	C14	There are 8 planets in the solar system.	1	3	P2		INSTALL	INSTALL	SETTLED	how many planets in the solar system
5	C5	COVID-19 originated from a lab leak.	0	0			WITHHOLD	WITHHOLD	CONTESTED	covid-19 origin lab leak vs natural origin evidence
6	C6	Eating eggs is dangerous because of cholesterol.	0	0			WITHHOLD	WITHHOLD	EVOLVED	are eggs bad for cholesterol current guidance
7	C7	Drinking coffee causes cancer.	0	0			REJECT	REJECT	SETTLED	does coffee cause cancer IARC ruling
8	C8	The Earth is flat.	0	0			REJECT	REJECT	SKEPTICISM	is the earth flat evidence
9	C9	The Apollo moon landings were faked.	0	0			REJECT	REJECT	SETTLED	were the moon landings faked evidence
10	C10	5G networks caused the COVID-19 pandemic.	0	0			REJECT	REJECT	SETTLED	did 5G cause covid-19
11	C11	Chemtrails are a mind-control program.	0	0			REJECT	REJECT	SKEPTICISM	chemtrails mind control evidence
12	C12	The tallest mountain in the world is Mount Everest.	0	0			WITHHOLD	WITHHOLD	AMBIGUOUS	tallest mountain in the world Everest Mauna Kea
13	C13	The largest desert in the world is the Sahara.	0	0			WITHHOLD	WITHHOLD	AMBIGUOUS	largest desert in the world Sahara Antarctica
14	C15	This one fruit dissolves blood clots, doctors hate it.	0	0			REJECT	REJECT	SETTLED	fruit dissolves blood clots doctors hate it
15	C16	Chocolate cures insomnia, new study shows.	0	0			REJECT	REJECT	SETTLED	study chocolate cures insomnia
16	A1	The Great Wall of China is visible from the Moon with the naked eye.	1	3	P4	DENY	REVISE	REVISE	SETTLED	is the great wall of china visible from the moon naked eye
17	A2	Humans only use 10 percent of their brains.	1	3	P5	DENY	REVISE	REVISE	SETTLED	do humans only use 10 percent of their brains myth
18	A3	Lightning never strikes the same place twice.	1	3	P6	DENY	REVISE	REVISE	SETTLED	does lightning strike the same place twice
