arm	cid	r1r2	r3	r5	r6
solo	C1	4	4	4	4
solo	C2	2	2	2	2
solo	C3	2	2	2	2
solo	C4	2	2	2	2
solo	C14	4	4	4	4
solo	C5	2	4	2	2
solo	C6	4	4	2	2
solo	C7	4	4	4	4
solo	C8	4	4	4	4
solo	C9	3	3	3	3
solo	C10	4	4	3	3
solo	C11	4	4	4	4
solo	C12	3	4	3	3
solo	C13	4	4	4	4
solo	C15	4	4	4	4
solo	C16	4	4	4	3
solo	A1	5	5	5	5
solo	A2	5	5	5	5
solo	A3	5	5	5	5
helper	C1	4	4	4	4
helper	C2	2	2	2	2
helper	C3	2	2	2	2
helper	C4	2	2	2	2
helper	C14	4	4	4	4
helper	C5	2	4	2	2
helper	C6	4	4	2	2
helper	C7	4	4	4	4
helper	C8	4	4	4	4
helper	C9	3	3	3	3
helper	C10	4	4	4	4
helper	C11	4	4	4	4
helper	C12	3	4	3	3
helper	C13	4	4	4	4
helper	C15	4	4	4	4
helper	C16	4	4	4	3
helper	A1	5	5	5	5
helper	A2	5	5	5	5
helper	A3	5	5	5	5
