pass2_seq,fid,asserted_value,verdict,verdict_name,reason,reason_name
12,168,18,3,1,REJECT,1,R1_INSUFFICIENT
23,132,1815,3,1,REJECT,1,R1_INSUFFICIENT
34,96,1872,3,1,REJECT,1,R1_INSUFFICIENT
46,60,6,3,1,REJECT,1,R1_INSUFFICIENT
58,24,4,3,1,REJECT,1,R1_INSUFFICIENT
68,228,5,3,1,REJECT,1,R1_INSUFFICIENT
80,192,5,3,1,REJECT,1,R1_INSUFFICIENT
92,156,6,3,1,REJECT,1,R1_INSUFFICIENT
104,120,1859,3,1,REJECT,1,R1_INSUFFICIENT
114,84,1840,3,1,REJECT,1,R1_INSUFFICIENT
124,48,2,3,1,REJECT,1,R1_INSUFFICIENT
135,12,4,3,1,REJECT,1,R1_INSUFFICIENT
147,216,17,3,1,REJECT,1,R1_INSUFFICIENT
159,180,30,3,1,REJECT,1,R1_INSUFFICIENT
171,144,1771,3,1,REJECT,1,R1_INSUFFICIENT
181,108,1703,3,1,REJECT,1,R1_INSUFFICIENT
193,72,1808,3,1,REJECT,1,R1_INSUFFICIENT
