W7_FLAW,slice=5,flaw=0,type=wrong-span,expected=2/11,got=2/11,credit=10
W7_FLAW,slice=5,flaw=1,type=wrong-span,expected=2/11,got=1/0,credit=0
W7_FLAW,slice=5,flaw=2,type=wrong-span,expected=2/11,got=1/0,credit=0
W7_FLAW,slice=5,flaw=3,type=wrong-span,expected=2/11,got=3/5,credit=0
W7_FLAW,slice=5,flaw=4,type=false-confidence,expected=3/1,got=3/3,credit=5
W7_FLAW,slice=5,flaw=5,type=false-confidence,expected=3/1,got=1/0,credit=0
W7_FLAW,slice=5,flaw=6,type=false-confidence,expected=3/1,got=3/3,credit=5
W7_FLAW,slice=5,flaw=7,type=false-confidence,expected=3/1,got=1/0,credit=0
W7_FLAW,slice=5,flaw=8,type=missing-grounding,expected=3/1,got=3/3,credit=5
W7_FLAW,slice=5,flaw=9,type=missing-grounding,expected=3/1,got=3/3,credit=5
W7_FLAW,slice=5,flaw=10,type=plausible-false,expected=3/1,got=3/3,credit=5
W7_FLAW,slice=5,flaw=11,type=plausible-false,expected=3/1,got=3/3,credit=5
W7_STAT,slice=5,n_flaws=12,hits=1,nears=6,misses=5,score_x10=40,pass=0,fps=0,leak=0,bracket_low_x10=40,bracket_high_x10=40
