B01	Dolphins are fish	Dolphins are mammals that breathe air through a blowhole and nurse their young.	2
B02	Spiders are insects	Spiders are arachnids with eight legs and two body segments, not insects.	2
B03	Whales are fish	Whales are warm-blooded mammals that give birth to live young.	2
B04	Bats are blind	Bats have functional eyes and see well; most species combine vision with echolocation.	2
B05	Penguins can fly	Penguins are flightless birds whose wings evolved into flippers for swimming.	2
B06	Kale smoothies reverse diabetes	No clinical trials have shown that kale smoothies reverse diabetes, and doctors warn against replacing medication with them.	2
B07	Copper bracelets cure arthritis	There is no clinical evidence that copper bracelets relieve arthritis pain.	2
B08	Moon water detoxifies the liver	No studies support the claim that moon water detoxifies the liver.	2
B09	Humans have exactly four basic tastes	Researchers now recognize between six and nine basic taste qualities, including umami and fat taste.	2
B10	Astronomers count exactly nine planets	Since the two thousand six reclassification, astronomers count eight planets in the solar system.	2
B11	The human body has exactly six hundred muscles	Anatomists estimate between six hundred fifty and eight hundred forty muscles depending on definition.	2
B12	Worker ants live only two days	Worker ants typically live for several months, and queens can survive up to fifteen years.	2
B13	Houseflies live for just one day	Adult houseflies commonly live fifteen to thirty days.	2
B14	Steel ships float because their hulls displace water	A steel ship floats because its hull displaces a weight of water equal to the ship's weight, producing upward buoyant force.	1
B15	Bread rises because yeast produces carbon dioxide	Yeast ferments sugars in dough and releases carbon dioxide gas, whose bubbles make the bread rise.	1
B16	Not all metals are magnetic	Iron, nickel and cobalt are magnetic, but copper, aluminum and gold are not.	1
B17	No student failed the exam	Every student passed the exam, a one hundred percent pass rate.	1
B18	The vault was not opened by force	The vault showed no signs of forced entry; investigators believe it was opened with a key.	1
B19	The drug does not cure the disease	Trials showed the drug manages symptoms but does not cure the disease.	1
B20	Coffee does not dehydrate you	Studies show coffee's mild diuretic effect is offset by its water content, so it does not cause dehydration.	1
B21	Salt does not melt ice by heating it	Salt melts ice by lowering the freezing point of water, not by adding heat.	1
B22	The Eiffel Tower was not built in the twentieth century	Construction of the Eiffel Tower was completed in eighteen eighty-nine.	1
B23	It is not true that vaccines do not save lives	Vaccination programs have saved millions of lives worldwide.	1
B24	The library contains no books on astronomy	The library's astronomy section holds over four hundred volumes.	2
B25	Nobody survived the voyage	Three sailors survived the voyage and were rescued at sea.	2
B26	Unlike glass, rubber is an electrical insulator	Rubber is an excellent electrical insulator, far better than glass at blocking current.	1
B27	The Arctic, unlike the Antarctic, is an ocean	The Arctic is an ocean basin ringed by continents, whereas Antarctica is a continent surrounded by ocean.	1
B28	Unlike birds, bats give birth to live young	Bats are mammals that give birth to live young; they do not lay eggs like birds.	1
B29	The treatment is not risk-free	The treatment carries documented risks, including infection and bleeding.	1
B30	The island has no native mammals	Surveys found that the island has no native mammals; all mammals there were introduced.	1
B31	Unlike birds, bats lay eggs	Bats are mammals that give birth to live young and do not lay eggs.	2
B32	Mercury has no atmosphere at all	Mercury holds an extremely thin exosphere of oxygen, sodium and hydrogen.	2
B33	Water boils at one hundred degrees everywhere on Earth	In La Paz, high in the Andes, water boils near eighty-seven degrees.	2
B34	All swans are white	Black swans are native to Australia.	2
B35	The Great Wall is visible from the Moon	Astronauts confirm the Great Wall is not visible from the Moon with the naked eye.	2
B36	Lightning never strikes the same place twice	The Empire State Building is struck by lightning dozens of times each year.	2
B37	Humans use only ten percent of their brains	Brain imaging shows virtually the whole brain is active over the course of a day.	2
B38	Mount Everest is the tallest mountain from base to peak	Measured from base to peak, Mauna Kea rises about ten thousand two hundred meters, taller than Everest.	2
B39	Venus is the closest planet to the Sun	Mercury orbits closest to the Sun at fifty-eight million kilometers.	2
B40	Sound travels faster than light in air	Light travels at three hundred thousand kilometers per second; sound manages only three hundred forty-three meters per second in air.	2
B41	The sky is blue because air molecules scatter blue light	Nitrogen and oxygen molecules scatter short-wavelength light in all directions, which makes the sky appear blue.	1
B42	Seasons change because Earth's axis is tilted	Earth's twenty-three point five degree axial tilt varies each hemisphere's sunlight through the year, causing the seasons.	1
B43	The app crashed because the update corrupted its database	Engineers confirmed the update corrupted the app's database, which caused the crash on launch.	1
B44	The bridge collapsed because its support cables snapped	Investigators determined that snapped support cables caused the bridge to collapse.	1
B45	Unlike the claim, iron is magnetic	Iron is strongly magnetic; copper, by contrast, is not magnetic at all.	1
B46	The patient does not have diabetes	Blood tests show normal glucose levels, ruling out diabetes.	1
