id,key,vold,vnew,a1,op1,a2,op2,a3,op3,cidx,caval
1,6000,200,100,100,0,150,1,150,2,0,200
2,6001,210,110,110,0,160,1,160,2,0,210
3,6002,220,120,120,0,170,1,170,2,0,220
4,6003,230,130,130,0,180,1,180,2,0,230
5,6004,100,200,150,1,150,2,200,0,-1,0
6,6005,200,100,150,1,150,2,200,0,-1,0
7,6006,110,210,160,1,160,2,210,0,-1,0
8,6007,210,110,160,1,160,2,210,0,-1,0
9,6008,100,200,100,0,250,1,50,2,0,200
10,6009,110,210,110,0,260,1,60,2,0,210
11,6010,120,220,120,0,270,1,70,2,0,220
12,6011,130,230,130,0,280,1,80,2,0,230
13,6012,100,200,100,0,150,1,150,2,0,200
14,6013,110,210,110,0,160,1,160,2,0,210
15,6014,200,100,100,0,250,1,150,2,0,200
16,6015,120,220,120,0,170,1,170,2,0,220
17,6016,100,200,100,0,150,1,150,2,0,150
18,6017,110,210,110,0,160,1,160,2,0,160
19,6018,120,220,120,0,170,1,170,2,0,170
20,6019,130,230,130,0,180,1,180,2,0,180
21,6020,105,205,105,0,155,1,155,2,0,205
22,6021,115,215,115,0,165,1,165,2,0,215
23,6022,205,105,155,1,155,2,205,0,0,205
24,6023,215,115,165,1,165,2,215,0,0,215
