checkpoint,arm,name,active_cohort,changed_coefficients,coefficient_l1_change,largest_coefficient_change,accepted_coordinate_updates,summed_initial_head_loss,summed_final_head_loss
1,0,current_plus_squared,A,111,22152,8399,399,2377992562,2247972940
1,1,real_history,A,113,13621,1687,394,2377992562,2263663224
1,2,zero_history,A,57,8428,1065,201,2377992562,2292447956
1,3,real_history_plus_replay,A,113,13621,1687,394,2377992562,2263663224
2,0,current_plus_squared,B,110,38215,13583,383,2119148182,1977519532
2,1,real_history,B,109,14288,2004,380,2118008076,1997828630
2,2,zero_history,B,58,9546,1503,192,2098104914,2016951688
2,3,real_history_plus_replay,B,107,6565,999,339,2190835650,2163817043
3,0,current_plus_squared,C,110,44486,16498,371,2169234348,2013940350
3,1,real_history,C,111,24965,4036,384,2182240948,2012057810
3,2,zero_history,C,58,8862,2419,189,2144213682,2046119002
3,3,real_history_plus_replay,C,109,11577,2060,362,2199649033,2137599110
4,0,current_plus_squared,D,108,41454,16261,356,2086607362,2002129032
4,1,real_history,D,112,15500,3670,364,2111577398,2015262466
4,2,zero_history,D,52,6779,862,177,2112300876,2037853276
4,3,real_history_plus_replay,D,110,12573,3607,349,2129275227,2080450118
5,0,current_plus_squared,A,111,29425,7529,391,2451247414,2246063806
5,1,real_history,A,112,14516,1253,394,2427384438,2263303544
5,2,zero_history,A,58,9146,1046,212,2409600470,2296075238
5,3,real_history_plus_replay,A,105,8745,1301,352,2200644953,2164421260
6,0,current_plus_squared,B,112,31859,8359,396,2105914268,1962869918
6,1,real_history,B,113,14495,2027,395,2111903644,1990135198
6,2,zero_history,B,56,9162,1684,189,2081796146,2010235696
6,3,real_history_plus_replay,B,106,6969,620,346,2151929237,2114397824
7,0,current_plus_squared,C,109,44577,16631,356,2148109396,2000252130
7,1,real_history,C,113,23894,3780,365,2162995724,2003239756
7,2,zero_history,C,57,9189,2421,193,2145298664,2042024008
7,3,real_history_plus_replay,C,103,8273,1885,324,2217236368,2184957232
8,0,current_plus_squared,D,110,40153,16272,360,2073113004,1994123474
8,1,real_history,D,110,15896,3747,363,2102816282,2009080404
8,2,zero_history,D,55,6634,868,176,2104305404,2036677524
