checkpoint,arm,name,training_record_presentations,anchored_cohorts,reachable,known,no_unique,union,union_lost,union_rescued,hybrid,hybrid_lost,hybrid_rescued,anchor_lost,anchor_gained,t0success,t0unknown,t0wrong
0,0,current_plus_squared,0,0,2070,1602,468,2093,23,0,2070,0,0,0,0,1385,672,103
0,1,real_history,0,0,2070,1602,468,2093,23,0,2070,0,0,0,0,1385,672,103
0,2,zero_history,0,0,2070,1602,468,2093,23,0,2070,0,0,0,0,1385,672,103
0,3,real_history_plus_replay,0,0,2070,1602,468,2093,23,0,2070,0,0,0,0,1385,672,103
1,0,current_plus_squared,1080,1,2057,1603,454,2093,47,11,2070,28,15,0,0,1360,582,218
1,1,real_history,1080,1,2062,1603,459,2093,36,5,2070,19,11,0,0,1375,641,144
1,2,zero_history,1080,1,2063,1603,460,2093,37,7,2070,18,11,0,0,1377,620,163
1,3,real_history_plus_replay,1080,1,2062,1603,459,2093,36,5,2070,19,11,0,0,1375,641,144
2,0,current_plus_squared,2160,2,2060,1598,462,2093,36,3,2070,17,7,5,6,1378,652,130
2,1,real_history,2160,2,2066,1605,461,2093,34,7,2070,14,10,4,6,1385,667,108
2,2,zero_history,2160,2,2066,1603,463,2093,31,4,2070,11,7,4,7,1381,648,131
2,3,real_history_plus_replay,2160,2,2073,1608,465,2093,29,9,2070,10,13,2,6,1380,658,122
3,0,current_plus_squared,3240,3,2070,1606,464,2093,31,8,2070,12,12,9,15,1390,640,130
3,1,real_history,3240,3,2069,1606,463,2093,32,8,2070,11,10,14,13,1388,635,137
3,2,zero_history,3240,3,2068,1602,466,2093,30,5,2070,9,7,11,14,1385,657,118
3,3,real_history_plus_replay,3240,3,2070,1607,463,2093,29,6,2070,7,7,6,8,1384,666,110
4,0,current_plus_squared,4320,4,2076,1613,463,2093,30,13,2070,9,15,10,22,1399,625,136
4,1,real_history,4320,4,2079,1616,463,2093,26,12,2070,6,15,6,15,1387,654,119
4,2,zero_history,4320,4,2073,1607,466,2093,27,7,2070,5,8,7,14,1385,668,107
4,3,real_history_plus_replay,4320,4,2072,1611,461,2093,29,8,2070,7,9,8,11,1383,646,131
5,0,current_plus_squared,5400,4,2055,1602,453,2093,48,10,2070,29,14,24,15,1351,586,223
5,1,real_history,5400,4,2064,1601,463,2093,31,2,2070,14,8,15,9,1382,644,134
5,2,zero_history,5400,4,2061,1602,459,2093,37,5,2070,18,9,11,6,1372,620,168
5,3,real_history_plus_replay,5400,4,2068,1610,458,2093,33,8,2070,13,11,10,9,1375,627,158
6,0,current_plus_squared,6480,4,2059,1598,461,2093,38,4,2070,19,8,16,11,1370,633,157
6,1,real_history,6480,4,2071,1609,462,2093,31,9,2070,11,12,11,12,1383,665,112
6,2,zero_history,6480,4,2068,1604,464,2093,30,5,2070,11,9,7,9,1380,641,139
6,3,real_history_plus_replay,6480,4,2075,1611,464,2093,26,8,2070,4,9,7,13,1386,652,122
7,0,current_plus_squared,7560,4,2067,1607,460,2093,34,8,2070,15,12,13,16,1391,618,151
7,1,real_history,7560,4,2074,1615,459,2093,36,17,2070,16,20,22,26,1388,588,184
7,2,zero_history,7560,4,2069,1603,466,2093,30,6,2070,10,9,14,17,1383,647,130
7,3,real_history_plus_replay,7560,4,2076,1611,465,2093,25,8,2070,4,10,6,13,1386,666,108
8,0,current_plus_squared,8640,4,2072,1615,457,2093,39,18,2070,18,20,18,26,1400,605,155
8,1,real_history,8640,4,2088,1626,462,2093,26,21,2070,7,25,8,26,1392,613,155
8,2,zero_history,8640,4,2071,1606,465,2093,26,4,2070,5,6,11,16,1384,667,109
