arm,name,anchor_successes,ever_lost,never_lost,regained_at_final,missing_at_final,worst_checkpoint_loss,final_retained_fraction,cohort,anchor_checkpoint,first_loss_checkpoint,first_later_zero_loss_checkpoint,zero_loss_checkpoint_trained_same_cohort
0,current_plus_squared,515,14,501,7,7,9,0.9864077669902913,A,1,2,,
0,current_plus_squared,508,13,495,3,10,10,0.9803149606299213,B,2,3,6,True
0,current_plus_squared,518,15,503,10,5,9,0.9903474903474904,C,3,5,,
0,current_plus_squared,523,10,513,9,1,9,0.9980879541108987,D,4,5,8,True
1,real_history,515,13,502,6,7,8,0.9864077669902913,A,1,2,,
1,real_history,512,16,496,8,8,11,0.984375,B,2,3,6,True
1,real_history,519,10,509,6,4,5,0.9922928709055877,C,3,5,,
1,real_history,524,7,517,4,3,6,0.9942748091603053,D,4,5,8,True
2,zero_history,513,9,504,5,4,7,0.9922027290448343,A,1,2,,
2,zero_history,512,11,501,7,4,8,0.9921875,B,2,3,6,True
2,zero_history,519,8,511,6,2,6,0.9961464354527938,C,3,5,7,True
2,zero_history,522,5,517,2,3,5,0.9942528735632183,D,4,5,,
3,real_history_plus_replay,515,11,504,7,4,8,0.9922330097087378,A,1,2,,
3,real_history_plus_replay,514,9,505,6,3,6,0.9941634241245136,B,2,3,,
3,real_history_plus_replay,518,5,513,4,1,4,0.9980694980694981,C,3,5,6,False
3,real_history_plus_replay,522,8,514,7,1,5,0.9980842911877394,D,4,5,6,False
