checkpoint,arm,name,active_cohort,cohort_A_presentations,cohort_B_presentations,cohort_C_presentations,cohort_D_presentations,record_presentations,prior_cohort_presentations
1,0,current_plus_squared,A,1080,0,0,0,1080,0
1,1,real_history,A,1080,0,0,0,1080,0
1,2,zero_history,A,1080,0,0,0,1080,0
1,3,real_history_plus_replay,A,1080,0,0,0,1080,0
2,0,current_plus_squared,B,0,1080,0,0,1080,0
2,1,real_history,B,0,1080,0,0,1080,0
2,2,zero_history,B,0,1080,0,0,1080,0
2,3,real_history_plus_replay,B,540,540,0,0,1080,540
3,0,current_plus_squared,C,0,0,1080,0,1080,0
3,1,real_history,C,0,0,1080,0,1080,0
3,2,zero_history,C,0,0,1080,0,1080,0
3,3,real_history_plus_replay,C,270,270,540,0,1080,540
4,0,current_plus_squared,D,0,0,0,1080,1080,0
4,1,real_history,D,0,0,0,1080,1080,0
4,2,zero_history,D,0,0,0,1080,1080,0
4,3,real_history_plus_replay,D,180,180,180,540,1080,540
5,0,current_plus_squared,A,1080,0,0,0,1080,0
5,1,real_history,A,1080,0,0,0,1080,0
5,2,zero_history,A,1080,0,0,0,1080,0
5,3,real_history_plus_replay,A,540,180,180,180,1080,540
6,0,current_plus_squared,B,0,1080,0,0,1080,0
6,1,real_history,B,0,1080,0,0,1080,0
6,2,zero_history,B,0,1080,0,0,1080,0
6,3,real_history_plus_replay,B,180,540,180,180,1080,540
7,0,current_plus_squared,C,0,0,1080,0,1080,0
7,1,real_history,C,0,0,1080,0,1080,0
7,2,zero_history,C,0,0,1080,0,1080,0
7,3,real_history_plus_replay,C,180,180,540,180,1080,540
8,0,current_plus_squared,D,0,0,0,1080,1080,0
8,1,real_history,D,0,0,0,1080,1080,0
8,2,zero_history,D,0,0,0,1080,1080,0
8,3,real_history_plus_replay,D,180,180,180,540,1080,540
9,0,current_plus_squared,A,1080,0,0,0,1080,0
9,1,real_history,A,1080,0,0,0,1080,0
9,2,zero_history,A,1080,0,0,0,1080,0
9,3,real_history_plus_replay,A,540,180,180,180,1080,540
10,0,current_plus_squared,B,0,1080,0,0,1080,0
10,1,real_history,B,0,1080,0,0,1080,0
10,2,zero_history,B,0,1080,0,0,1080,0
10,3,real_history_plus_replay,B,180,540,180,180,1080,540
11,0,current_plus_squared,C,0,0,1080,0,1080,0
11,1,real_history,C,0,0,1080,0,1080,0
11,2,zero_history,C,0,0,1080,0,1080,0
11,3,real_history_plus_replay,C,180,180,540,180,1080,540
12,0,current_plus_squared,D,0,0,0,1080,1080,0
12,1,real_history,D,0,0,0,1080,1080,0
12,2,zero_history,D,0,0,0,1080,1080,0
12,3,real_history_plus_replay,D,180,180,180,540,1080,540
13,0,current_plus_squared,A,1080,0,0,0,1080,0
13,1,real_history,A,1080,0,0,0,1080,0
13,2,zero_history,A,1080,0,0,0,1080,0
13,3,real_history_plus_replay,A,540,180,180,180,1080,540
14,0,current_plus_squared,B,0,1080,0,0,1080,0
14,1,real_history,B,0,1080,0,0,1080,0
14,2,zero_history,B,0,1080,0,0,1080,0
14,3,real_history_plus_replay,B,180,540,180,180,1080,540
15,0,current_plus_squared,C,0,0,1080,0,1080,0
15,1,real_history,C,0,0,1080,0,1080,0
15,2,zero_history,C,0,0,1080,0,1080,0
15,3,real_history_plus_replay,C,180,180,540,180,1080,540
16,0,current_plus_squared,D,0,0,0,1080,1080,0
16,1,real_history,D,0,0,0,1080,1080,0
16,2,zero_history,D,0,0,0,1080,1080,0
16,3,real_history_plus_replay,D,180,180,180,540,1080,540
17,0,current_plus_squared,A,1080,0,0,0,1080,0
17,1,real_history,A,1080,0,0,0,1080,0
17,2,zero_history,A,1080,0,0,0,1080,0
17,3,real_history_plus_replay,A,540,180,180,180,1080,540
18,0,current_plus_squared,B,0,1080,0,0,1080,0
18,1,real_history,B,0,1080,0,0,1080,0
18,2,zero_history,B,0,1080,0,0,1080,0
18,3,real_history_plus_replay,B,180,540,180,180,1080,540
19,0,current_plus_squared,C,0,0,1080,0,1080,0
19,1,real_history,C,0,0,1080,0,1080,0
19,2,zero_history,C,0,0,1080,0,1080,0
19,3,real_history_plus_replay,C,180,180,540,180,1080,540
20,0,current_plus_squared,D,0,0,0,1080,1080,0
20,1,real_history,D,0,0,0,1080,1080,0
20,2,zero_history,D,0,0,0,1080,1080,0
20,3,real_history_plus_replay,D,180,180,180,540,1080,540
21,0,current_plus_squared,A,1080,0,0,0,1080,0
21,1,real_history,A,1080,0,0,0,1080,0
21,2,zero_history,A,1080,0,0,0,1080,0
21,3,real_history_plus_replay,A,540,180,180,180,1080,540
22,0,current_plus_squared,B,0,1080,0,0,1080,0
22,1,real_history,B,0,1080,0,0,1080,0
22,2,zero_history,B,0,1080,0,0,1080,0
22,3,real_history_plus_replay,B,180,540,180,180,1080,540
23,0,current_plus_squared,C,0,0,1080,0,1080,0
23,1,real_history,C,0,0,1080,0,1080,0
23,2,zero_history,C,0,0,1080,0,1080,0
23,3,real_history_plus_replay,C,180,180,540,180,1080,540
24,0,current_plus_squared,D,0,0,0,1080,1080,0
24,1,real_history,D,0,0,0,1080,1080,0
24,2,zero_history,D,0,0,0,1080,1080,0
24,3,real_history_plus_replay,D,180,180,180,540,1080,540
25,0,current_plus_squared,A,1080,0,0,0,1080,0
25,1,real_history,A,1080,0,0,0,1080,0
25,2,zero_history,A,1080,0,0,0,1080,0
25,3,real_history_plus_replay,A,540,180,180,180,1080,540
26,0,current_plus_squared,B,0,1080,0,0,1080,0
26,1,real_history,B,0,1080,0,0,1080,0
26,2,zero_history,B,0,1080,0,0,1080,0
26,3,real_history_plus_replay,B,180,540,180,180,1080,540
27,0,current_plus_squared,C,0,0,1080,0,1080,0
27,1,real_history,C,0,0,1080,0,1080,0
27,2,zero_history,C,0,0,1080,0,1080,0
27,3,real_history_plus_replay,C,180,180,540,180,1080,540
28,0,current_plus_squared,D,0,0,0,1080,1080,0
28,1,real_history,D,0,0,0,1080,1080,0
28,2,zero_history,D,0,0,0,1080,1080,0
28,3,real_history_plus_replay,D,180,180,180,540,1080,540
29,0,current_plus_squared,A,1080,0,0,0,1080,0
29,1,real_history,A,1080,0,0,0,1080,0
29,2,zero_history,A,1080,0,0,0,1080,0
29,3,real_history_plus_replay,A,540,180,180,180,1080,540
30,0,current_plus_squared,B,0,1080,0,0,1080,0
30,1,real_history,B,0,1080,0,0,1080,0
30,2,zero_history,B,0,1080,0,0,1080,0
30,3,real_history_plus_replay,B,180,540,180,180,1080,540
31,0,current_plus_squared,C,0,0,1080,0,1080,0
31,1,real_history,C,0,0,1080,0,1080,0
31,2,zero_history,C,0,0,1080,0,1080,0
31,3,real_history_plus_replay,C,180,180,540,180,1080,540
32,0,current_plus_squared,D,0,0,0,1080,1080,0
32,1,real_history,D,0,0,0,1080,1080,0
32,2,zero_history,D,0,0,0,1080,1080,0
32,3,real_history_plus_replay,D,180,180,180,540,1080,540
