checkpoint,arm,cohort,probe_stage,anchor_checkpoint,anchor_successes,reachable,known,no_unique,union,union_lost,union_rescued,hybrid,hybrid_lost,hybrid_rescued,anchor_lost,anchor_gained,t0success,t0unknown,t0wrong
0,0,A,115,1,,515,399,116,522,7,0,515,0,0,0,0,355,159,26
0,0,B,116,2,,514,399,115,522,8,0,514,0,0,0,0,339,182,19
0,0,C,117,3,,521,403,118,526,5,0,521,0,0,0,0,340,176,24
0,0,D,118,4,,520,401,119,523,3,0,520,0,0,0,0,351,155,34
0,1,A,115,1,,515,399,116,522,7,0,515,0,0,0,0,355,159,26
0,1,B,116,2,,514,399,115,522,8,0,514,0,0,0,0,339,182,19
0,1,C,117,3,,521,403,118,526,5,0,521,0,0,0,0,340,176,24
0,1,D,118,4,,520,401,119,523,3,0,520,0,0,0,0,351,155,34
0,2,A,115,1,,515,399,116,522,7,0,515,0,0,0,0,355,159,26
0,2,B,116,2,,514,399,115,522,8,0,514,0,0,0,0,339,182,19
0,2,C,117,3,,521,403,118,526,5,0,521,0,0,0,0,340,176,24
0,2,D,118,4,,520,401,119,523,3,0,520,0,0,0,0,351,155,34
0,3,A,115,1,,515,399,116,522,7,0,515,0,0,0,0,355,159,26
0,3,B,116,2,,514,399,115,522,8,0,514,0,0,0,0,339,182,19
0,3,C,117,3,,521,403,118,526,5,0,521,0,0,0,0,340,176,24
0,3,D,118,4,,520,401,119,523,3,0,520,0,0,0,0,351,155,34
1,0,A,115,1,515,515,402,113,522,11,4,515,5,5,0,0,358,134,48
1,0,B,116,2,,509,397,112,522,16,3,514,10,5,0,0,332,155,53
1,0,C,117,3,,517,404,113,526,13,4,521,9,5,0,0,331,150,59
1,0,D,118,4,,516,400,116,523,7,0,520,4,0,0,0,339,143,58
1,1,A,115,1,515,515,402,113,522,9,2,515,5,5,0,0,354,147,39
1,1,B,116,2,,514,399,115,522,11,3,514,5,5,0,0,340,172,28
1,1,C,117,3,,516,402,114,526,10,0,521,6,1,0,0,336,172,32
1,1,D,118,4,,517,400,117,523,6,0,520,3,0,0,0,345,150,45
1,2,A,115,1,513,513,402,111,522,12,3,515,7,5,0,0,353,142,45
1,2,B,116,2,,514,400,114,522,12,4,514,5,5,0,0,341,164,35
1,2,C,117,3,,518,401,117,526,8,0,521,4,1,0,0,335,169,36
1,2,D,118,4,,518,400,118,523,5,0,520,2,0,0,0,348,145,47
1,3,A,115,1,515,515,402,113,522,9,2,515,5,5,0,0,354,147,39
1,3,B,116,2,,514,399,115,522,11,3,514,5,5,0,0,340,172,28
1,3,C,117,3,,516,402,114,526,10,0,521,6,1,0,0,336,172,32
1,3,D,118,4,,517,400,117,523,6,0,520,3,0,0,0,345,150,45
2,0,A,115,1,515,516,400,116,522,6,0,515,1,2,5,6,354,155,31
2,0,B,116,2,508,508,396,112,522,15,1,514,8,2,0,0,337,175,28
2,0,C,117,3,,518,403,115,526,10,2,521,6,3,0,0,340,172,28
2,0,D,118,4,,518,399,119,523,5,0,520,2,0,0,0,347,150,43
2,1,A,115,1,515,517,401,116,522,6,1,515,0,2,4,6,355,157,28
2,1,B,116,2,512,512,399,113,522,12,2,514,5,3,0,0,339,180,21
2,1,C,117,3,,517,403,114,526,11,2,521,7,3,0,0,341,175,24
