idx,truth,j_true,bit_exact,n_same,n_diff,bayes_pred,bayes_pts
0,DIFFERENT,4,1,0,1,DIFFERENT,1.0
1,DIFFERENT,-1,1,1,1,TIE,0.5
2,SAME,-5,1,1,1,TIE,0.5
3,DIFFERENT,-2,1,1,1,TIE,0.5
4,SAME,-1,1,1,1,TIE,0.5
5,DIFFERENT,-4,1,0,1,DIFFERENT,1.0
6,DIFFERENT,-1,1,1,1,TIE,0.5
7,SAME,3,1,1,0,SAME,1.0
8,DIFFERENT,0,1,2,2,TIE,0.5
9,SAME,3,1,2,1,SAME,1.0
10,SAME,3,1,1,1,TIE,0.5
11,DIFFERENT,0,1,2,2,TIE,0.5
12,SAME,1,1,2,2,TIE,0.5
13,DIFFERENT,-4,1,0,1,DIFFERENT,1.0
14,SAME,2,1,1,1,TIE,0.5
15,SAME,-2,1,1,0,SAME,1.0
16,DIFFERENT,1,1,2,2,TIE,0.5
17,SAME,1,1,2,2,TIE,0.5
18,DIFFERENT,3,1,0,1,DIFFERENT,1.0
19,SAME,2,1,1,1,TIE,0.5
20,SAME,-3,1,1,1,TIE,0.5
21,DIFFERENT,1,1,2,2,TIE,0.5
22,SAME,-3,1,2,1,SAME,1.0
23,DIFFERENT,2,1,2,1,SAME,0.0
