fixture	rep	judgment	score	defects	confidence
html_bad_align.img	a	GOOD	1000	none	1000
html_bad_align.img	b	GOOD	1000	none	1000
html_bad_clutter.img	a	BAD	246	DENSITY_CLUTTER,HIERARCHY_FLAT	885
html_bad_clutter.img	b	BAD	246	DENSITY_CLUTTER,HIERARCHY_FLAT	885
html_bad_color.img	a	BAD	576	HIERARCHY_FLAT	60
html_bad_color.img	b	BAD	576	HIERARCHY_FLAT	60
html_bad_contrast_faint.img	a	BAD	373	CONTRAST_POOR	567
html_bad_contrast_faint.img	b	BAD	373	CONTRAST_POOR	567
html_bad_hierarchy.img	a	BAD	573	HIERARCHY_FLAT	67
html_bad_hierarchy.img	b	BAD	573	HIERARCHY_FLAT	67
html_bad_margin.img	a	GOOD	1000	none	1000
html_bad_margin.img	b	GOOD	1000	none	1000
html_bad_spacing.img	a	GOOD	1000	none	1000
html_bad_spacing.img	b	GOOD	1000	none	1000
html_bad_type.img	a	GOOD	1000	none	1000
html_bad_type.img	b	GOOD	1000	none	1000
html_good_clean.img	a	GOOD	915	none	787
html_good_clean.img	b	GOOD	915	none	787
html_good_dark.img	a	GOOD	1000	none	1000
html_good_dark.img	b	GOOD	1000	none	1000
