mode  brief  probe               ported    hand      match  rationale
0     1      warmest element     0         0         OK     r-b: 170,170,150 -> tie at 170 -> lowest index 0
0     1      zone-7 occupancy    1         1         OK     zones {1,4,7}: zone7 holds elem2 only
0     2      warmest element     2         2         OK     r-b: -110,-5,150,0 -> elem2 (the warm accent)
0     2      zone-7 occupancy    2         2         OK     both text zones at (500,833) -> zone 7
0     3      audio contour       4         4         OK     262,262,349,523 strictly non-falling, last>first -> rising
0     3      max-step index      2         2         OK     steps 0,87,174 -> k=2
0     4      tension(0,1)        3         3         OK     262->523 = octave = 12 semitones -> tcode 3
0     4      audio contour       3         3         OK     262,523,349 rises then falls, single interior peak -> arch
0     5      topmost element     0         0         OK     z: 200,120,0,0,0 -> elem0
0     5      support(0)          1         1         OK     z=200; elem1 ztop=120+80=200>=180, size 80>=40, dx=dy=0 -> 1
0     6      relation(0,3)       1         1         OK     dx=666,dy=333 same z; |dx|>=|dy|, dx>0 -> 1 (LEFT_OF)
0     6      farthest pair       (0, 3)    (0, 3)    OK     zones {0,3,4,5}; cheby(0,5)=2 max -> elems (0,3)
1     1      warmest element     0         0         OK     all color 1003 -> warmth 2 tie -> lowest index 0
1     1      zone-2 occupancy    1         1         OK     zones {0,2,7}: zone2 holds elem1 only
1     2      warmest element     3         3         OK     2003,2003,2004 neutral(1); 1027 hue4 warm(2) -> elem3
1     2      zone-7 occupancy    2         2         OK     zones {1,4,7,7}: zone7 holds both text elems
1     3      audio contour       4         4         OK     bins 26,26,26,27 non-falling, last>first -> rising
1     3      max-step index      2         2         OK     bin steps 0,0,1 -> k=2
1     4      tension(1,2)        2         2         OK     |20-19|=1 bin -> tcode(1)=2
1     4      last-stable         0         0         OK     tension(1,2)=2 != 0 -> 0
1     5      support(0)          1         1         OK     chain 0->1->2 ends rel=0 -> 1
1     5      relation(0,1)       5         5         OK     elem0 rel=5 (STACKED_ON) target elem1 -> 5
1     6      relation(0,2)       1         1         OK     no explicit rels; zones 0 vs 2: col 0<2 -> 1 (LEFT_OF)
1     6      farthest pair       (0, 2)    (0, 2)    OK     zones {0,1,2,3}; cheby(0,2)=2 max -> elems (0,2)

GEN-3: 24/24
