# debate-trial phase1 evidence v1
D1E001 D1 1 0
D1E002 D1 1 0
D1E003 D1 1 0
D1E004 D1 1 0
D1E005 D1 1 0
D1E006 D1 1 0
D1E007 D1 1 0
D1E008 D1 1 0
D1E009 D1 1 0
D1E010 D1 1 0
D1E011 D1 1 0
D1E012 D1 1 0
D1E013 D1 1 0
D1E014 D1 1 1
D1E015 D1 1 0
D1E016 D1 1 1
D1E017 D1 1 0
D1E018 D1 1 1
D1E019 D1 1 0
D1E020 D1 1 1
D1E021 D1 1 0
D1E022 D1 1 0
D1E023 D1 1 0
D1E024 D1 1 2
D1E025 D1 1 0
D1E026 D1 1 0
D1E027 D1 1 0
D1E028 D1 1 0
D1E029 D1 1 0
D1E030 D1 1 0
D1E031 D1 1 0
D1E032 D1 1 0
D1E033 D1 1 0
D1E034 D1 1 0
D1H01 D1 2 1
D1H02 D1 2 0
D1H03 D1 2 0
D1H04 D1 2 0
D2E001 D2 1 0
D2E002 D2 1 1
D2E003 D2 1 1
D2E004 D2 1 0
D2E005 D2 1 0
D2E006 D2 1 0
D2E007 D2 1 0
D2E008 D2 1 0
D2E009 D2 1 0
D2E010 D2 1 0
D2E011 D2 1 0
D2E012 D2 1 0
D2E013 D2 1 0
D2E014 D2 1 0
D2E015 D2 1 0
D2E016 D2 1 0
D2E017 D2 1 0
D2E018 D2 1 2
D2E019 D2 1 0
D2E020 D2 1 0
D2E021 D2 1 0
D2E022 D2 1 0
D2E023 D2 1 0
D2E024 D2 1 0
D2E025 D2 1 0
D2E026 D2 1 0
D2E027 D2 1 0
D2E028 D2 1 0
D2H01 D2 2 0
D2H02 D2 2 0
D2H03 D2 2 0
D2H04 D2 2 2
D3E001 D3 1 0
D3E002 D3 1 0
D3E003 D3 1 0
D3E004 D3 1 0
D3E005 D3 1 0
D3E006 D3 1 0
D3E007 D3 1 0
D3E008 D3 1 0
D3E009 D3 1 0
D3E010 D3 1 1
D3E011 D3 1 1
D3E012 D3 1 0
D3E013 D3 1 0
D3E014 D3 1 2
D3E015 D3 1 0
D3E016 D3 1 0
D3E017 D3 1 0
D3E018 D3 1 0
D3E019 D3 1 2
D3E020 D3 1 0
D3E021 D3 1 1
D3E022 D3 1 0
D3E023 D3 1 0
D3E024 D3 1 1
D3E025 D3 1 0
D3E026 D3 1 0
D4E001 D4 1 0
D4E002 D4 1 0
D4E003 D4 1 0
D4E004 D4 1 0
D4E005 D4 1 0
D4E006 D4 1 0
D4E007 D4 1 0
D4E008 D4 1 0
D4E009 D4 1 0
D4E010 D4 1 0
D4E011 D4 1 0
D4E012 D4 1 0
D4E013 D4 1 0
D4E014 D4 1 0
D4E015 D4 1 0
D4E016 D4 1 0
D4E017 D4 1 0
D4E018 D4 1 2
D4E019 D4 1 0
D4E020 D4 1 0
D4E021 D4 1 0
D4E022 D4 1 0
D4E023 D4 1 0
D4E024 D4 1 0
D4E025 D4 1 0
D4E026 D4 1 0
D4E027 D4 1 0
D4E028 D4 1 0
D4E029 D4 1 0
D4E030 D4 1 2
D4H01 D4 2 1
D4H02 D4 2 2
D4H03 D4 2 0
D4H04 D4 2 0
D5E001 D5 1 0
D5E002 D5 1 0
D5E003 D5 1 0
D5E004 D5 1 0
D5E005 D5 1 1
D5E006 D5 1 1
D5E007 D5 1 0
D5E008 D5 1 2
D5E009 D5 1 0
D5E010 D5 1 0
D5E011 D5 1 0
D5E012 D5 1 0
D5E013 D5 1 0
D5E014 D5 1 0
D5E015 D5 1 0
D5E016 D5 1 1
D5E017 D5 1 0
D5E018 D5 1 2
D5E019 D5 1 1
D5E020 D5 1 0
D5E021 D5 1 0
D5E022 D5 1 0
D5E023 D5 1 0
D5E024 D5 1 0
D5E025 D5 1 0
D5E026 D5 1 0
D5E027 D5 1 0
D5E028 D5 1 2
D5E029 D5 1 1
D5E030 D5 1 0
D5E031 D5 1 2
D5E032 D5 1 0
D5E033 D5 1 0
D5E034 D5 1 0
D5E035 D5 1 0
D5H01 D5 2 2
D5H02 D5 2 2
D5H03 D5 2 0
D5H04 D5 2 1
