A-01-r0	Drinking green tea prevents heart disease.		Daily green tea drinkers have healthy hearts, confirming that green tea prevents heart disease.
A-01-r1	Drinking green tea prevents heart disease.		People with healthy hearts often drink green tea every day.
A-01-r2	Drinking green tea prevents heart disease.		My grandfather drank green tea daily and never had heart trouble.
A-02-r0	Owning a dog makes children more empathetic.		Empathetic children often grow up with dogs, showing that owning a dog makes children more empathetic.
A-02-r1	Owning a dog makes children more empathetic.		Children in dog-owning households score higher on empathy measures.
A-02-r2	Owning a dog makes children more empathetic.		Our kids became so kind after we got a puppy.
A-03-r0	Rain dances cause rainfall.		It rained after the tribe performed the rain dance, proving the dance brings rain.
A-03-r1	Rain dances cause rainfall.		Rainfall was recorded the day after the ceremony.
A-03-r2	Rain dances cause rainfall.		They danced for rain and the skies opened up.
A-04-r0	Eating spinach builds strong bones.		Children with strong bones eat spinach regularly, which shows spinach builds strong bones.
A-04-r1	Eating spinach builds strong bones.		Spinach is common in the diets of children with healthy bones.
A-04-r2	Eating spinach builds strong bones.		Strong-boned kids all eat their spinach.
A-05-r0	Meditation cures chronic pain.		People who meditate report less chronic pain, confirming meditation cures it.
A-05-r1	Meditation cures chronic pain.		After a month of meditation my back pain was gone for good.
A-05-r2	Meditation cures chronic pain.		Meditators do not suffer chronic pain.
A-06-r0	Cold weather causes the common cold.		Colds are most common in cold weather, which proves cold weather causes colds.
A-06-r1	Cold weather causes the common cold.		Every winter I catch a cold as soon as it turns cold.
A-06-r2	Cold weather causes the common cold.		Cold air gives you a cold, everyone knows that.
A-07-r0	Ice cream sales cause drowning deaths.		Drowning deaths rise in months when ice cream sales peak, indicating sales drive the deaths.
A-07-r1	Ice cream sales cause drowning deaths.		The two statistics track each other closely through the summer.
A-07-r2	Ice cream sales cause drowning deaths.		More ice cream sold, more drownings. The link is obvious.
A-08-r0	Carrying a lighter causes lung cancer.		Most lung cancer patients carry lighters, showing that carrying one causes the disease.
A-08-r1	Carrying a lighter causes lung cancer.		Smokers carry lighters and get cancer. The lighter is the common factor.
A-08-r2	Carrying a lighter causes lung cancer.		Lighter owners get lung cancer far more often.
A-09-r0	Full moons cause crime spikes.		Police logs show more incidents during full moons, proving the moon causes crime spikes.
A-09-r1	Full moons cause crime spikes.		Arrest counts climb on full-moon nights.
A-09-r2	Full moons cause crime spikes.		Ask any cop: full moon, busy night.
A-10-r0	Wearing glasses makes eyesight worse.		People who wear glasses have worse eyesight than those who do not, so glasses must weaken eyes.
A-10-r1	Wearing glasses makes eyesight worse.		My vision got worse every year I wore glasses.
A-10-r2	Wearing glasses makes eyesight worse.		Glasses wearers keep needing stronger prescriptions.
A-11-r0	The defendant is innocent.		The jury did not find the defendant guilty, establishing his innocence.
A-11-r1	The defendant is innocent.		No guilty verdict was returned, so the defendant is innocent.
A-11-r2	The defendant is innocent.		Not guilty means innocent, case closed.
A-12-r0	The water is safe to drink.		No contaminants were detected in the sample, so the water is safe to drink.
A-12-r1	The water is safe to drink.		Lab tests found nothing harmful in the water.
A-12-r2	The water is safe to drink.		They tested it and found nothing, totally safe.
A-13-r0	The vaccine has no side effects.		No serious side effects were observed in the trial, proving the vaccine has none.
A-13-r1	The vaccine has no side effects.		Trial monitors recorded zero serious reactions.
A-13-r2	The vaccine has no side effects.		Nobody in the trial had any reaction at all.
