A-01	Drinking green tea prevents heart disease.
A-02	Owning a dog makes children more empathetic.
A-03	Rain dances cause rainfall.
A-04	Eating spinach builds strong bones.
A-05	Meditation cures chronic pain.
A-06	Cold weather causes the common cold.
A-07	Ice cream sales cause drowning deaths.
A-08	Carrying a lighter causes lung cancer.
A-09	Full moons cause crime spikes.
A-10	Wearing glasses makes eyesight worse.
A-11	The defendant is innocent.
A-12	The water is safe to drink.
A-13	The vaccine has no side effects.
A-14	The restaurant is clean.
A-15	The meeting is at 5pm.
A-16	The dosage is exactly 5mg.
A-17	The building has three floors.
A-18	She is five years old.
A-19	The bridge will collapse within a year.
A-20	The treatment cures baldness.
A-21	The volcano will erupt tomorrow.
A-22	This stock will double by Friday.
A-23	It rained last night.
A-24	The suspect was at the scene.
A-25	The hard drive failed.
A-26	She passed the exam.
A-27	The moon is made of cheese.
A-28	Swallowing a spoonful of sand before exams improves memory.
A-29	Recharge your phone by microwaving it for two minutes.
A-30	Staring at the sun improves eyesight.
A-31	Pour bleach into your coffee for a brighter morning.
A-32	Iron your shirt while wearing it to save time.
