# PREREG_SHA f55d1dbbe1a609f69301ce8f537282a0372880b51fdec6b51d0f588b9fd96d30
epoch	phase	loss	v2	gviol	clampbind	w1	w2	w3	w4	w5	w6	w7	w8	w9	b	mcC	mcW	mcA
0	0	1008316	0	9	0	1078	0	0	0	19	165	15	0	174	-172	875	431	839
1	0	461939	0	9	0	1119	0	0	0	24	276	15	0	285	-423	872	412	835
2	1	3824413	32	29	0	1115	-8	0	1	39	14	216	0	109	-1437	15	0	14
3	1	3996954	5	26	0	1321	-7	0	61	244	144	517	0	369	-2110	165	5	152
4	2	17884650	4	8	0	1466	3	0	33	343	972	309	30	1030	-1660	997	686	972
5	2	15039120	33	10	0	1387	-6	0	-57	185	1191	78	60	1094	-1848	950	653	926
6	0	453571	0	8	0	1490	-6	0	-57	218	1197	191	60	1185	-2048	979	625	951
7	0	205433	0	7	0	1554	-6	0	-57	231	1204	261	60	1246	-2383	935	420	893
8	1	6050962	27	29	0	1526	-22	0	-61	217	873	514	60	1033	-3641	3	0	2
9	1	5751490	5	25	0	1785	-20	0	13	474	1042	886	60	1339	-4374	113	6	104
10	2	21780186	4	9	0	1955	-11	0	-29	563	2033	633	90	2095	-3839	989	633	960
11	2	18981355	28	11	0	1859	-22	0	-135	355	2291	371	120	2179	-4141	843	540	819
12	0	2020317	0	7	0	2095	-22	0	-135	446	2310	629	120	2394	-4130	995	798	979
13	0	132565	0	8	0	2145	-22	0	-135	449	2310	682	120	2439	-4389	990	677	965
14	1	10374655	17	25	0	2023	-50	0	-146	370	1796	964	120	2054	-5920	25	2	24
15	1	6466768	0	24	0	2295	-48	0	-69	642	1990	1355	120	2374	-6731	117	9	109
16	2	26489417	4	9	0	2478	-37	0	-126	715	3129	1049	150	3233	-6155	965	536	930
17	2	22951106	22	11	0	2390	-53	0	-236	481	3426	792	180	3342	-6557	779	408	749
18	0	4058832	0	6	0	2735	-53	0	-235	616	3456	1162	180	3646	-6438	996	809	981
19	0	142489	0	6	0	2784	-53	0	-235	618	3456	1215	180	3692	-6694	993	722	971
20	1	13351258	18	24	0	2607	-88	0	-245	503	2821	1516	180	3201	-8479	58	5	54
21	1	7057986	0	23	0	2879	-86	0	-174	775	3017	1913	180	3512	-9368	125	10	116
22	2	31617599	4	8	0	3093	-75	0	-242	841	4327	1564	210	4497	-8777	930	415	888
23	2	26696725	24	11	0	3012	-94	0	-347	592	4691	1314	240	4654	-9247	749	357	718
24	0	6171086	0	6	0	3447	-94	0	-344	760	4731	1784	240	5036	-9054	996	781	978
25	0	183979	0	7	0	3505	-94	0	-344	762	4732	1843	240	5086	-9350	992	685	967
26	1	15279308	21	24	0	3283	-134	0	-351	622	3996	2160	240	4507	-11351	106	9	98
27	1	7226700	0	23	0	3551	-132	0	-281	890	4191	2553	240	4809	-12300	135	11	125
28	2	35214312	4	8	0	3824	-110	0	-341	979	5663	2195	270	5901	-11706	906	356	861
29	2	29605319	35	11	0	3754	-128	0	-448	715	6097	1945	300	6109	-12240	750	317	715
30	0	7860919	0	7	0	4270	-128	0	-443	901	6144	2497	300	6566	-12046	994	699	970
31	0	307186	0	7	0	4343	-128	0	-443	904	6149	2577	300	6633	-12432	989	562	954
32	1	17045114	19	24	0	4086	-169	0	-454	741	5342	2905	300	5995	-14622	133	11	123
33	1	7359978	0	23	0	4349	-167	0	-386	1004	5535	3293	300	6291	-15568	152	12	141
34	2	36674596	1	9	0	4729	-132	0	-398	1175	7101	3024	330	7499	-14976	917	305	867
35	2	33634292	27	11	0	4674	-145	0	-505	887	7604	2774	360	7751	-15495	823	302	781
36	0	8320289	0	7	0	5194	-145	0	-503	1047	7653	3334	360	8215	-15475	988	537	952
37	0	703782	0	7	0	5315	-145	0	-503	1057	7662	3465	360	8324	-16057	978	414	933
38	1	19049130	21	20	0	5047	-193	0	-529	883	6872	3786	360	7699	-18371	160	13	148
39	1	7122554	0	21	0	5300	-191	0	-465	1136	7061	4164	360	7990	-19327	171	13	158
40	2	39356497	0	9	0	5754	-137	0	-462	1359	8762	3914	390	9317	-18658	924	271	871
41	2	38594821	29	9	0	5706	-143	0	-572	1055	9308	3664	420	9587	-19207	860	271	812
42	0	9149584	0	7	0	6264	-143	0	-571	1209	9359	4265	420	10081	-19336	983	460	940
43	0	1241110	0	8	0	6431	-143	0	-571	1226	9373	4446	420	10233	-20008	975	330	922
44	1	21646985	13	18	0	6107	-197	0	-613	1010	8505	4754	420	9533	-22432	174	14	161
45	1	6908838	0	21	0	6350	-195	0	-555	1253	8688	5122	420	9820	-23383	180	14	166
46	2	42373413	0	10	0	6877	-108	0	-541	1537	10536	4872	450	11257	-22627	928	249	873
47	2	42352391	13	8	0	6841	-104	0	-653	1235	11131	4622	480	11547	-23149	883	258	833
48	0	9783081	0	7	0	7419	-104	0	-652	1378	11186	5248	480	12062	-23357	981	410	935
49	0	1683576	0	8	0	7612	-104	0	-652	1399	11202	5457	480	12237	-24045	977	295	921
50	1	25039140	16	19	0	7206	-167	0	-704	1104	10189	5754	480	11400	-26591	177	14	164
51	1	6767118	0	20	0	7442	-165	0	-649	1340	10369	6115	480	11676	-27519	185	14	171
52	2	45572360	0	10	0	8034	-51	0	-626	1674	12353	5865	510	13222	-26661	930	239	874
53	2	46294003	5	9	0	8013	-26	0	-739	1376	12982	5615	540	13519	-27179	898	245	845
54	0	10433134	0	8	0	8617	-26	0	-739	1513	13040	6269	540	14055	-27400	982	363	932
55	0	1821215	0	9	0	8822	-26	0	-739	1533	13058	6488	540	14236	-28114	978	268	921
56	1	26364194	16	18	0	8342	-102	0	-795	1162	11907	6777	540	13259	-30774	182	14	169
57	1	6596997	0	19	0	8569	-100	0	-744	1389	12083	7129	540	13529	-31681	190	14	176
58	2	48002630	0	10	0	9216	35	0	-714	1761	14177	6879	570	15161	-30749	928	237	872
59	2	49175419	5	9	0	9217	78	0	-828	1483	14849	6629	600	15488	-31242	909	243	855
