label,rep,mastery,revisability,integrity,retention,cost,esc,eps,ops,e90,hallu_n,k1,k2,k3,refusal,explanted,stayed,disconn
X,0,1.000000,1.000000,1.000000,1.000000,0.910775,0,295,289,190,0,1,1,1,1,0/0,0/0,6
X,1,1.000000,1.000000,1.000000,1.000000,0.910775,0,295,289,210,0,1,1,1,1,0/0,0/0,6
X,2,1.000000,1.000000,1.000000,1.000000,0.910775,0,295,289,210,0,1,1,1,1,0/0,0/0,6
X,3,1.000000,1.000000,1.000000,1.000000,0.910775,0,295,289,200,0,1,1,1,1,0/0,0/0,6
X,4,1.000000,1.000000,1.000000,1.000000,0.910775,0,295,289,210,0,1,1,1,1,0/0,0/0,6
X,5,1.000000,1.000000,1.000000,1.000000,0.910775,0,295,289,210,0,1,1,1,1,0/0,0/0,6
X,6,1.000000,1.000000,1.000000,1.000000,0.910775,0,295,289,200,0,1,1,1,1,0/0,0/0,6
X,7,1.000000,1.000000,1.000000,1.000000,0.910775,0,295,289,190,0,1,1,1,1,0/0,0/0,6
X,8,1.000000,1.000000,1.000000,1.000000,0.910775,0,295,289,210,0,1,1,1,1,0/0,0/0,6
X,9,1.000000,1.000000,1.000000,1.000000,0.910775,0,295,289,210,0,1,1,1,1,0/0,0/0,6
X,10,1.000000,1.000000,1.000000,1.000000,0.910775,0,295,289,190,0,1,1,1,1,0/0,0/0,6
X,11,1.000000,1.000000,1.000000,1.000000,0.910775,0,295,289,210,0,1,1,1,1,0/0,0/0,6
Y,0,1.000000,1.000000,1.000000,1.000000,0.893078,0,289,346,200,0,1,1,1,1,10/10,32/32,6
Y,1,1.000000,1.000000,1.000000,1.000000,0.893078,0,289,346,200,0,1,1,1,1,10/10,32/32,6
Y,2,1.000000,1.000000,1.000000,1.000000,0.893078,0,289,346,210,0,1,1,1,1,10/10,32/32,6
Y,3,1.000000,1.000000,1.000000,1.000000,0.893078,0,289,346,200,0,1,1,1,1,10/10,32/32,6
Y,4,1.000000,1.000000,1.000000,1.000000,0.893078,0,289,346,200,0,1,1,1,1,10/10,32/32,6
Y,5,1.000000,1.000000,1.000000,1.000000,0.893078,0,289,346,210,0,1,1,1,1,10/10,32/32,6
Y,6,1.000000,1.000000,1.000000,1.000000,0.893078,0,289,346,190,0,1,1,1,1,10/10,32/32,6
Y,7,1.000000,1.000000,1.000000,1.000000,0.893078,0,289,346,190,0,1,1,1,1,10/10,32/32,6
Y,8,1.000000,1.000000,1.000000,1.000000,0.893078,0,289,346,210,0,1,1,1,1,10/10,32/32,6
Y,9,1.000000,1.000000,1.000000,1.000000,0.893078,0,289,346,210,0,1,1,1,1,10/10,32/32,6
Y,10,1.000000,1.000000,1.000000,1.000000,0.893078,0,289,346,190,0,1,1,1,1,10/10,32/32,6
Y,11,1.000000,1.000000,1.000000,1.000000,0.893078,0,289,346,200,0,1,1,1,1,10/10,32/32,6
Z,0,1.000000,0.000000,1.000000,1.000000,0.052360,12,68,307,0,0,1,1,1,1,0/0,0/0,0
Z,1,1.000000,0.000000,1.000000,1.000000,0.052360,12,68,307,0,0,1,1,1,1,0/0,0/0,0
Z,2,1.000000,0.000000,1.000000,1.000000,0.052360,12,68,307,0,0,1,1,1,1,0/0,0/0,0
Z,3,1.000000,0.000000,1.000000,1.000000,0.052360,12,68,307,0,0,1,1,1,1,0/0,0/0,0
Z,4,1.000000,0.000000,1.000000,1.000000,0.052360,12,68,307,0,0,1,1,1,1,0/0,0/0,0
Z,5,1.000000,0.000000,1.000000,1.000000,0.052360,12,68,307,0,0,1,1,1,1,0/0,0/0,0
Z,6,1.000000,0.000000,1.000000,1.000000,0.052360,12,68,307,0,0,1,1,1,1,0/0,0/0,0
Z,7,1.000000,0.000000,1.000000,1.000000,0.052360,12,68,307,0,0,1,1,1,1,0/0,0/0,0
Z,8,1.000000,0.000000,1.000000,1.000000,0.052360,12,68,307,0,0,1,1,1,1,0/0,0/0,0
Z,9,1.000000,0.000000,1.000000,1.000000,0.052360,12,68,307,0,0,1,1,1,1,0/0,0/0,0
Z,10,1.000000,0.000000,1.000000,1.000000,0.052360,12,68,307,0,0,1,1,1,1,0/0,0/0,0
Z,11,1.000000,0.000000,1.000000,1.000000,0.052360,12,68,307,0,0,1,1,1,1,0/0,0/0,0
