GD-01	GROWS(wheat)	IF(RAIN(),GROWS(wheat));RAIN()	1
GD-02	WET(ground)	IF(RAIN(),WET(ground));SPRINKLER()	0
GD-03	B()	IF(A(),B());A()	1
GD-04	GROWS(wheat)	IF(RAIN(),GROWS(wheat));RAIN()	1
GD-05	WET(ground)	IF(RAIN(),WET(ground))	0
GD-06	B()	IF(A(),B());NOT(A())	0
GD-07	GROWS(wheat)	IF(RAIN(),GROWS(wheat));NOT(RAIN())	0
GD-08	B()	IF(A(),B());A()	1
GD-09	Q()	IF(P(),Q());IF(R(),P());R()	0
GD-10	B()	IF(A(),B());A()	1
GD-11	IF(A(),B())	NOT(IF(A(),B()))	2
GD-12	IF(A(),B())	IF(A(),B())	1
GD-13	C()	IF(A(),B());IF(B(),C());A()	0
GD-14	B()	IF(A(),B());A()	1
GD-15	B()	IF(A(),C())	0
GD-16	FLOOD()	IF(RAIN(),FLOOD());RAIN()	1
GD-17	GROWS(wheat)	IF(RAIN(),GROWS(wheat))	0
GD-18	B()	IF(A(),B());A();NOT(A())	1
GD-19	NOT(B())	IF(A(),B());A()	0
GD-20	MAYBE(B())	IF(A(),B());A()	0
