fixture,truth,panel_corr,mean_abs_illum_diff_R,mean_abs_illum_diff_G,mean_abs_illum_diff_B,finding
r2a_colorconst_0340.img,SAME_SURFACE,0.6049,30.2,3.0,6.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0341.img,SAME_SURFACE,0.5045,50.6,5.5,36.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0342.img,SAME_SURFACE,0.3425,51.9,21.4,10.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0343.img,SAME_SURFACE,-0.4479,106.4,74.1,4.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0344.img,SAME_SURFACE,0.4752,26.3,0.5,31.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0345.img,SAME_SURFACE,0.8726,18.0,16.4,49.4,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0346.img,SAME_SURFACE,0.7661,13.9,2.6,16.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0347.img,SAME_SURFACE,0.7143,2.7,17.4,60.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0348.img,SAME_SURFACE,0.1934,104.5,63.1,14.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0349.img,SAME_SURFACE,0.3396,23.8,8.8,32.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0350.img,SAME_SURFACE,0.6043,7.6,8.8,7.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0351.img,SAME_SURFACE,0.4905,50.6,11.0,42.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0352.img,SAME_SURFACE,0.5657,0.4,3.3,9.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0353.img,SAME_SURFACE,0.1743,14.1,40.3,64.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0354.img,SAME_SURFACE,0.8466,17.7,7.6,61.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0355.img,SAME_SURFACE,0.6803,33.1,4.6,26.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0356.img,SAME_SURFACE,0.8501,9.2,9.0,29.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0357.img,SAME_SURFACE,0.8035,51.6,26.0,15.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0358.img,SAME_SURFACE,0.5956,19.6,7.5,47.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0359.img,SAME_SURFACE,0.5301,23.2,5.8,32.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0360.img,SAME_SURFACE,0.1837,85.8,40.6,6.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0361.img,SAME_SURFACE,0.3209,14.0,11.0,31.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0362.img,SAME_SURFACE,0.5011,19.8,34.1,56.7,MISLABELED: panels are different photos (corr<0.9)
