arm	cid	frozen	r1r2	r3	r5	r6	attrib
solo	C1	4	4	4	2	2	R5
solo	C2	2	2	2	2	2	STABLE
solo	C3	3	2	2	2	2	R1R2
solo	C4	2	2	2	2	2	STABLE
solo	C14	4	4	4	4	4	STABLE
solo	C5	2	2	4	4	4	R3
solo	C6	3	4	4	4	4	R3
solo	C7	2	4	4	4	4	R1R2
solo	C8	2	4	4	4	4	R3
solo	C9	3	3	3	3	3	STABLE
solo	C10	4	4	4	3	3	R5
solo	C11	2	4	4	4	4	R3
solo	C12	2	3	4	4	4	R3
solo	C13	2	4	4	4	4	R3
solo	C15	2	4	4	4	4	R1R2
solo	C16	2	4	4	4	3	R6
solo	A1	5	5	5	4	4	R5
solo	A2	5	5	5	3	3	R5
solo	A3	5	5	5	2	2	R5
helper	C1	4	4	4	2	2	R5
helper	C2	2	2	2	2	2	STABLE
helper	C3	3	2	2	2	2	R1R2
helper	C4	2	2	2	2	2	STABLE
helper	C14	4	4	4	4	4	STABLE
helper	C5	2	2	4	4	4	R3
helper	C6	3	4	4	4	4	R3
helper	C7	2	4	4	4	4	R1R2
helper	C8	2	4	4	4	4	R3
helper	C9	3	3	3	3	3	STABLE
helper	C10	4	4	4	4	4	STABLE
helper	C11	4	4	4	4	4	R3
helper	C12	2	3	4	4	4	R3
helper	C13	2	4	4	4	4	R3
helper	C15	2	4	4	4	4	R1R2
helper	C16	4	4	4	4	3	R6
helper	A1	5	5	5	3	3	R5
helper	A2	5	5	5	3	3	R5
helper	A3	5	5	5	3	3	R5
