step	param	old	new	L
0	init	0	0	395352720889719
8	0	1000	1008	389420637842209
8	1	0	8	389420570336618
-8	3	0	-8	389415815338253
8	4	0	8	380509196194122
8	5	0	8	370078792391238
8	6	0	8	369824106590806
-8	7	0	-8	369823262597118
8	8	0	8	359429842506918
8	0	1008	1016	353874702102140
-8	3	-8	-16	353849989714914
8	4	8	16	345444867947091
8	5	8	16	335806812127670
8	6	8	16	335582330803230
-8	7	-8	-16	335581193310955
8	8	8	16	326002341565882
8	0	1016	1024	320883878017462
8	1	8	16	320879615108368
-8	3	-16	-24	320826709347178
8	4	16	24	313014036058848
8	5	16	24	304165755140648
8	6	16	24	304039652078348
-8	7	-16	-24	304038429585903
8	8	16	24	295440421367674
8	0	1024	1032	290911173896405
8	1	16	24	290909489913945
-8	3	-24	-32	290848893903892
8	4	24	32	283729986543387
8	5	24	32	275673013151974
-8	6	24	16	275671173184774
-8	7	-24	-32	275669865692159
8	8	24	32	267854383895155
8	0	1032	1040	263667930032569
-8	1	24	16	263625492692483
-8	3	-32	-40	263560606172431
8	4	32	40	256938631961495
8	5	32	40	249638643827282
-8	6	16	8	249635443859122
-8	7	-32	-40	249634056366347
8	8	32	40	242577135413359
8	0	1040	1048	238762226914941
8	1	16	24	238734419351424
-8	3	-40	-48	238673730439248
8	4	40	48	232649375438360
8	5	40	48	226113896527320
-8	6	8	0	226109316558200
-8	7	-40	-48	226107844065255
8	8	40	48	219816786409798
8	0	1048	1056	216332938140268
-8	1	24	16	216234278345760
-8	3	-48	-56	216198004745354
8	4	48	56	210706623093647
8	5	48	56	204927598319812
-8	6	0	-8	204921698349732
-8	7	-48	-56	204920145856627
8	8	48	56	199385664492839
8	0	1056	1064	196252706074826
-8	1	16	8	196202721530468
-8	3	-56	-64	196120977750046
8	4	56	64	191219918461124
8	5	56	64	186197359446718
-8	6	-8	-16	186190099475678
-8	7	-56	-64	186188466982413
8	8	56	64	181415880057796
8	0	1064	1072	178673903439505
-8	1	8	0	178625495391520
-8	3	-64	-72	178533303924750
8	4	64	72	174177780282318
8	5	64	72	169919097571890
-8	6	-16	-24	169910457599890
-8	7	-64	-72	169908745106465
8	8	64	72	165894863952800
8	0	1072	1080	163463201104547
-8	3	-72	-80	163405463439258
8	4	72	80	159605394465853
8	5	72	80	156106118426053
-8	6	-24	-32	156096118453093
-8	7	-72	-80	156094320959498
8	8	72	80	152847521533882
8	0	1080	1088	150762942201258
-8	3	-80	-88	150677053584981
8	4	80	88	147470184442176
8	5	80	88	144759136682339
-8	6	-32	-40	144747796708419
-8	7	-80	-88	144745919214664
8	8	80	88	142310417740011
8	0	1088	1096	140721946313527
-8	3	-88	-96	140609938909948
8	4	88	96	137947008056490
8	5	88	96	136039271103254
-8	6	-40	-48	136026571128374
-8	7	-88	-96	136024608634449
8	8	88	96	134347322647010
8	0	1096	1104	133121944430183
-8	3	-96	-104	133008065700816
8	4	96	104	130900383821791
8	5	96	104	129705538459410
-8	6	-48	-56	129691458483570
-8	7	-96	-104	129689415989485
8	8	96	104	128729269938698
8	0	1104	1112	127801687508876
-8	3	-104	-112	127673793651851
8	4	104	112	126121784976798
8	5	104	112	125649133963108
-8	6	-56	-64	125633693986308
-8	7	-104	-112	125631566492053
8	8	104	112	125387056631116
8	0	1112	1120	124782633848916
-8	3	-112	-120	124697085080735
8	4	112	120	123665190126411
-8	5	112	104	123657495503116
-8	6	-64	-72	123641815525996
-8	7	-112	-120	123639658031681
8	0	1120	1128	122995351673893
-8	3	-120	-128	122867387359790
8	4	120	128	121988617554337
-8	5	104	96	121941202719034
-8	6	-72	-80	121925942742234
-8	7	-120	-128	121924226746802
8	0	1128	1136	121380442144878
-8	3	-128	-136	121250022204865
8	4	128	136	120321581629131
-8	5	96	88	120234012630167
-8	6	-80	-88	120219152653687
-8	7	-128	-136	120217444658271
8	0	1136	1144	119702752477518
-8	3	-136	-144	119573063362241
8	4	136	144	118827751264229
-8	5	88	80	118699885364292
-8	6	-88	-96	118685405388132
-8	7	-136	-144	118683282893887
8	0	1144	1152	118197533028814
-8	3	-144	-152	118095011522636
8	4	144	152	117263355985657
-8	5	80	72	117095562277863
-8	6	-96	-104	117081482302023
-8	7	-144	-152	117079369807798
8	0	1152	1160	116607717018549
-8	3	-152	-160	116524250115715
8	4	152	160	115822881069063
-8	5	72	64	115613283027062
-8	6	-104	-112	115599583051542
-8	7	-152	-160	115597480557337
8	0	1160	1168	115094120517824
-8	3	-160	-168	114963088890086
8	4	160	168	114294444089880
-8	5	64	56	114047696521006
-8	6	-112	-120	114034436545806
-8	7	-160	-168	114032344051621
-8	8	112	104	113999143220784
8	0	1168	1176	113518494523652
-8	3	-168	-176	113391100951163
8	4	168	176	112617206476944
-8	5	56	48	112551338955935
-8	6	-120	-128	112539098981695
-8	7	-168	-176	112537056487610
8	0	1176	1184	112086389561022
-8	3	-176	-184	111960011723589
8	4	176	184	111252852509390
-8	5	48	40	111148682139928
-8	6	-128	-136	111136842166008
-8	7	-176	-184	111134809671943
8	0	1184	1192	110703652032636
-8	3	-184	-192	110581013757369
8	4	184	192	109955898649828
-8	5	40	32	109812544388727
-8	6	-136	-144	109801084415127
-8	7	-184	-192	109799468419895
8	0	1192	1200	109293470803378
-8	3	-192	-200	109220832847317
8	4	192	200	108683643816416
-8	5	32	24	108500398980501
-8	6	-144	-152	108489339007221
-8	7	-192	-200	108487331513206
8	0	1200	1208	107984145799771
-8	3	-200	-208	107886152644230
8	4	200	208	107376109613062
-8	5	24	16	107158274279126
-8	6	-152	-160	107147634369686
-8	7	-200	-208	107145636875691
8	0	1208	1216	106726869180073
-8	3	-208	-216	106634388993427
8	4	208	216	106177067515808
-8	5	16	8	105920690741727
-8	6	-160	-168	105910764003259
-8	7	-208	-216	105908776509284
-8	8	104	96	105875251205887
8	0	1216	1224	105432475943424
-8	3	-216	-224	105317695760871
8	4	216	224	104715549053745
-8	5	8	0	104647082611747
-8	6	-168	-176	104646288944026
-8	7	-216	-224	104644351450151
8	0	1224	1232	104218361072607
-8	1	0	-8	104208535755861
-8	3	-224	-232	104138028544606
8	4	224	232	103596991595353
-8	5	0	-8	103510635696553
-8	7	-224	-232	103508713202708
8	0	1232	1240	103080520235227
8	1	-8	0	103054372493872
-8	3	-232	-240	102980683404221
8	4	232	240	102487047338438
-8	5	-8	-16	102337993392611
