id	depth	P	Cn	bind01
TRAP-A1-001	2	0	200	0
TRAP-A1-002	2	0	200	0
TRAP-A1-003	2	0	200	0
TRAP-A1-004	2	0	200	0
TRAP-A1-005	2	0	200	0
TRAP-A1-006	2	0	200	0
TRAP-A1-007	2	0	200	0
TRAP-A1-008	2	0	200	0
TRAP-A2-001	2	0	200	0
TRAP-A2-002	2	0	200	0
TRAP-A2-003	2	0	200	0
TRAP-A2-004	2	0	200	0
TRAP-A2-005	2	0	200	0
TRAP-A2-006	2	0	200	0
TRAP-A2-007	2	0	200	0
TRAP-A2-008	2	0	200	0
TRAP-A4-001	2	0	200	0
TRAP-A4-002	2	0	200	0
TRAP-A4-003	2	0	200	0
TRAP-A4-004	2	0	200	0
TRAP-A4-005	2	0	200	0
TRAP-A4-006	2	0	200	0
TRAP-A5-001	2	0	200	0
TRAP-A5-002	2	0	200	0
TRAP-A5-003	2	0	200	0
TRAP-A5-004	2	0	200	0
TRAP-A5-005	2	0	200	0
TRAP-A5-006	2	0	200	0
TRAP-B1-001	2	0	200	0
TRAP-B1-002	2	0	200	0
TRAP-B1-003	2	0	200	0
TRAP-B1-004	2	0	200	0
TRAP-B1-005	2	0	200	0
TRAP-B1-006	2	0	200	0
TRAP-B1-007	2	0	200	0
TRAP-B1-008	2	0	200	0
TRAP-B2-001	2	0	200	0
TRAP-B2-002	2	0	200	0
TRAP-B2-003	2	0	200	0
TRAP-B2-004	2	0	200	0
TRAP-B2-005	2	0	200	0
TRAP-B2-006	2	0	200	0
TRAP-B2-007	2	0	200	0
TRAP-B2-008	2	0	200	0
TRAP-B3-001	2	0	200	0
TRAP-B3-002	2	0	200	0
TRAP-B3-003	2	0	200	0
TRAP-B3-004	2	0	200	0
TRAP-B3-005	2	0	200	0
TRAP-B3-006	2	0	200	0
TRAP-C1-001	2	0	200	0
TRAP-C1-002	2	0	200	0
TRAP-C1-003	2	0	200	0
TRAP-C1-004	2	0	200	0
TRAP-C1-005	2	0	200	0
TRAP-C1-006	2	0	200	0
TRAP-C2-001	2	0	200	0
TRAP-C2-002	2	0	200	0
TRAP-C2-003	2	0	200	0
TRAP-C2-004	2	0	200	0
TRAP-C2-005	2	0	200	0
TRAP-C2-006	2	0	200	0
TRAP-CV-001	2	0	200	0
TRAP-CV-002	2	0	200	0
TRAP-CV-003	2	0	200	0
TRAP-CV-004	2	0	200	0
TRAP-CH-001	2	0	200	0
TRAP-CH-002	2	0	200	0
TRAP-CH-003	2	0	200	0
TRAP-C7-001	2	0	200	0
TRAP-C7-002	2	0	200	0
TRAP-C7-003	2	0	200	0
TRAP-C7-004	2	0	200	0
TRAP-C7-005	2	0	200	0
TRAP-C4-001	2	0	200	0
TRAP-C4-002	2	0	200	0
TRAP-C4-003	2	0	200	0
TRAP-C4-004	2	0	200	0
TRAP-C4-005	2	0	200	0
TRAP-C4-006	2	0	200	0
TRAP-C6-001	2	0	200	0
TRAP-C6-002	2	0	200	0
TRAP-C6-003	2	0	200	0
TRAP-C6-004	2	0	200	0
TRAP-C6-005	2	0	200	0
