id	depth	P	Cn	bind01
H5B-P-40-00	32	0	500	0
H5B-P-40-01	32	0	500	0
H5B-P-40-02	32	0	500	0
H5B-P-40-03	32	0	500	0
H5B-P-40-04	32	0	500	0
H5B-P-40-05	32	0	500	0
H5B-P-40-06	32	0	500	0
H5B-P-40-07	32	0	500	0
H5B-P-40-08	32	0	500	0
H5B-P-40-09	32	0	500	0
H5B-O-40-00	32	0	500	0
H5B-O-40-01	32	0	500	0
H5B-O-40-02	32	0	500	0
H5B-O-40-03	32	0	500	0
H5B-O-40-04	32	0	500	0
H5B-O-40-05	32	0	500	0
H5B-O-40-06	32	0	500	0
H5B-O-40-07	32	0	500	0
H5B-O-40-08	32	0	500	0
H5B-O-40-09	32	0	500	0
H5B-D-0-00	32	0	969	0
H5B-D-0-01	32	0	969	0
H5B-D-0-02	32	0	969	0
H5B-D-0-03	32	0	969	0
H5B-D-0-04	32	0	969	0
H5B-D-0-05	32	0	969	0
H5B-D-0-06	32	0	969	0
H5B-D-0-07	32	0	969	0
H5B-D-0-08	32	0	969	0
H5B-D-0-09	32	0	969	0
