id	depth	P	Cn	bind01
revoke-mech-a0-rt1	1	0	500	0
revoke-mech-a0-rt2	1	0	500	0
revoke-mech-a0-rt3	1	0	500	0
revoke-mech-a1-rt1	1	0	500	0
revoke-mech-a1-rt2	1	0	500	0
revoke-mech-a1-rt3	1	0	500	0
revoke-mech-a2-rt1	1	0	500	0
revoke-mech-a2-rt2	1	0	500	0
revoke-mech-a2-rt3	1	0	500	0
revoke-mech-a3-rt1	1	0	500	0
revoke-mech-a3-rt2	1	0	500	0
revoke-mech-a3-rt3	1	0	500	0
revoke-mech-b1-rt1	1	0	500	0
revoke-mech-b1-rt2	1	0	500	0
revoke-mech-b1-rt3	1	0	500	0
revoke-mech-b2-rt1	1	0	500	0
revoke-mech-b2-rt2	1	0	500	0
revoke-mech-b2-rt3	1	0	500	0
revoke-mech-c1-rt1	1	0	500	0
revoke-mech-c1-rt2	1	0	500	0
revoke-mech-c1-rt3	1	0	500	0
revoke-mech-c2-rt1	1	0	500	0
revoke-mech-c2-rt2	1	0	500	0
revoke-mech-c2-rt3	1	0	500	0
revoke-mech-c3-rt1	1	0	500	0
revoke-mech-c3-rt2	1	0	500	0
revoke-mech-c3-rt3	1	0	500	0
revoke-mech-c4-rt1	1	0	500	0
revoke-mech-c4-rt2	1	0	500	0
revoke-mech-c4-rt3	1	0	500	0
revoke-mech-fl2-rt1	1	0	500	0
revoke-mech-fl2-rt2	1	0	500	0
revoke-mech-fl2-rt3	1	0	500	0
revoke-r2-a2-A	1	0	500	0
revoke-r2-a2-A-kb-a1	1	0	500	0
revoke-r2-a2-A-kb-a2	1	0	500	0
revoke-r2-a2-B	1	0	500	0
revoke-r2-a2-B-kb-b1	1	0	500	0
revoke-r2-a2-C	1	0	500	0
revoke-r2-a2-C-kb-c1	1	0	500	0
revoke-r2-a2-D	1	0	500	0
revoke-r2-a2-D-kb-d1	1	0	500	0
revoke-r2-a2-D-kb-d2	1	0	500	0
revoke-r2-a2-E	1	0	500	0
revoke-r2-a2-E-kb-e1	1	0	500	0
revoke-r2-a2-E-kb-e2	1	0	500	0
revoke-r2-a2-F	1	0	500	0
revoke-r2-a2-F-kb-f1	1	0	500	0
revoke-r2-a2-fid	1	0	500	0
revoke-r2-a3-A	1	0	500	0
revoke-r2-a3-A-kb-a1	1	0	500	0
revoke-r2-a3-A-kb-a2	1	0	500	0
revoke-r2-a3-B	1	0	500	0
revoke-r2-a3-B-kb-b1	1	0	500	0
revoke-r2-a3-C	1	0	500	0
revoke-r2-a3-C-kb-c1	1	0	500	0
revoke-r2-a3-D	1	0	500	0
revoke-r2-a3-D-kb-d1	1	0	500	0
revoke-r2-a3-D-kb-d2	1	0	500	0
revoke-r2-a3-E	1	0	500	0
revoke-r2-a3-E-kb-e1	1	0	500	0
revoke-r2-a3-E-kb-e2	1	0	500	0
revoke-r2-a3-F	1	0	500	0
revoke-r2-a3-F-kb-f1	1	0	500	0
revoke-r2-a3-fid	1	0	500	0
revoke-r2-b1-A	1	0	500	0
revoke-r2-b1-A-kb-a1	1	0	500	0
revoke-r2-b1-A-kb-a2	1	0	500	0
revoke-r2-b1-B	1	0	500	0
revoke-r2-b1-B-kb-b1	1	0	500	0
revoke-r2-b1-C	1	0	500	0
revoke-r2-b1-C-kb-c1	1	0	500	0
revoke-r2-b1-D	1	0	500	0
revoke-r2-b1-D-kb-d1	1	0	500	0
revoke-r2-b1-D-kb-d2	1	0	500	0
revoke-r2-b1-E	1	0	500	0
revoke-r2-b1-E-kb-e1	1	0	500	0
revoke-r2-b1-E-kb-e2	1	0	500	0
revoke-r2-b1-F	1	0	500	0
revoke-r2-b1-F-kb-f1	1	0	500	0
revoke-r2-b1-fid	1	0	500	0
revoke-r2-default-A	1	0	500	0
revoke-r2-default-A-kb-a1	1	0	500	0
revoke-r2-default-A-kb-a2	1	0	500	0
revoke-r2-default-B	1	0	500	0
revoke-r2-default-B-kb-b1	1	0	500	0
revoke-r2-default-C	1	0	500	0
revoke-r2-default-C-kb-c1	1	0	500	0
revoke-r2-default-D	1	0	500	0
revoke-r2-default-D-kb-d1	1	0	500	0
revoke-r2-default-D-kb-d2	1	0	500	0
revoke-r2-default-E	1	0	500	0
revoke-r2-default-E-kb-e1	1	0	500	0
revoke-r2-default-E-kb-e2	1	0	500	0
revoke-r2-default-F	1	0	500	0
revoke-r2-default-F-kb-f1	1	0	500	0
revoke-r2-default-fid	1	0	500	0
revoke-r2-f3-A	1	0	500	0
revoke-r2-f3-A-kb-a1	1	0	500	0
revoke-r2-f3-A-kb-a2	1	0	500	0
revoke-r2-f3-B	1	0	500	0
revoke-r2-f3-B-kb-b1	1	0	500	0
revoke-r2-f3-C	1	0	500	0
revoke-r2-f3-C-kb-c1	1	0	500	0
revoke-r2-f3-D	1	0	500	0
revoke-r2-f3-D-kb-d1	1	0	500	0
revoke-r2-f3-D-kb-d2	1	0	500	0
revoke-r2-f3-E	1	0	500	0
revoke-r2-f3-E-kb-e1	1	0	500	0
revoke-r2-f3-E-kb-e2	1	0	500	0
revoke-r2-f3-F	1	0	500	0
revoke-r2-f3-F-kb-f1	1	0	500	0
revoke-r2-f3-fid	1	0	500	0
