cluster,control,principles,ground_truth
nf-a-01,INSTALL,INSTALL,INSTALL
nf-a-02,INSTALL,INSTALL,INSTALL
nf-a-03,INSTALL,INSTALL,INSTALL
nf-a-04,INSTALL,INSTALL,INSTALL
nf-a-05,INSTALL,INSTALL,INSTALL
nf-a-06,INSTALL,INSTALL,INSTALL
nf-a-07,INSTALL,INSTALL,INSTALL
nf-a-08,INSTALL,INSTALL,INSTALL
nf-a-09,INSTALL,INSTALL,INSTALL
nf-a-10,INSTALL,INSTALL,INSTALL
nf-a-11,INSTALL,INSTALL,INSTALL
nf-a-12,INSTALL,INSTALL,INSTALL
nf-a-13,INSTALL,INSTALL,INSTALL
nf-a-14,INSTALL,INSTALL,INSTALL
nf-a-15,INSTALL,INSTALL,INSTALL
nf-a-16,INSTALL,INSTALL,INSTALL
nf-a-17,INSTALL,INSTALL,INSTALL
nf-a-18,INSTALL,INSTALL,INSTALL
nf-a-19,INSTALL,INSTALL,INSTALL
nf-a-20,INSTALL,INSTALL,INSTALL
nf-b-01,WITHHOLD,INSTALL,INSTALL
nf-b-02,WITHHOLD,INSTALL,INSTALL
nf-b-03,WITHHOLD,INSTALL,INSTALL
nf-b-04,WITHHOLD,INSTALL,INSTALL
nf-b-05,WITHHOLD,INSTALL,INSTALL
nf-b-06,WITHHOLD,INSTALL,INSTALL
nf-b-07,WITHHOLD,INSTALL,INSTALL
nf-b-08,WITHHOLD,INSTALL,INSTALL
nf-b-09,WITHHOLD,INSTALL,INSTALL
nf-b-10,WITHHOLD,INSTALL,INSTALL
nf-b-11,WITHHOLD,INSTALL,INSTALL
nf-b-12,WITHHOLD,INSTALL,INSTALL
nf-b-13,WITHHOLD,INSTALL,INSTALL
nf-b-14,WITHHOLD,INSTALL,INSTALL
nf-b-15,WITHHOLD,INSTALL,INSTALL
nf-b-16,WITHHOLD,INSTALL,INSTALL
nf-b-17,WITHHOLD,INSTALL,INSTALL
nf-b-18,WITHHOLD,INSTALL,INSTALL
nf-b-19,WITHHOLD,INSTALL,INSTALL
nf-b-20,WITHHOLD,INSTALL,INSTALL
nf-b-21,WITHHOLD,INSTALL,INSTALL
nf-b-22,WITHHOLD,INSTALL,INSTALL
nf-b-23,WITHHOLD,INSTALL,INSTALL
nf-b-24,WITHHOLD,INSTALL,INSTALL
nf-c-01,WITHHOLD,WITHHOLD,WITHHOLD
nf-c-02,WITHHOLD,WITHHOLD,WITHHOLD
nf-c-03,WITHHOLD,WITHHOLD,WITHHOLD
nf-c-04,WITHHOLD,WITHHOLD,WITHHOLD
nf-c-05,WITHHOLD,WITHHOLD,WITHHOLD
nf-c-06,WITHHOLD,WITHHOLD,WITHHOLD
nf-c-07,WITHHOLD,WITHHOLD,WITHHOLD
nf-c-08,WITHHOLD,WITHHOLD,WITHHOLD
nf-c-09,INSTALL,INSTALL,WITHHOLD
nf-c-10,INSTALL,INSTALL,WITHHOLD
nf-c-11,INSTALL,INSTALL,WITHHOLD
nf-c-12,INSTALL,INSTALL,WITHHOLD
nf-c-13,WITHHOLD,WITHHOLD,WITHHOLD
nf-c-14,WITHHOLD,WITHHOLD,WITHHOLD
nf-c-15,WITHHOLD,WITHHOLD,WITHHOLD
nf-c-16,WITHHOLD,WITHHOLD,WITHHOLD
p1,WITHHOLD,INSTALL,WITHHOLD
p2,WITHHOLD,INSTALL,WITHHOLD
p3,WITHHOLD,INSTALL,WITHHOLD
p4,WITHHOLD,INSTALL,WITHHOLD
