id,set,key,ncand,nrel,ckind,cp1,cp2,cp3,cp4,c0,c1,c2,r0k,r0p1,r0p2,r0p3,r1k,r1p1,r1p2,r1p3,r2k,r2p1,r2p2,r2p3,r3k,r3p1,r3p2,r3p3,r4k,r4p1,r4p2,r4p3,gt,class
1,T,101,2,3,0,0,0,0,0,100,200,0,0,0,200,0,0,2,150,0,0,1,250,0,0,0,0,0,0,0,0,0,NEW,T1-clean
2,T,102,2,3,0,0,0,0,0,200,100,0,0,0,200,0,0,2,150,0,0,1,250,0,0,0,0,0,0,0,0,0,OLD,T2-clean
3,T,103,2,3,0,0,0,0,0,150,250,0,0,0,250,0,0,2,200,0,0,1,300,0,0,0,0,0,0,0,0,0,NEW,T3-clean
4,T,104,2,3,1,0,300,0,0,300,120,0,0,0,300,0,0,2,250,0,0,1,350,0,0,0,0,0,0,0,0,0,OLD,T4-noop-chan
5,T,105,2,3,0,0,0,0,0,200,100,0,0,0,200,0,0,2,150,0,0,1,250,0,0,0,0,0,0,0,0,0,OLD,T5-rectrap
6,T,106,2,3,0,0,0,0,0,100,200,0,0,0,999,0,0,1,150,0,0,2,150,0,0,0,0,0,0,0,0,0,WITHHOLD,T6-rectrap
7,T,107,2,3,0,0,0,0,0,180,190,0,0,0,180,0,0,2,170,0,0,1,185,0,0,0,0,0,0,0,0,0,OLD,T7-rectrap
8,T,108,2,3,0,0,0,0,0,110,220,0,0,0,110,0,0,2,100,0,0,1,120,0,0,0,0,0,0,0,0,0,OLD,T8-rectrap
9,T,109,3,3,0,0,0,0,0,100,150,200,0,0,200,0,0,2,150,0,0,1,250,0,0,0,0,0,0,0,0,0,NEW,T9-ncand3
10,T,110,2,2,0,0,0,0,0,100,200,0,0,0,200,0,0,2,150,0,0,0,0,0,0,0,0,0,0,0,0,0,NEW,T10-nrel2
11,T,111,2,4,0,0,0,0,0,200,100,0,0,0,200,0,0,2,150,0,0,1,250,0,0,2,100,0,0,0,0,0,OLD,T11-nrel4
12,T,112,2,2,2,0,0,200,0,100,200,0,0,1,150,0,0,2,150,0,0,0,0,0,0,0,0,0,0,0,0,0,NEW,T12-addrel
13,T,113,2,3,1,0,200,0,0,100,200,0,0,0,100,0,0,1,150,0,0,2,150,0,0,0,0,0,0,0,0,0,NEW,T13-m2flip
14,T,114,2,3,1,0,200,0,0,200,100,0,0,0,100,0,0,1,150,0,0,2,150,0,0,0,0,0,0,0,0,0,OLD,T14-m2flip
15,T,115,2,3,0,0,0,0,0,100,200,0,0,0,200,0,0,2,150,0,0,1,250,0,0,0,0,0,0,0,0,0,NEW,T15-m4silent
16,T,116,2,3,0,0,0,0,0,100,200,0,0,0,999,0,0,1,150,0,0,2,150,0,0,0,0,0,0,0,0,0,WITHHOLD,T16-neither
17,F,201,2,3,0,0,0,0,0,100,200,0,0,0,200,0,0,2,150,0,0,1,250,0,0,0,0,0,0,0,0,0,NEW,N-clean
18,F,202,2,3,0,0,0,0,0,110,210,0,0,0,210,0,0,2,160,0,0,1,260,0,0,0,0,0,0,0,0,0,NEW,N-clean
19,F,203,2,3,0,0,0,0,0,120,220,0,0,0,220,0,0,2,170,0,0,1,270,0,0,0,0,0,0,0,0,0,NEW,N-clean
20,F,204,2,3,0,0,0,0,0,130,230,0,0,0,230,0,0,2,180,0,0,1,280,0,0,0,0,0,0,0,0,0,NEW,N-clean
21,F,205,2,3,0,0,0,0,0,140,240,0,0,0,240,0,0,2,190,0,0,1,290,0,0,0,0,0,0,0,0,0,NEW,N-clean
22,F,206,2,3,0,0,0,0,0,150,250,0,0,0,250,0,0,2,200,0,0,1,300,0,0,0,0,0,0,0,0,0,NEW,N-clean
23,F,207,2,3,0,0,0,0,0,200,100,0,0,0,200,0,0,2,150,0,0,1,250,0,0,0,0,0,0,0,0,0,OLD,O-clean
24,F,208,2,3,0,0,0,0,0,210,110,0,0,0,210,0,0,2,160,0,0,1,260,0,0,0,0,0,0,0,0,0,OLD,O-clean
25,F,209,2,3,0,0,0,0,0,220,120,0,0,0,220,0,0,2,170,0,0,1,270,0,0,0,0,0,0,0,0,0,OLD,O-clean
26,F,210,2,3,0,0,0,0,0,230,130,0,0,0,230,0,0,2,180,0,0,1,280,0,0,0,0,0,0,0,0,0,OLD,O-clean
27,F,211,2,3,0,0,0,0,0,240,140,0,0,0,240,0,0,2,190,0,0,1,290,0,0,0,0,0,0,0,0,0,OLD,O-clean
28,F,212,2,3,0,0,0,0,0,250,150,0,0,0,250,0,0,2,200,0,0,1,300,0,0,0,0,0,0,0,0,0,OLD,O-clean
29,F,213,2,3,1,0,200,0,0,100,200,0,0,0,100,0,0,1,150,0,0,2,150,0,0,0,0,0,0,0,0,0,NEW,ADV-NEW
30,F,214,2,3,1,0,210,0,0,110,210,0,0,0,110,0,0,1,160,0,0,2,160,0,0,0,0,0,0,0,0,0,NEW,ADV-NEW
31,F,215,2,3,1,0,200,0,0,200,100,0,0,0,100,0,0,1,150,0,0,2,150,0,0,0,0,0,0,0,0,0,OLD,ADV-OLD
32,F,216,2,3,1,0,210,0,0,210,110,0,0,0,110,0,0,1,160,0,0,2,160,0,0,0,0,0,0,0,0,0,OLD,ADV-OLD
33,F,217,2,3,0,0,0,0,0,100,200,0,0,1,150,0,0,2,150,0,0,0,999,0,0,0,0,0,0,0,0,0,WITHHOLD,NEITHER
34,F,218,2,3,0,0,0,0,0,110,210,0,0,1,160,0,0,2,160,0,0,0,999,0,0,0,0,0,0,0,0,0,WITHHOLD,NEITHER
35,F,219,2,3,0,0,0,0,0,120,220,0,0,1,170,0,0,2,170,0,0,0,999,0,0,0,0,0,0,0,0,0,WITHHOLD,NEITHER
36,F,220,2,3,0,0,0,0,0,130,230,0,0,1,180,0,0,2,180,0,0,0,999,0,0,0,0,0,0,0,0,0,WITHHOLD,NEITHER
37,F,221,2,3,0,0,0,0,0,140,240,0,0,1,190,0,0,2,190,0,0,0,999,0,0,0,0,0,0,0,0,0,WITHHOLD,NEITHER
38,F,222,2,3,0,0,0,0,0,150,250,0,0,1,200,0,0,2,200,0,0,0,999,0,0,0,0,0,0,0,0,0,WITHHOLD,NEITHER
39,F,223,2,3,0,0,0,0,0,160,260,0,0,1,210,0,0,2,210,0,0,0,999,0,0,0,0,0,0,0,0,0,WITHHOLD,NEITHER
40,F,224,2,3,0,0,0,0,0,170,270,0,0,1,220,0,0,2,220,0,0,0,999,0,0,0,0,0,0,0,0,0,WITHHOLD,NEITHER
41,N,301,2,3,0,0,0,0,0,100,200,0,1,180,220,0,1,150,250,0,1,190,210,0,0,0,0,0,0,0,0,0,NEW,NV1-range
42,N,302,2,3,0,0,0,0,0,200,100,0,1,180,220,0,1,150,250,0,1,190,210,0,0,0,0,0,0,0,0,0,OLD,NV1-range
43,N,303,2,3,1,1,190,210,0,100,200,0,1,90,110,0,1,95,105,0,1,180,220,0,0,0,0,0,0,0,0,0,NEW,NV1-range-flip
44,N,304,2,3,0,0,0,0,0,100,200,0,1,300,400,0,1,150,250,0,1,500,600,0,0,0,0,0,0,0,0,0,WITHHOLD,NV1-range-neither
45,N,305,2,3,0,0,0,0,0,100,200,0,2,0,200,0,2,2,150,0,2,1,250,0,0,0,0,0,0,0,0,0,NEW,NV2-xkey
46,N,306,2,3,0,0,0,0,0,200,100,0,2,0,200,0,2,2,150,0,2,1,250,0,0,0,0,0,0,0,0,0,OLD,NV2-xkey
47,N,307,2,3,1,0,200,0,0,100,200,0,2,0,100,0,2,1,150,0,2,2,150,0,0,0,0,0,0,0,0,0,NEW,NV2-xkey-flip
48,N,308,2,3,0,0,0,0,0,100,200,0,2,0,999,0,2,1,150,0,2,2,150,0,0,0,0,0,0,0,0,0,WITHHOLD,NV2-xkey-neither
49,N,309,3,3,0,0,0,0,0,100,150,200,0,0,200,0,0,2,150,0,0,1,250,0,0,0,0,0,0,0,0,0,NEW,NV3-3cand
50,N,310,3,3,0,0,0,0,0,100,150,200,0,0,100,0,0,2,50,0,0,1,120,0,0,0,0,0,0,0,0,0,OLD,NV3-3cand
51,N,311,3,3,1,0,200,0,0,100,150,200,0,0,150,0,0,1,140,0,0,2,160,0,0,0,0,0,0,0,0,0,NEW,NV3-3cand-flip
52,N,312,3,3,0,0,0,0,0,100,150,200,0,0,999,0,0,1,140,0,0,2,160,0,0,0,0,0,0,0,0,0,WITHHOLD,NV3-3cand-tie
53,N,313,2,2,2,2,0,200,0,100,200,0,1,90,110,0,1,150,250,0,0,0,0,0,0,0,0,0,0,0,0,0,NEW,NV4-addrel
54,N,314,2,2,2,2,0,200,0,200,100,0,1,90,110,0,1,150,250,0,0,0,0,0,0,0,0,0,0,0,0,0,OLD,NV4-addrel
55,N,315,2,2,2,1,180,220,0,100,200,0,0,1,150,0,0,2,150,0,0,0,0,0,0,0,0,0,0,0,0,0,NEW,NV4-addrel
56,N,316,2,2,2,0,0,999,0,100,200,0,0,1,150,0,0,2,150,0,0,0,0,0,0,0,0,0,0,0,0,0,WITHHOLD,NV4-addrel-tie
