epoch	subphase	phase	hinge	gwrong	gcorr	v1	v2	v3	v4	v5	v6	v7	v8	c	w1	w2	w3	w4	w5	w6	w7	w8	b
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	1000	0	0	0	0	0	0	0	-99928
1	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	1000	0	0	0	0	0	0	0	-99928
2	0	1	2524	119	0	-25	0	-50	-176	-875	250	0	0	250	1000	0	0	0	0	0	0	0	-99928
3	0	1	225	120	0	-22	0	-50	-51	-750	500	0	0	500	1000	0	0	0	0	0	0	0	-99928
4	0	2	3247	221	1	-19	0	-125	-144	-250	0	0	0	750	1000	0	0	0	0	0	0	0	-99928
5	0	2	3354	222	1	-19	0	-125	-287	0	-500	0	0	750	1000	0	0	0	0	0	0	0	-99928
6	0	0	237	0	0	-16	0	-125	-37	27	-250	0	0	1000	1000	0	0	0	0	0	0	0	-99928
7	0	0	0	0	0	-16	0	-125	-37	27	-250	0	0	1000	1000	0	0	0	0	0	0	0	-99928
8	0	1	3491	119	0	-34	0	-50	37	-723	250	0	0	500	1000	0	0	0	0	0	0	0	-99928
9	0	1	0	120	0	-34	0	-50	37	-723	250	0	0	500	1000	0	0	0	0	0	0	0	-99928
10	0	2	2727	221	0	-31	0	-125	-56	-223	-250	0	0	750	1000	0	0	0	0	0	0	0	-99928
11	0	2	2536	221	1	-31	0	-50	-104	-98	-500	0	0	750	1000	0	0	0	0	0	0	0	-99928
12	0	0	65	0	0	-28	0	-50	146	-71	-250	0	0	1000	1000	0	0	0	0	0	0	0	-99928
13	0	0	0	0	0	-28	0	-50	146	-71	-250	0	0	1000	1000	0	0	0	0	0	0	0	-99928
14	0	1	3121	119	0	-46	0	25	220	-821	250	0	0	500	1000	0	0	0	0	0	0	0	-99928
15	0	1	245	120	0	-105	0	25	164	-946	500	0	0	500	1000	0	0	0	0	0	0	0	-99928
16	0	2	4928	220	1	-106	0	-75	-79	-321	-250	0	0	750	1000	0	0	0	0	0	0	0	-99928
17	0	2	2565	222	1	-106	0	0	-127	-196	-500	0	0	750	1000	0	0	0	0	0	0	0	-99928
18	0	0	100	0	0	-103	0	0	123	-169	-250	0	0	1000	1000	0	0	0	0	0	0	0	-99928
19	0	0	0	0	0	-103	0	0	123	-169	-250	0	0	1000	1000	0	0	0	0	0	0	0	-99928
20	0	1	2811	119	0	-121	0	75	197	-919	250	0	0	500	1000	0	0	0	0	0	0	0	-99928
21	0	1	0	120	0	-121	0	75	197	-919	250	0	0	500	1000	0	0	0	0	0	0	0	-99928
22	0	2	4081	221	1	-126	0	-125	-96	-294	-500	0	0	750	1000	0	0	0	0	0	0	0	-99928
23	0	2	2314	222	1	-126	0	-50	-144	-169	-750	0	0	750	1000	0	0	0	0	0	0	0	-99928
24	0	0	364	0	0	-123	0	-50	106	-142	-500	0	0	1000	1000	0	0	0	0	0	0	0	-99928
25	0	0	0	0	0	-123	0	-50	106	-142	-500	0	0	1000	1000	0	0	0	0	0	0	0	-99928
26	0	1	3412	119	1	-141	0	25	180	-892	0	0	0	500	1000	0	0	0	0	0	0	0	-99928
27	0	1	341	120	0	-141	0	25	222	-1017	250	0	0	500	1000	0	0	0	0	0	0	0	-99928
28	0	2	4412	221	1	-142	0	-75	-21	-392	-500	0	0	750	1000	0	0	0	0	0	0	0	-99928
29	0	2	2361	222	1	-142	0	0	-69	-267	-750	0	0	750	1000	0	0	0	0	0	0	0	-99928
30	0	0	300	0	0	-139	0	0	181	-240	-500	0	0	1000	1000	0	0	0	0	0	0	0	-99928
31	0	0	0	0	0	-139	0	0	181	-240	-500	0	0	1000	1000	0	0	0	0	0	0	0	-99928
