epoch	phase	loss	v2	gviol	w1	w2	w3	w4	w5	w6	w7	w8	b
0	0	3393284222	0	28	1000	0	0	0	0	0	0	0	-490
1	0	3750000000	0	4	1000	0	0	0	0	0	0	0	-660
2	1	35000000	0	2	1000	0	0	0	0	0	0	0	-826
3	1	35000000	0	2	1000	0	0	0	0	0	0	0	-992
4	2	95000000	0	2	1000	0	0	0	0	0	0	0	-1158
5	2	95000000	0	2	1000	0	0	0	0	0	0	0	-1324
6	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-1490
7	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-1656
8	1	35000000	0	2	1000	0	0	0	0	0	0	0	-1822
9	1	35000000	0	2	1000	0	0	0	0	0	0	0	-1988
10	2	95000000	0	2	1000	0	0	0	0	0	0	0	-2154
11	2	95000000	0	2	1000	0	0	0	0	0	0	0	-2320
12	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-2486
13	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-2652
14	1	35000000	0	2	1000	0	0	0	0	0	0	0	-2818
15	1	35000000	0	2	1000	0	0	0	0	0	0	0	-2984
16	2	95000000	0	2	1000	0	0	0	0	0	0	0	-3150
17	2	95000000	0	2	1000	0	0	0	0	0	0	0	-3316
18	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-3482
19	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-3648
20	1	35000000	0	2	1000	0	0	0	0	0	0	0	-3814
21	1	35000000	0	2	1000	0	0	0	0	0	0	0	-3980
22	2	95000000	0	2	1000	0	0	0	0	0	0	0	-4146
23	2	95000000	0	2	1000	0	0	0	0	0	0	0	-4312
24	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-4478
25	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-4644
26	1	35000000	0	2	1000	0	0	0	0	0	0	0	-4810
27	1	35000000	0	2	1000	0	0	0	0	0	0	0	-4976
28	2	95000000	0	2	1000	0	0	0	0	0	0	0	-5142
29	2	95000000	0	2	1000	0	0	0	0	0	0	0	-5308
30	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-5474
31	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-5640
32	1	35000000	0	2	1000	0	0	0	0	0	0	0	-5806
33	1	35000000	0	2	1000	0	0	0	0	0	0	0	-5972
34	2	95000000	0	2	1000	0	0	0	0	0	0	0	-6138
35	2	95000000	0	2	1000	0	0	0	0	0	0	0	-6304
36	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-6470
37	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-6636
38	1	35000000	0	2	1000	0	0	0	0	0	0	0	-6802
39	1	35000000	0	2	1000	0	0	0	0	0	0	0	-6968
40	2	95000000	0	2	1000	0	0	0	0	0	0	0	-7134
41	2	95000000	0	2	1000	0	0	0	0	0	0	0	-7300
42	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-7466
43	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-7632
44	1	35000000	0	2	1000	0	0	0	0	0	0	0	-7798
45	1	35000000	0	2	1000	0	0	0	0	0	0	0	-7964
46	2	95000000	0	2	1000	0	0	0	0	0	0	0	-8130
47	2	95000000	0	2	1000	0	0	0	0	0	0	0	-8296
48	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-8462
49	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-8628
50	1	35000000	0	2	1000	0	0	0	0	0	0	0	-8794
51	1	35000000	0	2	1000	0	0	0	0	0	0	0	-8960
52	2	95000000	0	2	1000	0	0	0	0	0	0	0	-9126
53	2	95000000	0	2	1000	0	0	0	0	0	0	0	-9292
54	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-9458
55	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-9624
56	1	35000000	0	2	1000	0	0	0	0	0	0	0	-9790
57	1	35000000	0	2	1000	0	0	0	0	0	0	0	-9956
58	2	95000000	0	2	1000	0	0	0	0	0	0	0	-10122
59	2	95000000	0	2	1000	0	0	0	0	0	0	0	-10288
