W11_CHAIN|frozen=PREREG_W11.md
0|ADMIT|OK
1|ADMIT|OK
2|ADMIT|OK
3|ADMIT|OK
4|ADMIT|OK
5|ADMIT|OK
6|ADMIT|OK
7|ADMIT|OK
8|ADMIT|OK
9|ADMIT|OK
10|ADMIT|OK
11|ADMIT|OK
12|ADMIT|OK
13|ADMIT|OK
14|ADMIT|OK
15|ADMIT|OK
16|ADMIT|OK
17|ADMIT|OK
18|ADMIT|OK
19|ADMIT|OK
20|ADMIT|OK
21|ADMIT|OK
22|ADMIT|OK
23|ADMIT|OK
24|ADMIT|OK
25|ADMIT|OK
26|ADMIT|OK
27|ADMIT|OK
28|ADMIT|OK
29|ADMIT|OK
30|ADMIT|OK
31|ADMIT|OK
32|ADMIT|OK
33|ADMIT|OK
34|ADMIT|OK
35|ADMIT|OK
36|ADMIT|OK
37|ADMIT|OK
38|ADMIT|OK
39|ADMIT|OK
40|ADMIT|OK
41|ADMIT|OK
42|ADMIT|OK
43|ADMIT|OK
44|ADMIT|OK
45|ADMIT|OK
46|ADMIT|OK
47|ADMIT|OK
48|ADMIT|OK
49|ADMIT|OK
50|ADMIT|OK
51|ADMIT|OK
52|ADMIT|OK
53|ADMIT|OK
54|ADMIT|OK
55|ADMIT|OK
56|ADMIT|OK
57|ADMIT|OK
58|ADMIT|OK
59|ADMIT|OK
60|ADMIT|OK
61|ADMIT|OK
62|ADMIT|OK
63|ADMIT|OK
64|ADMIT|OK
65|ADMIT|OK
66|ADMIT|OK
67|ADMIT|OK
68|ADMIT|OK
69|ADMIT|OK
70|ADMIT|OK
71|ADMIT|OK
72|ADMIT|OK
73|ADMIT|OK
74|ADMIT|OK
75|ADMIT|OK
76|ADMIT|OK
77|ADMIT|OK
78|ADMIT|OK
79|ADMIT|OK
80|ADMIT|OK
81|ADMIT|OK
82|ADMIT|OK
83|ADMIT|OK
84|ADMIT|OK
85|ADMIT|OK
86|ADMIT|OK
87|ADMIT|OK
88|ADMIT|OK
89|ADMIT|OK
90|ADMIT|OK
91|ADMIT|OK
92|ADMIT|OK
93|ADMIT|OK
94|ADMIT|OK
95|ADMIT|OK
96|ADMIT|OK
97|ADMIT|OK
98|ADMIT|OK
99|ADMIT|OK
100|ADMIT|OK
101|ADMIT|OK
102|ADMIT|OK
103|ADMIT|OK
104|ADMIT|OK
105|ADMIT|OK
106|ADMIT|OK
107|ADMIT|OK
108|ADMIT|OK
109|ADMIT|OK
110|ADMIT|OK
111|ADMIT|OK
112|ADMIT|OK
113|ADMIT|OK
114|ADMIT|OK
115|ADMIT|OK
116|ADMIT|OK
117|ADMIT|OK
118|ADMIT|OK
119|ADMIT|OK
120|ADMIT|OK
121|ADMIT|OK
122|ADMIT|OK
123|ADMIT|OK
124|ADMIT|OK
125|ADMIT|OK
126|ADMIT|OK
127|ADMIT|OK
128|ADMIT|OK
129|ADMIT|OK
130|ADMIT|OK
131|ADMIT|OK
132|ADMIT|OK
133|ADMIT|OK
134|ADMIT|OK
135|ADMIT|OK
136|ADMIT|OK
137|ADMIT|OK
138|ADMIT|OK
139|ADMIT|OK
140|ADMIT|OK
141|ADMIT|OK
142|ADMIT|OK
143|ADMIT|OK
144|ADMIT|OK
145|ADMIT|OK
146|ADMIT|OK
147|ADMIT|OK
148|ADMIT|OK
149|ADMIT|OK
150|ADMIT|OK
151|ADMIT|OK
152|ADMIT|OK
153|ADMIT|OK
154|ADMIT|OK
155|ADMIT|OK
156|ADMIT|OK
157|ADMIT|OK
158|ADMIT|OK
159|ADMIT|OK
160|ADMIT|OK
161|ADMIT|OK
162|ADMIT|OK
163|ADMIT|OK
164|ADMIT|OK
165|ADMIT|OK
166|ADMIT|OK
167|ADMIT|OK
168|ADMIT|OK
169|ADMIT|OK
170|ADMIT|OK
171|ADMIT|OK
172|ADMIT|OK
173|ADMIT|OK
174|ADMIT|OK
175|ADMIT|OK
