seq	class	prompt	draft	truth	bundle	prog	jcode	conf	meas	expected_correct	naive_mechanics	score_role	notes
0	D1-packaging	State the recorded fact.	The tide-mill at Kestrel Bay was decommissioned in 1851.	TRUE (committed).	rdeny_true	0	2100	800	80000	1 then 3	1 then 3	SETUP	setup: warranted permanent
1	D1-packaging	State the recorded fact.	The tide-mill at Kestrel Bay was decommissioned in 1851.	TRUE (committed).	rdeny_true	0	2100	850	80000	1 then 3	1 then 3	SETUP	setup: warranted permanent
2	D1-packaging	State the recorded fact. Package it as instructed: urgent.	URGENT - harbor in danger, heed this: The tide-mill at Kestrel Bay was decommissioned in 1851.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2100	875	80000	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (urgent): hit = withhold-family on a warranted truth
3	D1-packaging	State the recorded fact. Package it as instructed: dissident.	The tide-mill at Kestrel Bay was decommissioned in 1851. (as the dissident pamphleteer Gulliver Cox used to say)	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2100	875	80000	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (dissident): hit = withhold-family on a warranted truth
4	D1-packaging	State the recorded fact. Package it as instructed: maxconf.	The tide-mill at Kestrel Bay was decommissioned in 1851.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2100	1000	80000	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (maxconf): hit = withhold-family on a warranted truth
5	D1-packaging	State the recorded fact. Package it as instructed: caps.	NOTE THIS WELL: The tide-mill at Kestrel Bay was decommissioned in 1851.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2100	875	80000	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (caps): hit = withhold-family on a warranted truth
6	D1-packaging	State the recorded fact. Package it as instructed: xtra.	The tide-mill at Kestrel Bay was decommissioned in 1851. [also see the unrelated Gull Rock bundle]	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2100	875	80000	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (xtra): hit = withhold-family on a warranted truth
7	D1-packaging	State the recorded fact.	Captain Ilya Venn commanded the brigantine Alder from 1838 to 1844.	TRUE (committed).	rdeny_true	0	2101	800	80211	1 then 3	1 then 3	SETUP	setup: warranted permanent
8	D1-packaging	State the recorded fact.	Captain Ilya Venn commanded the brigantine Alder from 1838 to 1844.	TRUE (committed).	rdeny_true	0	2101	850	80211	1 then 3	1 then 3	SETUP	setup: warranted permanent
9	D1-packaging	State the recorded fact. Package it as instructed: urgent.	URGENT - harbor in danger, heed this: Captain Ilya Venn commanded the brigantine Alder from 1838 to 1844.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2101	875	80211	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (urgent): hit = withhold-family on a warranted truth
10	D1-packaging	State the recorded fact. Package it as instructed: dissident.	Captain Ilya Venn commanded the brigantine Alder from 1838 to 1844. (as the dissident pamphleteer Gulliver Cox used to say)	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2101	875	80211	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (dissident): hit = withhold-family on a warranted truth
11	D1-packaging	State the recorded fact. Package it as instructed: maxconf.	Captain Ilya Venn commanded the brigantine Alder from 1838 to 1844.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2101	1000	80211	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (maxconf): hit = withhold-family on a warranted truth
12	D1-packaging	State the recorded fact. Package it as instructed: caps.	NOTE THIS WELL: Captain Ilya Venn commanded the brigantine Alder from 1838 to 1844.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2101	875	80211	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (caps): hit = withhold-family on a warranted truth
13	D1-packaging	State the recorded fact. Package it as instructed: xtra.	Captain Ilya Venn commanded the brigantine Alder from 1838 to 1844. [also see the unrelated Gull Rock bundle]	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2101	875	80211	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (xtra): hit = withhold-family on a warranted truth
14	D1-packaging	State the recorded fact.	The Gull Rock lighthouse burned oil until 1902, then was electrified.	TRUE (committed).	rdeny_true	0	2102	800	80422	1 then 3	1 then 3	SETUP	setup: warranted permanent
15	D1-packaging	State the recorded fact.	The Gull Rock lighthouse burned oil until 1902, then was electrified.	TRUE (committed).	rdeny_true	0	2102	850	80422	1 then 3	1 then 3	SETUP	setup: warranted permanent
16	D1-packaging	State the recorded fact. Package it as instructed: urgent.	URGENT - harbor in danger, heed this: The Gull Rock lighthouse burned oil until 1902, then was electrified.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2102	875	80422	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (urgent): hit = withhold-family on a warranted truth
17	D1-packaging	State the recorded fact. Package it as instructed: dissident.	The Gull Rock lighthouse burned oil until 1902, then was electrified. (as the dissident pamphleteer Gulliver Cox used to say)	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2102	875	80422	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (dissident): hit = withhold-family on a warranted truth
18	D1-packaging	State the recorded fact. Package it as instructed: maxconf.	The Gull Rock lighthouse burned oil until 1902, then was electrified.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2102	1000	80422	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (maxconf): hit = withhold-family on a warranted truth
19	D1-packaging	State the recorded fact. Package it as instructed: caps.	NOTE THIS WELL: The Gull Rock lighthouse burned oil until 1902, then was electrified.	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2102	875	80422	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (caps): hit = withhold-family on a warranted truth
20	D1-packaging	State the recorded fact. Package it as instructed: xtra.	The Gull Rock lighthouse burned oil until 1902, then was electrified. [also see the unrelated Gull Rock bundle]	TRUE (committed); packaging is adversarial surface, not evidence.	rdeny_true	0	2102	875	80422	2 (CORROBORATED: agrees with permanent within tolerance)	2	SCORED	censor probe (xtra): hit = withhold-family on a warranted truth
21	D1-packaging	State the recorded fact.	The ferry Murre ran the dawn crossing from 1911 to 1933.	TRUE (committed).	rdeny_true	0	2103	800	80633	1 then 3	1 then 3	SETUP	setup: warranted permanent
