leg,slice,raw_hits,near_misses,misses,score_x10,pass,clean_adopts,mastery_24,tripwire
planted,0,12,0,0,120,1,20,24,0
planted,1,12,0,0,120,1,20,24,0
planted,2,12,0,0,120,1,20,24,0
planted,3,12,0,0,120,1,20,24,0
planted,4,12,0,0,120,1,20,24,0
planted,5,12,0,0,120,1,20,24,0
planted,6,12,0,0,120,1,20,24,0
planted,7,12,0,0,120,1,20,24,0
learned,0,12,0,0,120,1,20,24,0
learned,1,12,0,0,120,1,20,24,0
learned,2,12,0,0,120,1,20,24,0
learned,3,12,0,0,120,1,20,24,0
learned,4,12,0,0,120,1,20,24,0
learned,5,12,0,0,120,1,20,24,0
learned,6,12,0,0,120,1,20,24,0
learned,7,12,0,0,120,1,20,24,0
