# R2-2 enrolled true exemplars: 370 frozen noise fixtures
# idx | task | truth | source (lab-relative)
0 | colordisc | SAME | senses/rebuild/harness/fixtures/t1_colordisc/noise/p000.img
1 | colordisc | SAME | senses/rebuild/harness/fixtures/t1_colordisc/noise/p001.img
2 | colordisc | SAME | senses/rebuild/harness/fixtures/t1_colordisc/noise/p002.img
3 | colordisc | SAME | senses/rebuild/harness/fixtures/t1_colordisc/noise/p003.img
4 | colordisc | SAME | senses/rebuild/harness/fixtures/t1_colordisc/noise/p004.img
5 | colordisc | SAME | senses/rebuild/harness/fixtures/t1_colordisc/noise/p005.img
6 | colordisc | SAME | senses/rebuild/harness/fixtures/t1_colordisc/noise/p006.img
7 | colordisc | SAME | senses/rebuild/harness/fixtures/t1_colordisc/noise/p007.img
8 | colordisc | SAME | senses/rebuild/harness/fixtures/t1_colordisc/noise/p008.img
9 | colordisc | SAME | senses/rebuild/harness/fixtures/t1_colordisc/noise/p009.img
10 | colordisc | SAME | senses/rebuild/harness/fixtures/t1_colordisc/noise/p010.img
11 | colordisc | SAME | senses/rebuild/harness/fixtures/t1_colordisc/noise/p011.img
12 | colordisc | SAME | senses/rebuild/harness/fixtures/t1_colordisc/noise/p012.img
13 | colordisc | SAME | senses/rebuild/harness/fixtures/t1_colordisc/noise/p013.img
14 | colordisc | SAME | senses/rebuild/harness/fixtures/t1_colordisc/noise/p014.img
15 | colordisc | SAME | senses/rebuild/harness/fixtures/t1_colordisc/noise/p015.img
16 | colordisc | SAME | senses/rebuild/harness/fixtures/t1_colordisc/noise/p016.img
17 | colordisc | SAME | senses/rebuild/harness/fixtures/t1_colordisc/noise/p017.img
18 | colordisc | SAME | senses/rebuild/harness/fixtures/t1_colordisc/noise/p018.img
19 | colordisc | SAME | senses/rebuild/harness/fixtures/t1_colordisc/noise/p019.img
20 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p020.img
21 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p021.img
22 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p022.img
23 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p023.img
24 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p024.img
25 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p025.img
26 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p026.img
27 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p027.img
28 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p028.img
29 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p029.img
30 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p030.img
31 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p031.img
32 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p032.img
33 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p033.img
34 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p034.img
35 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p035.img
36 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p036.img
37 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p037.img
38 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p038.img
39 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p039.img
40 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p040.img
41 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p041.img
42 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p042.img
43 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p043.img
44 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p044.img
45 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p045.img
46 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p046.img
47 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p047.img
48 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p048.img
49 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p049.img
50 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p050.img
51 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p051.img
52 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p052.img
53 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p053.img
54 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p054.img
55 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p055.img
56 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p056.img
57 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p057.img
58 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p058.img
59 | colordisc | DIFFERENT | senses/rebuild/harness/fixtures/t1_colordisc/noise/p059.img
60 | colorconst | SAME_SURFACE | senses/rebuild/harness/fixtures/t2_colorconst/noise/p000.img
61 | colorconst | DIFFERENT | senses/rebuild/harness/fixtures/t2_colorconst/noise/p001.img
62 | colorconst | SAME_SURFACE | senses/rebuild/harness/fixtures/t2_colorconst/noise/p002.img
63 | colorconst | DIFFERENT | senses/rebuild/harness/fixtures/t2_colorconst/noise/p003.img
64 | colorconst | SAME_SURFACE | senses/rebuild/harness/fixtures/t2_colorconst/noise/p004.img
65 | colorconst | DIFFERENT | senses/rebuild/harness/fixtures/t2_colorconst/noise/p005.img
66 | colorconst | SAME_SURFACE | senses/rebuild/harness/fixtures/t2_colorconst/noise/p006.img
67 | colorconst | DIFFERENT | senses/rebuild/harness/fixtures/t2_colorconst/noise/p007.img
68 | colorconst | SAME_SURFACE | senses/rebuild/harness/fixtures/t2_colorconst/noise/p008.img
69 | colorconst | DIFFERENT | senses/rebuild/harness/fixtures/t2_colorconst/noise/p009.img
70 | colorconst | SAME_SURFACE | senses/rebuild/harness/fixtures/t2_colorconst/noise/p010.img
71 | colorconst | DIFFERENT | senses/rebuild/harness/fixtures/t2_colorconst/noise/p011.img
72 | colorconst | SAME_SURFACE | senses/rebuild/harness/fixtures/t2_colorconst/noise/p012.img
73 | colorconst | DIFFERENT | senses/rebuild/harness/fixtures/t2_colorconst/noise/p013.img
74 | colorconst | SAME_SURFACE | senses/rebuild/harness/fixtures/t2_colorconst/noise/p014.img
75 | colorconst | DIFFERENT | senses/rebuild/harness/fixtures/t2_colorconst/noise/p015.img
76 | colorconst | SAME_SURFACE | senses/rebuild/harness/fixtures/t2_colorconst/noise/p016.img
77 | colorconst | DIFFERENT | senses/rebuild/harness/fixtures/t2_colorconst/noise/p017.img
78 | colorconst | SAME_SURFACE | senses/rebuild/harness/fixtures/t2_colorconst/noise/p018.img
79 | colorconst | DIFFERENT | senses/rebuild/harness/fixtures/t2_colorconst/noise/p019.img
80 | colorconst | SAME_SURFACE | senses/rebuild/harness/fixtures/t2_colorconst/noise/p020.img
81 | colorconst | DIFFERENT | senses/rebuild/harness/fixtures/t2_colorconst/noise/p021.img
82 | colorconst | SAME_SURFACE | senses/rebuild/harness/fixtures/t2_colorconst/noise/p022.img
83 | colorconst | DIFFERENT | senses/rebuild/harness/fixtures/t2_colorconst/noise/p023.img
84 | colorconst | SAME_SURFACE | senses/rebuild/harness/fixtures/t2_colorconst/noise/p024.img
85 | colorconst | DIFFERENT | senses/rebuild/harness/fixtures/t2_colorconst/noise/p025.img
86 | colorconst | SAME_SURFACE | senses/rebuild/harness/fixtures/t2_colorconst/noise/p026.img
87 | colorconst | DIFFERENT | senses/rebuild/harness/fixtures/t2_colorconst/noise/p027.img
88 | colorconst | SAME_SURFACE | senses/rebuild/harness/fixtures/t2_colorconst/noise/p028.img
89 | colorconst | DIFFERENT | senses/rebuild/harness/fixtures/t2_colorconst/noise/p029.img
90 | colorconst | SAME_SURFACE | senses/rebuild/harness/fixtures/t2_colorconst/noise/p030.img
91 | colorconst | DIFFERENT | senses/rebuild/harness/fixtures/t2_colorconst/noise/p031.img
92 | colorconst | SAME_SURFACE | senses/rebuild/harness/fixtures/t2_colorconst/noise/p032.img
93 | colorconst | DIFFERENT | senses/rebuild/harness/fixtures/t2_colorconst/noise/p033.img
94 | colorconst | SAME_SURFACE | senses/rebuild/harness/fixtures/t2_colorconst/noise/p034.img
95 | colorconst | DIFFERENT | senses/rebuild/harness/fixtures/t2_colorconst/noise/p035.img
96 | colorconst | SAME_SURFACE | senses/rebuild/harness/fixtures/t2_colorconst/noise/p036.img
97 | colorconst | DIFFERENT | senses/rebuild/harness/fixtures/t2_colorconst/noise/p037.img
98 | colorconst | SAME_SURFACE | senses/rebuild/harness/fixtures/t2_colorconst/noise/p038.img
99 | colorconst | DIFFERENT | senses/rebuild/harness/fixtures/t2_colorconst/noise/p039.img
100 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p000.img
101 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p001.img
102 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p002.img
103 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p003.img
104 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p004.img
105 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p005.img
106 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p006.img
107 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p007.img
108 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p008.img
109 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p009.img
110 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p010.img
111 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p011.img
112 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p012.img
113 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p013.img
114 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p014.img
115 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p015.img
116 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p016.img
117 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p017.img
118 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p018.img
119 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p019.img
120 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p020.img
121 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p021.img
122 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p022.img
123 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p023.img
124 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p024.img
125 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p025.img
126 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p026.img
127 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p027.img
128 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p028.img
129 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p029.img
130 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p030.img
131 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p031.img
132 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p032.img
133 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p033.img
134 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p034.img
135 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p035.img
136 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p036.img
137 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p037.img
138 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p038.img
139 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p039.img
140 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p040.img
141 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p041.img
142 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p042.img
143 | shapetrans | TRIANGLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p043.img
144 | shapetrans | SQUARE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p044.img
145 | shapetrans | CIRCLE | senses/rebuild/harness/fixtures/t3_shapetrans/noise/p045.img
