trial	first	second
r211g_r2n_colorconst_0666	A	B
r211g_r2a_colorconst_0035	B	A
r211g_r2a_pitchdisc_0327	A	B
r211g_r2a_timbredisc_0342	A	B
r211g_r2a_timbredisc_0597	B	A
r211g_r2n_pitchdisc_0421	A	B
r211g_r2n_colordisc_0058	A	B
r211g_r2a_pitchdisc_0210	B	A
r211g_r2n_timbredisc_0508	B	A
r211g_r2a_timbredisc_0322	B	A
r211g_r2a_colordisc_0906	B	A
r211g_r2a_motiondir_0871	B	A
r211g_r2n_pitchdisc_0338	A	B
r211g_r2n_shapetrans_0238	B	A
r211g_r2n_colordisc_0505	B	A
r211g_r2a_pitchdisc_0828	A	B
r211g_r2a_shapetrans_0176	B	A
r211g_r2n_colorconst_0237	B	A
r211g_r2n_colorconst_0615	A	B
r211g_r2a_shapetrans_0644	A	B
r211g_r2a_colordisc_0284	B	A
r211g_r2n_colordisc_1036	B	A
r211g_r2n_colorconst_0121	A	B
r211g_r2a_motiondir_0398	A	B
r211g_r2a_timbredisc_0036	A	B
r211g_r2a_timbredisc_0145	B	A
r211g_r2a_colordisc_0035	A	B
r211g_r2a_timbredisc_0462	B	A
r211g_r2a_colordisc_0803	A	B
r211g_r2n_motiondir_0220	A	B
r211g_r2a_shapetrans_0550	B	A
r211g_r2a_motiondir_0977	A	B
r211g_r2n_shapetrans_1076	B	A
r211g_r2a_motiondir_0569	B	A
r211g_r2n_pitchdisc_0585	A	B
r211g_r2a_shapetrans_0078	A	B
r211g_r2a_colordisc_0783	B	A
r211g_r2n_timbredisc_0247	A	B
r211g_r2a_colordisc_0120	B	A
r211g_r2n_timbredisc_0196	B	A
r211g_r2n_motiondir_0548	A	B
r211g_r2n_pitchdisc_0465	B	A
r211g_r2n_shapetrans_0367	A	B
r211g_r2n_shapetrans_1292	B	A
r211g_r2n_shapetrans_0447	B	A
r211g_r2a_motiondir_0975	B	A
r211g_r2a_shapetrans_1028	B	A
r211g_r2a_timbredisc_0208	A	B
r211g_r2n_shapetrans_0959	A	B
r211g_r2a_colorconst_0260	A	B
r211g_r2a_colorconst_0559	B	A
r211g_r2a_pitchdisc_0155	A	B
r211g_r2a_colordisc_0469	A	B
r211g_r2a_colordisc_0251	B	A
r211g_r2a_timbredisc_0179	B	A
r211g_r2n_shapetrans_0792	A	B
r211g_r2n_timbredisc_0415	B	A
r211g_r2n_motiondir_0259	A	B
r211g_r2a_motiondir_0475	A	B
r211g_r2a_timbredisc_0522	A	B
r211g_r2n_pitchdisc_0659	B	A
r211g_r2n_shapetrans_0585	B	A
r211g_r2n_shapetrans_0331	B	A
r211g_r2n_pitchdisc_0448	B	A
r211g_r2a_motiondir_0115	B	A
r211g_r2n_colordisc_0481	A	B
r211g_r2a_motiondir_0299	A	B
r211g_r2a_timbredisc_0391	B	A
r211g_r2n_pitchdisc_0361	A	B
r211g_r2n_timbredisc_0278	A	B
r211g_r2n_colordisc_0948	A	B
r211g_r2a_colordisc_0886	A	B
r211g_r2a_colorconst_0638	B	A
r211g_r2a_pitchdisc_0515	A	B
r211g_r2a_colorconst_0109	B	A
r211g_r2n_shapetrans_0606	A	B
r211g_r2n_colordisc_0996	A	B
r211g_r2n_shapetrans_0711	B	A
r211g_r2a_colordisc_0177	A	B
r211g_r2a_motiondir_0409	A	B
r211g_r2a_colorconst_0116	B	A
r211g_r2a_pitchdisc_0901	A	B
r211g_r2n_colordisc_0839	B	A
r211g_r2a_colorconst_0356	B	A
r211g_r2n_timbredisc_0197	A	B
r211g_r2n_colorconst_0683	A	B
r211g_r2a_pitchdisc_0662	B	A
r211g_r2n_shapetrans_0517	B	A
r211g_r2a_timbredisc_0531	B	A
r211g_r2n_timbredisc_0180	A	B
r211g_r2a_shapetrans_1108	B	A
r211g_r2a_shapetrans_0395	B	A
r211g_r2a_shapetrans_0052	A	B
r211g_r2n_colorconst_0609	A	B
r211g_r2n_motiondir_0194	B	A
r211g_r2a_pitchdisc_1008	A	B
r211g_r2a_colordisc_0405	B	A
r211g_r2n_shapetrans_1157	A	B
r211g_r2a_colordisc_0725	A	B
r211g_r2a_pitchdisc_0013	A	B
r211g_r2n_pitchdisc_0035	B	A
r211g_r2a_timbredisc_0582	B	A
r211g_r2a_pitchdisc_0214	A	B
r211g_r2a_pitchdisc_0503	B	A
r211g_r2n_shapetrans_0056	B	A
r211g_r2n_timbredisc_0624	A	B
r211g_r2n_timbredisc_0384	B	A
r211g_r2a_colorconst_0353	B	A
r211g_r2n_timbredisc_0202	A	B
r211g_r2n_motiondir_0434	A	B
r211g_r2a_pitchdisc_0420	B	A
r211g_r2n_pitchdisc_0289	B	A
r211g_r2n_shapetrans_1210	A	B
r211g_r2a_pitchdisc_0664	B	A
r211g_r2n_motiondir_0424	B	A
r211g_r2a_colordisc_0288	B	A
r211g_r2n_pitchdisc_0668	B	A
r211g_r2n_motiondir_0252	B	A
r211g_r2a_motiondir_0714	A	B
r211g_r2a_shapetrans_0575	B	A
r211g_r2a_pitchdisc_0485	A	B
r211g_r2a_motiondir_0501	A	B
r211g_r2n_motiondir_0324	A	B
r211g_r2a_motiondir_0256	A	B
r211g_r2n_shapetrans_1163	B	A
r211g_r2n_timbredisc_0055	B	A
r211g_r2n_colorconst_0342	B	A
r211g_r2a_shapetrans_0410	B	A
r211g_r2a_pitchdisc_0866	A	B
r211g_r2n_colorconst_0290	A	B
r211g_r2n_timbredisc_0677	A	B
r211g_r2n_colorconst_0461	B	A
r211g_r2n_colordisc_0256	B	A
r211g_r2n_colorconst_0489	B	A
r211g_r2n_colordisc_0820	B	A
r211g_r2a_colorconst_0088	B	A
r211g_r2n_pitchdisc_0131	A	B
r211g_r2n_shapetrans_0291	B	A
r211g_r2n_colorconst_0268	A	B
r211g_r2a_pitchdisc_0987	B	A
r211g_r2n_colorconst_0050	A	B
r211g_r2n_shapetrans_1141	A	B
r211g_r2a_colordisc_1028	A	B
r211g_r2n_colordisc_0571	B	A
r211g_r2a_pitchdisc_1011	A	B
r211g_r2n_colorconst_0549	B	A
r211g_r2n_motiondir_0237	A	B
r211g_r2n_shapetrans_1165	A	B
r211g_r2a_shapetrans_0652	A	B
r211g_r2a_colordisc_0447	B	A
r211g_r2a_timbredisc_0130	A	B
r211g_r2a_motiondir_0175	B	A
r211g_r2a_shapetrans_0072	A	B
r211g_r2a_shapetrans_0906	A	B
r211g_r2n_motiondir_0173	A	B
r211g_r2n_shapetrans_1075	B	A
r211g_r2n_colordisc_0703	A	B
r211g_r2n_shapetrans_0709	A	B
r211g_r2a_colorconst_0664	B	A
r211g_r2a_timbredisc_0424	B	A
r211g_r2n_shapetrans_1098	A	B
r211g_r2n_timbredisc_0477	A	B
r211g_r2n_timbredisc_0236	A	B
r211g_r2a_colordisc_0877	B	A
r211g_r2n_timbredisc_0088	A	B
r211g_r2n_colorconst_0509	B	A
r211g_r2n_motiondir_0522	B	A
r211g_r2a_timbredisc_0560	B	A
r211g_r2n_motiondir_0213	A	B
r211g_r2a_motiondir_0989	A	B
r211g_r2a_timbredisc_0651	A	B
r211g_r2a_shapetrans_0786	A	B
r211g_r2a_timbredisc_0493	A	B
r211g_r2a_motiondir_0920	B	A
r211g_r2n_pitchdisc_0057	A	B
r211g_r2n_shapetrans_1260	A	B
r211g_r2a_colordisc_0518	A	B
r211g_r2n_shapetrans_0230	A	B
r211g_r2a_pitchdisc_0111	B	A
r211g_r2a_colorconst_0628	B	A
r211g_r2n_motiondir_0045	A	B
r211g_r2n_colorconst_0503	A	B
r211g_r2n_shapetrans_0889	A	B
r211g_r2n_colorconst_0114	B	A
r211g_r2n_colorconst_0223	B	A
r211g_r2n_motiondir_0319	B	A
r211g_r2a_motiondir_0437	A	B
r211g_r2a_shapetrans_0374	A	B
r211g_r2n_shapetrans_0389	B	A
r211g_r2n_colorconst_0472	A	B
r211g_r2n_colordisc_0175	B	A
r211g_r2n_motiondir_0289	A	B
r211g_r2a_motiondir_0244	B	A
r211g_r2a_colorconst_0207	B	A
r211g_r2n_colorconst_0254	B	A
r211g_r2a_colordisc_0575	A	B
r211g_r2n_timbredisc_0479	B	A
