NG01	The earth is made of water and rock, and grows the food we eat.		NONJOKE
NG02	He smoked for forty years and lived to be ninety.		NONJOKE
NG03	Just embrace the hug, and learn from every mistake.		NONJOKE
NG04	I do not trust the contractor. They make up everything.		NONJOKE
NG05	Why do vaccines work? They train the immune system to fight disease.		NONJOKE
NG06	I am not joking. This is serious.		NONJOKE
NG07	The horse walked into a bar. The bartender asked for ID.		NONJOKE
NG08	I never agreed to this. But now it is done.		NONJOKE
NG09	I never agreed to this. But now it is finished.		NONJOKE
NG10	She whispered. Then she closed the door.		NONJOKE
NG11	The baker made fresh dough this morning for the bread sale.		NONJOKE
NG12	The ivy grew on the old stone wall this spring.		NONJOKE
NG13	After the war they had to get over it; their fear of the wall was gone.		NONJOKE
NG14	The coach warned the team not to jump to conclusions after the hurdles were moved.		NONJOKE
NG15	There is a fine line between genius and madness.		NONJOKE
NG16	The stars come out at night.		NONJOKE
NG17	Scientists published a study on Monday. The results were peer-reviewed.		NONJOKE
NG18	The upgrade was free. The traveler downloaded it.		NONJOKE
