section	cell	post_fingerprint	pre_eq_post	pass1_eq_pass2
S1	HONEST_B2_JI_0	1357761691	yes	yes
S1	HONEST_B2_JI_1	1357411521	yes	yes
S1	HONEST_B2_JI_2	1356788958	yes	yes
S1	HONEST_B2_VUP_0	284320256	yes	yes
S1	HONEST_B2_VUP_1	283777171	yes	yes
S1	HONEST_B2_VUP_2	283386416	yes	yes
S1	HONEST_B2_WBS_0	-488317817	yes	yes
S1	HONEST_B2_WBS_1	-488251885	yes	yes
S1	HONEST_B2_WBS_2	-488791457	yes	yes
S1	HONEST_B_JI_0	1357812640	yes	yes
S1	HONEST_B_JI_1	1357448114	yes	yes
S1	HONEST_B_JI_2	1356805349	yes	yes
S1	HONEST_B_VUP_0	284374054	yes	yes
S1	HONEST_B_VUP_1	283808843	yes	yes
S1	HONEST_B_VUP_2	283402807	yes	yes
S1	HONEST_B_WBS_0	-488296024	yes	yes
S1	HONEST_B_WBS_1	-488226022	yes	yes
S1	HONEST_B_WBS_2	-488782059	yes	yes
S1	HONEST_C-P3_JI_0	1845649024	yes	yes
S1	HONEST_C-P3_JI_1	-84028312	yes	yes
S1	HONEST_C-P3_JI_2	1844692345	yes	yes
S1	HONEST_C-P3_VUP_0	-184347542	yes	yes
S1	HONEST_C-P3_VUP_1	-1761967984	yes	yes
S1	HONEST_C-P3_VUP_2	-1762369914	yes	yes
S1	HONEST_C-P3_WBS_0	-1491377468	yes	yes
S1	HONEST_C-P3_WBS_1	-1491312325	yes	yes
S1	HONEST_C-P3_WBS_2	-1491825269	yes	yes
S1	HONEST_C_JI_0	-1023545034	yes	yes
S1	HONEST_C_JI_1	553208299	yes	yes
S1	HONEST_C_JI_2	-1024503116	yes	yes
S1	HONEST_C_VUP_0	1845458051	yes	yes
S1	HONEST_C_VUP_1	267832171	yes	yes
S1	HONEST_C_VUP_2	267426135	yes	yes
S1	HONEST_C_WBS_0	-686263230	yes	yes
S1	HONEST_C_WBS_1	-686198555	yes	yes
S1	HONEST_C_WBS_2	-686711967	yes	yes
GATE	GATE_B	-1482821998	yes	yes
GATE	GATE_C	2107841618	yes	yes
GATE	GATE_C-P3	-962365685	yes	yes
GATE	GATE_B2	-1482821994	yes	yes
