session	seq	kind	span_start	span_end	grounds	conf	tag
S0	0	WORD_SPAN	36097	36100	37236-37239;38256-38259	125	FLAW-00
S0	1	WORD_SPAN	48352	48354	48400-48402;48435-48437	125	FLAW-01
S0	2	WORD_SPAN	27936	27940	28983-28987;29873-29877	125	FLAW-02
S0	3	WORD_SPAN	16354	16358	18303-18307;18706-18710	163	FLAW-03
S0	4	WORD_SPAN	30	33	-	255	FLAW-04
S0	5	WORD_SPAN	107	110	612-614;631-633	255	FLAW-05
S0	6	WORD_SPAN	300	302	-	255	FLAW-06
S0	7	WORD_SPAN	701	703	880-884;2080-2084	255	FLAW-07
S0	8	WORD_SPAN	612	614	-	101	FLAW-08
S0	9	WORD_SPAN	8	10	-	107	FLAW-09
S0	10	WORD_SPAN	880	883	-	119	FLAW-10
S0	11	WORD_SPAN	881	884	-	119	FLAW-11
S0	12	WORD_SPAN	18	21	328-331;466-469;653-656	131	T1-P036
S0	13	WORD_SPAN	62	64	281-283;704-706;1115-1117	137	T1-P017
S0	14	WORD_SPAN	84	88	220-224;241-245;542-546	131	T1-P038
S0	15	WORD_SPAN	111	115	1204-1208;1421-1425;1695-1699	137	T1-P012
S0	16	WORD_SPAN	175	178	210-213;349-352;392-395	137	T1-P008
S0	17	WORD_SPAN	555	559	721-725;765-769;850-854	137	T1-P009
S0	18	WORD_SPAN	583	587	1026-1030;3283-3287;7714-7718	162	T1-P035
S0	19	WORD_SPAN	657	660	1130-1133;3418-3421;3466-3469	137	T1-P022
S0	20	WORD_SPAN	780	782	2549-2551;2576-2578;2885-2887	137	T1-P018
S0	21	WORD_SPAN	859	862	951-954;1545-1548;3312-3315	125	T1-P037
S0	22	WORD_SPAN	868	870	1016-1018;1096-1098;2913-2915	137	T1-P014
S0	23	WORD_SPAN	875	879	1335-1339;2254-2258;6726-6730	162	T1-P033
S0	24	WORD_SPAN	942	945	1371-1374;1778-1781;2427-2430	137	T1-P016
S0	25	WORD_SPAN	1099	1101	3758-3760;7299-7301;9186-9188	137	T1-P021
S0	26	WORD_SPAN	1139	1143	5205-5209;5354-5358;5770-5774	175	T1-P025
S0	27	WORD_SPAN	1416	1420	1807-1811;1991-1995;2085-2089	137	T1-P010
S0	28	WORD_SPAN	1563	1566	2646-2649;4266-4269;5066-5069	137	T1-P013
S0	29	WORD_SPAN	2307	2310	7289-7292;17442-17445;17472-17475	137	T1-P023
S0	30	WORD_SPAN	2993	2996	3059-3062;3261-3264;4666-4669	137	T1-P011
S0	31	WORD_SPAN	3172	3177	3297-3302;7844-7849;11009-11014	175	T1-P029
S0	32	WORD_SPAN	3778	3781	6750-6753;7821-7824;9106-9109	162	T1-P032
S0	33	WORD_SPAN	5779	5781	5982-5984;7177-7179;7185-7187	131	T1-P024
S0	34	WORD_SPAN	5897	5899	12379-12381;12600-12602;12948-12950	131	T1-P019
S0	35	WORD_SPAN	6770	6775	9130-9135;16905-16910;16924-16929	175	T1-P028
S0	36	WORD_SPAN	7353	7356	7382-7385;7412-7415;7460-7463	137	T1-P015
S0	37	WORD_SPAN	8045	8049	14923-14927;14944-14948;19127-19131	137	T1-P020
S0	38	WORD_SPAN	8080	8084	14898-14902;16081-16085;22901-22905	162	T1-P034
S0	39	WORD_SPAN	12006	12011	13478-13483;13664-13669;13760-13765	175	T1-P030
S0	40	WORD_SPAN	12180	12183	18027-18030;18049-18052;21293-21296	162	T1-P031
S0	41	WORD_SPAN	14644	14650	54003-54009;54014-54020;61942-61948	150	T1-P040
S0	42	WORD_SPAN	23832	23838	25093-25099;31728-31734;40829-40835	156	T1-P039
S0	43	WORD_SPAN	39910	39914	55528-55532	151	T1-P027
S1	0	WORD_SPAN	36079	36084	2788-2793;27787-27792	163	FLAW-00
S1	1	WORD_SPAN	30746	30750	31004-31008;31025-31029	163	FLAW-01
S1	2	WORD_SPAN	20534	20538	20751-20755;22006-22010	150	FLAW-02
S1	3	WORD_SPAN	41723	41726	41872-41875;42331-42334	125	FLAW-03
S1	4	WORD_SPAN	212	215	-	255	FLAW-04
S1	5	WORD_SPAN	55	58	96-98;130-132	255	FLAW-05
S1	6	WORD_SPAN	288	290	-	255	FLAW-06
S1	7	WORD_SPAN	196	198	224-228;3063-3067	255	FLAW-07
S1	8	WORD_SPAN	96	98	-	101	FLAW-08
S1	9	WORD_SPAN	41	43	-	107	FLAW-09
S1	10	WORD_SPAN	224	227	-	119	FLAW-10
