epoch	phase	loss	v2	gviol	clampbind	w1	w2	w3	w4	w5	w6	w7	w8	b	mcC	mcW	mcA
0	0	1434039	0	9	0	1112	0	0	0	19	234	18	0	-120	857	388	819
1	0	748688	0	9	0	1183	0	0	0	25	403	26	0	-336	832	360	794
2	1	4662260	29	27	0	1150	-9	0	-12	31	77	254	0	-1388	23	1	21
3	1	4811794	0	17	0	1382	-8	0	51	263	240	588	0	-2020	112	4	103
4	2	6557006	2	17	0	1307	-7	0	11	233	387	413	30	-2231	0	0	0
5	2	5402832	2	4	0	1307	-4	0	-2	256	571	313	60	-2286	0	0	0
6	0	14259261	0	10	0	2050	-1	0	20	615	1180	848	60	-1795	955	194	894
7	0	2222212	0	9	0	2173	-1	0	21	626	1474	848	60	-2104	960	211	900
8	1	4188170	22	21	0	2075	-20	0	-9	565	1186	1003	60	-3349	209	11	193
9	1	4781456	0	14	0	2197	-20	0	-9	687	1308	1247	60	-4119	109	7	101
10	2	7452234	2	5	0	2053	-20	0	-82	599	1421	1003	90	-4384	0	0	0
11	2	5526999	2	4	0	2036	-18	0	-108	603	1596	886	120	-4426	0	0	0
12	0	22584243	0	10	0	3084	-13	0	-52	1077	2399	1663	120	-3774	944	133	878
13	0	4381038	0	9	0	3258	-12	0	-50	1097	2816	1663	120	-4206	950	150	885
14	1	4159423	22	19	0	3130	-41	0	-75	986	2479	1805	120	-5513	290	14	268
15	1	4746226	0	13	0	3250	-41	0	-75	1106	2599	2047	120	-6292	215	13	199
16	2	10000000	0	11	0	3100	-43	0	-145	1007	2707	1797	150	-6948	19	2	17
17	2	6279331	2	4	0	3017	-44	0	-202	956	2850	1614	180	-7063	0	0	0
18	0	32391785	0	10	0	4413	-31	0	-86	1565	3894	2652	180	-6107	940	123	874
19	0	6416969	0	9	0	4633	-30	0	-83	1591	4411	2652	180	-6572	952	156	888
20	1	4698671	21	17	0	4440	-73	0	-109	1407	3957	2767	180	-7981	363	14	334
21	1	4417085	0	13	0	4556	-73	0	-109	1523	4073	3000	180	-8766	291	14	268
22	2	10000000	0	17	0	4406	-75	0	-179	1424	4181	2750	210	-9532	113	10	105
23	2	9143283	2	4	0	4169	-80	0	-299	1255	4247	2413	240	-9883	0	0	0
24	0	42217393	0	10	0	5887	-59	0	-107	1996	5520	3683	240	-8546	941	128	875
25	0	7761281	0	9	0	6135	-57	0	-103	2024	6100	3683	240	-8993	959	175	895
26	1	6105742	21	14	0	5861	-111	0	-135	1767	5505	3766	240	-10514	401	14	370
27	1	3905118	0	12	0	5968	-111	0	-135	1874	5612	3983	240	-11304	350	14	323
28	2	10000000	0	15	0	5818	-113	0	-205	1775	5720	3733	270	-12206	165	14	152
29	2	10000000	0	11	0	5668	-115	0	-275	1676	5828	3483	300	-12914	60	6	56
30	0	49291916	0	9	0	7568	-89	0	-62	2431	7329	4838	300	-11330	939	122	873
31	0	9798198	0	9	0	7858	-86	0	-57	2466	8001	4838	300	-11704	967	196	904
32	1	8482118	21	14	0	7496	-152	0	-98	2123	7246	4884	300	-13340	439	14	404
33	1	3148043	0	10	0	7592	-152	0	-98	2219	7342	5077	300	-14127	388	14	357
34	2	9559504	0	15	0	7431	-154	0	-174	2114	7437	4827	330	-15155	187	14	173
35	2	10000000	0	9	0	7281	-156	0	-244	2015	7545	4577	360	-15837	133	13	123
36	0	52942477	0	10	0	9237	-128	0	-27	2730	9173	5934	360	-14185	933	106	866
37	0	12356775	0	8	0	9573	-124	0	-20	2773	9953	5934	360	-14467	972	207	910
38	1	10548778	21	13	0	9149	-198	0	-67	2373	9087	5956	360	-16167	466	14	429
39	1	2512502	0	10	0	9233	-198	0	-67	2457	9171	6128	360	-16938	411	14	379
40	2	9096721	0	13	0	9055	-201	0	-151	2344	9244	5878	390	-18017	216	14	199
41	2	10000000	0	10	0	8905	-203	0	-221	2245	9352	5628	420	-18726	174	14	161
42	0	54747547	0	13	0	10888	-173	0	1	2930	11060	6983	420	-17028	929	95	862
43	0	14459525	0	7	0	11264	-168	0	10	2978	11928	6983	420	-17238	976	214	914
44	1	11345694	22	12	0	10798	-245	0	-42	2545	10981	6990	420	-18991	488	14	449
45	1	2154051	0	10	0	10876	-245	0	-42	2623	11059	7149	420	-19725	430	14	397
46	2	9000000	0	13	0	10686	-248	0	-132	2504	11117	6899	450	-20820	253	14	234
47	2	10000000	0	9	0	10536	-250	0	-202	2405	11225	6649	480	-21577	177	14	164
48	0	55643032	0	13	0	12541	-220	0	22	3065	13008	7993	480	-19820	930	97	863
49	0	15457339	0	7	0	12935	-215	0	32	3117	13920	7993	480	-20000	980	221	919
50	1	11895586	22	11	0	12438	-294	0	-24	2659	12914	7993	480	-21799	506	14	466
51	1	1966216	0	10	0	12513	-294	0	-24	2734	12989	8144	480	-22494	451	14	416
52	2	9000000	0	12	0	12323	-297	0	-114	2615	13047	7894	510	-23571	282	14	260
53	2	9308025	0	12	0	12155	-300	0	-193	2507	13132	7644	540	-24389	180	14	167
54	0	56106866	0	13	0	14170	-270	0	29	3154	14959	8979	540	-22583	931	99	864
55	0	16324641	0	7	0	14579	-265	0	40	3207	15907	8979	540	-22742	982	225	921
56	1	12603001	22	10	0	14058	-345	0	-19	2736	14857	8979	540	-24586	528	14	486
57	1	1879363	0	10	0	14131	-345	0	-19	2809	14930	9128	540	-25267	469	14	432
58	2	9000000	0	11	0	13941	-348	0	-109	2690	14988	8878	570	-26313	303	14	280
59	2	9000961	0	13	0	13752	-351	0	-199	2571	15047	8628	600	-27192	187	14	173
