solo	0	V3-01	2	R5	w0=8 w1=84 w2=8
solo	1	V3-02	2	R5	w0=41 w1=56 w2=0
solo	2	V3-03	4	R5	w0=48 w1=48 w2=0
solo	3	V3-04	3	R5	w0=0 w1=0 w2=156
solo	4	V3-05	3	R5	w0=0 w1=24 w2=68
solo	5	V3-06	3	R5	w0=0 w1=0 w2=104
solo	6	V3-07	3	R5	w0=20 w1=4 w2=36
solo	7	V3-08	3	R5	w0=9 w1=0 w2=32
solo	8	V3-09	3	R5	w0=32 w1=0 w2=64
solo	9	V3-10	4	R3	terminal WITHHOLD: claim_type gated (CONTESTED/EVOLVED/SKEPTICISM)
solo	10	V3-11	4	R3	terminal WITHHOLD: claim_type gated (CONTESTED/EVOLVED/SKEPTICISM)
solo	11	V3-12	4	R3	terminal WITHHOLD: claim_type gated (CONTESTED/EVOLVED/SKEPTICISM)
solo	12	V3-13	4	R3	terminal WITHHOLD: claim_type gated (CONTESTED/EVOLVED/SKEPTICISM)
solo	13	V3-14	3	R6	CONTRADICTS: seeded mechanistic logic (component facts + composition steps)
solo	14	V3-15	3	JOKE	cls=2 rule=CLASSIFIER_ONLY final=2
solo	15	V3-16	3	JOKE	cls=2 rule=CLASSIFIER_ONLY final=2
solo	16	V3-17	4	JOKE	cls=5 rule=CLASSIFIER_ONLY final=5
solo	17	V3-18	4	R3	terminal WITHHOLD: claim_type gated (CONTESTED/EVOLVED/SKEPTICISM)
solo	18	V3-19	4	R3	terminal WITHHOLD: claim_type gated (CONTESTED/EVOLVED/SKEPTICISM)
solo	19	V3-20	3	R6	CONTRADICTS: seeded mechanistic logic (component facts + composition steps)
solo	20	V3-21	3	R6	CONTRADICTS: seeded mechanistic logic (component facts + composition steps)
solo	21	V3-22	3	R6	CONTRADICTS: seeded mechanistic logic (component facts + composition steps)
solo	22	V3-23	3	R6	CONTRADICTS: seeded mechanistic logic (component facts + composition steps)
solo	23	V3-24	3	R6	CONTRADICTS: seeded mechanistic logic (component facts + composition steps)
