V3-01-q0-r0 1 endorse
V3-01-q0-r1 1 endorse
V3-01-q0-r2 0 neutral
V3-01-q0-r3 1 endorse
V3-01-q1-r0 1 endorse
V3-01-q1-r1 2 deny-lex
V3-01-q1-r2 1 endorse
V3-01-q1-r3 1 endorse
V3-02-q0-r0 1 endorse
V3-02-q0-r1 1 endorse
V3-02-q0-r2 0 neutral
V3-02-q0-r3 0 neutral
V3-02-q1-r0 1 endorse
V3-02-q1-r1 0 neutral
V3-02-q1-r2 0 neutral
V3-02-q1-r3 0 neutral
V3-03-q0-r0 1 endorse
V3-03-q0-r1 1 endorse
V3-03-q0-r2 0 neutral
V3-03-q0-r3 0 neutral
V3-03-q1-r0 1 endorse
V3-03-q1-r1 1 endorse
V3-03-q1-r2 1 endorse
V3-03-q1-r3 1 endorse
V3-04-q0-r0 2 neg-scope
V3-04-q0-r1 2 neg-scope
V3-04-q0-r2 2 neg-scope
V3-04-q0-r3 2 neg-scope
V3-04-q1-r0 2 deny-lex
V3-04-q1-r1 2 deny-lex
V3-04-q1-r2 2 neg-scope
V3-04-q1-r3 2 neg-scope
V3-05-q0-r0 2 deny-lex
V3-05-q0-r1 2 deny-lex
V3-05-q0-r2 2 numeric-mismatch
V3-05-q0-r3 1 endorse
V3-05-q1-r0 2 deny-lex
V3-05-q1-r1 2 deny-lex
V3-05-q1-r2 1 endorse
V3-05-q1-r3 2 neg-scope
V3-06-q0-r0 2 deny-lex
V3-06-q0-r1 2 deny-lex
V3-06-q0-r2 2 deny-lex
V3-06-q0-r3 2 deny-lex
V3-06-q1-r0 2 deny-lex
V3-06-q1-r1 2 deny-lex
V3-06-q1-r2 2 deny-lex
V3-06-q1-r3 2 deny-lex
V3-07-q0-r0 2 numeric-mismatch
V3-07-q0-r1 1 endorse
V3-07-q0-r2 2 numeric-mismatch
V3-07-q0-r3 0 neutral
V3-07-q1-r0 2 neg-scope
V3-07-q1-r1 2 deny-lex
V3-07-q1-r2 0 neutral
V3-07-q1-r3 2 numeric-mismatch
V3-08-q0-r0 0 neutral
V3-08-q0-r1 2 deny-lex
V3-08-q0-r2 0 neutral
V3-08-q0-r3 0 neutral
V3-08-q1-r0 2 deny-lex
V3-08-q1-r1 2 deny-lex
V3-08-q1-r2 2 deny-lex
V3-08-q1-r3 2 deny-lex
V3-09-q0-r0 0 neutral
V3-09-q0-r1 0 neutral
V3-09-q0-r2 2 neg-scope
V3-09-q0-r3 2 deny-lex
V3-09-q1-r0 2 deny-lex
V3-09-q1-r1 2 deny-lex
V3-09-q1-r2 2 deny-lex
V3-09-q1-r3 2 deny-lex
