D-01	double-negation	LOGIC	1	R-IDENT-AFFIRM	expect AFFIRM via NOT(NOT(P))==P canonicalization; proof informative?	NOT(NOT(RAIN()))
D-02	double-negation	LOGIC	1	R-IDENT-AFFIRM	mirror of D-01	RAIN()
D-03	double-negation	R12	0	neutral	text double negation -> AFFIRM?	It is not uncommon for it to rain here.
D-04	double-negation	R12	1	endorse	text double negation -> AFFIRM?	The plan is not unwise.
D-05	neg-scope	LOGIC	0		does the parser accept NOT(ALL(...))? scope of negation over quantifier	SOME(birds,NOT(FLIES(birds)))
D-06	neg-scope	R12	1	endorse	documented veto: correction affirms -> AFFIRM	The meeting is at noon.
D-07	neg-scope	R12	2	neg-scope	same shape, claim matches negated part -> DENY?	The meeting is at eleven.
D-08	neg-scope	R12	2	competing-subject	double negation in evidence -> ?	She is innocent.
D-09	numeric	LOGIC	1	R-QTY-AFFIRM	subset [5,5]<=[5,inf) -> R-QTY-AFFIRM	QTY(senses,at_least,5)
D-10	numeric	LOGIC	0		compatible not entailed -> NEUTRAL	QTY(senses,exactly,5)
D-11	numeric	LOGIC	1	R-QTY-AFFIRM	subset -> AFFIRM	QTY(dose,less_than,3)
D-12	numeric	LOGIC	2	R-QTY-DENY	(5,inf) vs [5,5] disjoint -> DENY	QTY(dose,more_than,5)
D-13	numeric	LOGIC	2	R-QTY-DENY	mirror -> DENY	QTY(dose,exactly,5)
D-14	numeric	LOGIC	2	R-QTY-DENY	5min converts natively to 300sec -> disjoint intervals -> R-QTY-DENY (principled)	QTY(time,exactly,5sec)
D-15	numeric	LOGIC	1	R-QTY-AFFIRM;R-IDENT-AFFIRM	word-number canonicalization -> AFFIRM	QTY(senses,exactly,five)
D-16	numeric	LOGIC	1	R-QTY-AFFIRM	subset -> AFFIRM	QTY(senses,range,22,33)
D-17	numeric	LOGIC	0		compatible not entailed -> NEUTRAL	QTY(senses,exactly,25)
D-18	numeric	LOGIC	2	R-QTY-DENY	[20,inf) vs [15,15] disjoint -> DENY	QTY(temp,at_least,20)
D-19	numeric	R12	1	endorse	text subset -> AFFIRM?	The hike takes at least five hours.
D-20	numeric	R12	1	endorse	compatible not entailed -> NEUTRAL?	The hike takes five hours.
D-21	numeric	R12	2	numeric-mismatch	text subset -> AFFIRM?	Fewer than three people came.
D-22	numeric	R12	0	neutral	disjoint -> DENY?	More than five people came.
D-23	numeric	R12	1	endorse	word/digit equivalence -> AFFIRM?	The dose is 5mg.
D-24	causal-chain	LOGIC	0		no chained causation (documented) -> NEUTRAL	CAUSE(RAIN(),FLOOD())
D-25	causal-chain	LOGIC	0		IF+fact does not affirm causal claim -> NEUTRAL	CAUSE(SMOKE(),ALARM())
D-26	prevented-cause	LOGIC	1	R-CAU-AFFIRM	prevented-cause: non-vacuous reason -> R-CAU-AFFIRM?	NOT(FLOOD())
D-27	prevented-cause	LOGIC	0		vacuous reason NOT(...) -> NEUTRAL	NOT(FLOOD())
D-28	prevented-cause	LOGIC	0		vacuous reason MAYBE -> NEUTRAL	Q()
D-29	prevented-cause	R12	0	neutral	text prevented-cause -> AFFIRM?	The dam prevented the flood.
D-30	prevented-cause	R12	0	neutral	claim negated, evidence causal -> ?	The town did not flood.
D-31	causal-chain	R12	0	neutral	text chain -> AFFIRM?	Rain caused the flood.
D-32	quantifier	LOGIC	2	R-QNT-DENY	R-QNT-DENY	ALL(birds,FLIES(birds))
D-33	quantifier	LOGIC	2	R-QNT-DENY	R-QNT-DENY	NONE(fish,FLIES(fish))
D-34	quantifier	LOGIC	2	R-QNT-DENY	R-QNT-DENY	ALL(birds,FLIES(birds))
D-35	quantifier	LOGIC	2	R-QNT-DENY	R-QNT-DENY	SOME(birds,FLIES(birds))
D-36	quantifier	R12	0	gate	text quantifier counterexample -> DENY?	All birds fly.
D-37	quantifier	R12	0	neutral	text NONE vs counterexample -> ?	No fish fly.
D-38	quantifier	R12	0	gate	text SOME vs ALL NOT -> DENY?	Some birds cannot fly.
D-39	contra-pair	LOGIC	2	R-IDENT-AFFIRM;R-NEG-DENY	contradictory evidence pair -> DENY (R-NEG-DENY)	P()
D-40	contra-pair	LOGIC	2	R-QTY-AFFIRM;R-IDENT-AFFIRM;R-QTY-DENY	pair -> DENY	QTY(x,exactly,5)
D-41	contra-pair	LOGIC	2	R-IDENT-AFFIRM;R-CAU-PROP-DENY	R-CAU-PROP-DENY on second prop -> DENY	CAUSE(A(),B())
D-42	contra-pair	R12	1	endorse	text contradictory pair -> ?	The door is open.
D-43	temporal	LOGIC	2	R-TMP-DENY	AFTER(dawn,noon)==BEFORE(noon,dawn) -> contradicts claim -> R-TMP-DENY	BEFORE(dawn,noon)
D-44	temporal	LOGIC	2	R-TMP-DENY	R-TMP-DENY	BEFORE(dawn,noon)
D-45	temporal	LOGIC	0		no order completion (documented) -> NEUTRAL	NOT(AFTER(a,b))
D-46	temporal	R12	0	neutral	text temporal contradiction -> DENY?	Dawn comes before noon.
D-47	hedge	LOGIC	0		hedging inert both directions -> NEUTRAL	MAYBE(RAIN())
D-48	hedge	LOGIC	0		hedged evidence -> NEUTRAL	RAIN()
D-49	hedge	LOGIC	0		nothing asserted -> NEUTRAL	MAYBE(RAIN())
D-50	hedge	R12	0	neutral	certain claim vs hedged evidence -> ?	It will rain.
D-51	hedge	R12	0	neutral	hedged claim vs certain evidence -> ?	It may rain.
D-52	hedge	R12	0	gate	certainty from hedge -> AFFIRM would be over-affirm	The treatment cures baldness.
