case	class	fetch	parse	query	select	blind	inj_flags	n_candidates	clusters	winner_count	minsrc	verdict	provs	store	store_gate
nf-a-01	A	ok	2 pages, 10 sents	factual claims about live ingestion fixture beacon nf2026092	OPEN nf-a-01-p1,nf-a-01-p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
nf-a-02	A	ok	2 pages, 10 sents	factual claims about live ingestion fixture beacon nf2026092	OPEN nf-a-02-p1,nf-a-02-p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
nf-a-03	A	ok	2 pages, 10 sents	factual claims about live ingestion fixture beacon nf2026092	OPEN nf-a-03-p1,nf-a-03-p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
nf-a-04	A	ok	2 pages, 10 sents	factual claims about live ingestion fixture beacon nf2026092	OPEN nf-a-04-p1,nf-a-04-p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
nf-a-05	A	ok	2 pages, 10 sents	factual claims about live ingestion fixture beacon nf2026092	OPEN nf-a-05-p1,nf-a-05-p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
nf-a-06	A	ok	2 pages, 10 sents	factual claims about live ingestion fixture beacon nf2026092	OPEN nf-a-06-p1,nf-a-06-p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
nf-a-07	A	ok	2 pages, 10 sents	factual claims about live ingestion fixture beacon nf2026092	OPEN nf-a-07-p1,nf-a-07-p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
nf-a-08	A	ok	2 pages, 10 sents	factual claims about live ingestion fixture beacon nf2026092	OPEN nf-a-08-p1,nf-a-08-p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
nf-a-09	A	ok	2 pages, 10 sents	factual claims about live ingestion fixture beacon nf2026092	OPEN nf-a-09-p1,nf-a-09-p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
nf-a-10	A	ok	2 pages, 10 sents	factual claims about live ingestion fixture beacon nf2026092	OPEN nf-a-10-p1,nf-a-10-p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
nf-a-11	A	ok	2 pages, 10 sents	factual claims about live ingestion fixture beacon nf2026092	OPEN nf-a-11-p1,nf-a-11-p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
nf-a-12	A	ok	2 pages, 10 sents	factual claims about live ingestion fixture beacon nf2026092	OPEN nf-a-12-p1,nf-a-12-p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
nf-a-13	A	ok	2 pages, 10 sents	factual claims about fixture manifest listing exactly 60 clu	OPEN nf-a-13-p1,nf-a-13-p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
nf-a-14	A	ok	2 pages, 10 sents	factual claims about fixture clusters holding exactly two sn	OPEN nf-a-14-p1,nf-a-14-p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
nf-a-15	A	ok	2 pages, 10 sents	factual claims about fixture beacon ledger recording one sha	OPEN nf-a-15-p1,nf-a-15-p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
nf-a-16	A	ok	2 pages, 10 sents	factual claims about frozen prereg named prereg li nf md nov	OPEN nf-a-16-p1,nf-a-16-p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
nf-a-17	A	ok	2 pages, 10 sents	factual claims about esa juice spacecraft earth flyby 8640 k	OPEN nf-a-17-p1,nf-a-17-p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
nf-a-18	A	ok	2 pages, 10 sents	factual claims about starship test flights suborbital trajec	OPEN nf-a-18-p1,nf-a-18-p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
nf-a-19	A	ok	2 pages, 10 sents	factual claims about piero guaylupo callum connor unanimous 	OPEN nf-a-19-p1,nf-a-19-p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
nf-a-20	A	ok	2 pages, 10 sents	factual claims about bayern munich women manchester city wom	OPEN nf-a-20-p1,nf-a-20-p2	0	none	2	c0=2(pg0,1)	2	2	ANSWER	2	INSTALL	INSTALL
nf-b-01	B	ok	2 pages, 10 sents	factual claims about live ingestion fixture beacon nf2026092	OPEN nf-b-01-p1,nf-b-01-p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
nf-b-02	B	ok	2 pages, 10 sents	factual claims about live ingestion fixture beacon nf2026092	OPEN nf-b-02-p1,nf-b-02-p2	0	none	2	c0=1(pg0);c1=1(pg1)	1	2	UNCHECKABLE	0	WITHHOLD	NO_CORROBORATION
