task	split	n	installs	false_installs	false_install_rate
colorconst	adversarial	584	516	134	0.2295
colorconst	normal	681	556	41	0.0602
colordisc	adversarial	982	267	254	0.2587
colordisc	normal	1022	628	38	0.0372
motiondir	adversarial	854	502	60	0.0703
motiondir	normal	591	585	0	0.0000
pitchdisc	adversarial	982	296	0	0.0000
pitchdisc	normal	721	451	0	0.0000
shapetrans	adversarial	997	347	75	0.0752
shapetrans	normal	1264	820	79	0.0625
timbredisc	adversarial	601	534	38	0.0632
timbredisc	normal	721	721	0	0.0000
ALL	all	10000	6223	719	0.0719
ADVERSARIAL_ONLY	adversarial	5000	2462	561	0.1122
NORMAL_ONLY	normal	5000	3761	158	0.0316
