# kind	vid	b	t	dir	pair_wins	e_total
M	0_jNjpVxUt0	2	465	N	1,1,1,1,1,1,1	13339
M	0_jNjpVxUt0	2	480	N	1,1,1,1,1,1,1	12806
S	0_jNjpVxUt0	2	0	STILL	1,1,1,2,3,3,3	2212
M	0_jNjpVxUt0	3	720	NE	2,2,2,2,2,2,2	63024
M	0_jNjpVxUt0	3	765	NE	2,2,2,2,2,2,2	61093
M	0_jNjpVxUt0	4	705	NE	2,2,2,2,2,2,2	140946
M	0_jNjpVxUt0	4	720	NE	2,2,2,2,2,2,2	139722
M	9AwUsf8HzVI	2	450	W	7,7,7,7,7,7,7	1497917
M	9AwUsf8HzVI	2	465	W	7,7,7,7,7,7,7	1201150
M	9AwUsf8HzVI	3	285	S	5,5,5,5,5,5,5	1601710
M	9AwUsf8HzVI	3	1695	E	3,3,3,3,3,3,3	1619456
M	9AwUsf8HzVI	4	1740	W	7,7,7,7,7,7,7	1381872
M	9AwUsf8HzVI	4	1755	W	7,7,7,7,7,7,7	1496873
M	Eoo4HzILB-M	2	195	E	3,3,3,3,3,3,3	22057
M	Eoo4HzILB-M	2	210	E	3,3,3,3,3,3,3	22267
M	Eoo4HzILB-M	3	195	E	3,3,3,3,3,3,3	36483
M	Eoo4HzILB-M	3	210	E	3,3,3,3,3,3,3	27117
M	Eoo4HzILB-M	4	180	E	3,3,3,3,3,3,3	33556
M	Eoo4HzILB-M	4	195	E	3,3,3,3,3,3,3	42750
M	OQSNhk5ICTI	2	1995	W	7,7,7,7,7,7,7	286863
M	OQSNhk5ICTI	2	2505	E	3,3,3,3,3,3,3	247254
S	OQSNhk5ICTI	2	3630	STILL	0,2,0,0,7,6,7	174
M	OQSNhk5ICTI	3	75	SE	4,4,4,4,4,4,4	818144
M	OQSNhk5ICTI	3	1995	W	7,7,7,7,7,7,7	329995
S	OQSNhk5ICTI	3	3615	STILL	3,1,3,7,4,2,0	1425
M	OQSNhk5ICTI	4	120	NE	2,2,2,2,2,2,2	1075746
M	OQSNhk5ICTI	4	5100	E	3,3,3,3,3,3,3	275780
S	OQSNhk5ICTI	4	3615	STILL	3,1,0,4,2,7,7	2595
M	bwJ-TNu0hGM	2	1440	W	7,7,7,7,7,7,7	177586
M	bwJ-TNu0hGM	2	1455	W	7,7,7,7,7,7,7	151969
S	bwJ-TNu0hGM	2	0	STILL	0,0,0,0,0,0,0	0
M	bwJ-TNu0hGM	3	675	W	7,7,7,7,7,7,7	285236
M	bwJ-TNu0hGM	3	1440	W	7,7,7,7,7,7,7	267775
S	bwJ-TNu0hGM	3	0	STILL	0,0,0,0,0,0,0	0
M	bwJ-TNu0hGM	4	1425	W	7,7,7,7,7,7,7	317122
M	bwJ-TNu0hGM	4	1440	W	7,7,7,7,7,7,7	288807
S	bwJ-TNu0hGM	4	270	STILL	0,0,0,0,0,0,0	0
M	kcfs1-ryKWE	2	615	E	3,3,3,3,3,3,3	627210
M	kcfs1-ryKWE	2	630	E	3,3,3,3,3,3,3	587616
M	kcfs1-ryKWE	3	1245	W	7,7,7,7,7,7,7	525404
M	kcfs1-ryKWE	3	1260	W	7,7,7,7,7,7,7	540300
M	kcfs1-ryKWE	4	615	NE	2,2,2,2,2,2,2	651414
M	kcfs1-ryKWE	4	990	W	7,7,7,7,7,7,7	632538
M	uKNQCPXDNdc	2	3480	W	7,7,7,7,7,7,7	700011
M	uKNQCPXDNdc	2	3630	E	3,3,3,3,3,3,3	1264535
S	uKNQCPXDNdc	2	0	STILL	0,0,0,0,0,0,0	0
M	uKNQCPXDNdc	3	3615	E	3,3,3,3,3,3,3	1283240
M	uKNQCPXDNdc	3	3630	E	3,3,3,3,3,3,3	1400064
S	uKNQCPXDNdc	3	0	STILL	0,0,0,0,0,0,0	0
M	uKNQCPXDNdc	4	3615	E	3,3,3,3,3,3,3	1617216
M	uKNQCPXDNdc	4	3630	E	3,3,3,3,3,3,3	1422192
S	uKNQCPXDNdc	4	60	STILL	0,0,0,0,0,0,0	0
