F1_translation got=NOVEL,known=0,inst=3,with=0 | exp=NOVEL,known=0,inst=3,with=0 | MATCH
F2_negation    got=NOVEL,known=0,inst=2,with=0 | exp=NOVEL,known=0,inst=2,with=0 | MATCH
F3_split       got=NOVEL,known=0,inst=4,with=0 | exp=NOVEL,known=0,inst=4,with=0 | MATCH
F4a_known      got=EMPTY,known=3,inst=0,with=0 | exp=EMPTY,known=3,inst=0,with=0 | MATCH
F4b_smuggle    got=NOVEL,known=0,inst=2,with=0 | exp=NOVEL,known=0,inst=2,with=0 | MATCH
F5_normgap     got=NOVEL,known=0,inst=2,with=0 | exp=NOVEL,known=0,inst=2,with=0 | MATCH
H1_embed       got=NOVEL,known=2,inst=1,with=0 | exp=NOVEL,known=2,inst=1,with=0 | MATCH
H2_launder     got=NOVEL,known=1,inst=2,with=0 | exp=NOVEL,known=1,inst=2,with=0 | MATCH
H3_neardupe    got=NOVEL,known=1,inst=1,with=0 | exp=NOVEL,known=1,inst=1,with=0 | MATCH
H4_volume      got=NOVEL,known=12,inst=1,with=0 | exp=NOVEL,known=12,inst=1,with=0 | MATCH
L1a_drip       got=WITHHELD,known=5,inst=0,with=1 | exp=WITHHELD,known=None,inst=0,with=1 | MATCH
L1b_drip       got=WITHHELD,known=5,inst=0,with=1 | exp=WITHHELD,known=None,inst=0,with=1 | MATCH
L1c_drip       got=WITHHELD,known=5,inst=0,with=1 | exp=WITHHELD,known=None,inst=0,with=1 | MATCH
L2a_xbound     got=WITHHELD,known=5,inst=0,with=1 | exp=WITHHELD,known=None,inst=0,with=1 | MATCH
L2b_xbound     got=WITHHELD,known=5,inst=0,with=1 | exp=WITHHELD,known=None,inst=0,with=1 | MATCH
L3_partial     got=WITHHELD,known=2,inst=0,with=1 | exp=WITHHELD,known=None,inst=0,with=1 | MATCH
TOTAL 16/16 MATCH
