rc	rm	scale	near_n	near_blocked	far_n	far_blocked	cand_n	false_blocked	true_blocked	ret_rate_eq_1x	over_rate_eq_1x
9	15	10x	3000	0	600	0	90	0	0	1	1
9	15	100x	30000	0	6000	0	900	0	0	1	1
150	245	10x	3000	220	600	0	90	10	0	1	1
150	245	100x	30000	2200	6000	0	900	100	0	1	1
150	500	10x	3000	440	600	0	90	30	0	1	1
150	500	100x	30000	4400	6000	0	900	300	0	1	1
150	1000	10x	3000	660	600	0	90	80	0	1	1
150	1000	100x	30000	6600	6000	0	900	800	0	1	1
150	2000	10x	3000	1100	600	0	90	80	0	1	1
150	2000	100x	30000	11000	6000	0	900	800	0	1	1
