rc	rm	near_blocked	near_n	far_blocked	far_n	false_retention	false_n	true_blocked	true_n
9	15	0	300	0	60	0	9	0	34
9	53	2	300	0	60	0	9	0	34
9	100	3	300	0	60	0	9	0	34
9	245	3	300	0	60	0	9	0	34
9	500	6	300	0	60	0	9	0	34
9	1000	9	300	0	60	0	9	0	34
9	2000	15	300	0	60	0	9	0	34
25	15	0	300	0	60	0	9	0	34
25	53	5	300	0	60	0	9	0	34
25	100	7	300	0	60	0	9	0	34
25	245	7	300	0	60	0	9	0	34
25	500	14	300	0	60	0	9	0	34
25	1000	21	300	0	60	0	9	0	34
25	2000	35	300	0	60	0	9	0	34
46	15	0	300	0	60	0	9	0	34
46	53	9	300	0	60	0	9	0	34
46	100	11	300	0	60	0	9	0	34
46	245	11	300	0	60	0	9	0	34
46	500	22	300	0	60	0	9	0	34
46	1000	33	300	0	60	1	9	0	34
46	2000	55	300	0	60	1	9	0	34
80	15	0	300	0	60	0	9	0	34
80	53	14	300	0	60	0	9	0	34
80	100	15	300	0	60	0	9	0	34
80	245	15	300	0	60	0	9	0	34
80	500	30	300	0	60	0	9	0	34
80	1000	45	300	0	60	3	9	0	34
80	2000	75	300	0	60	3	9	0	34
150	15	0	300	0	60	0	9	0	34
150	53	21	300	0	60	0	9	0	34
150	100	22	300	0	60	0	9	0	34
150	245	22	300	0	60	1	9	0	34
150	500	44	300	0	60	3	9	0	34
150	1000	66	300	0	60	8	9	0	34
150	2000	110	300	0	60	8	9	0	34
