rc	rm	axis	side	position	conf	meas	exemplar_conf	exemplar_meas	verdict
9	15	conf	plus	inside	726	2618	718	2618	BLOCKED
9	15	conf	plus	outside	728	2618	718	2618	ALLOWED
9	15	conf	minus	inside	710	2618	718	2618	BLOCKED
9	15	conf	minus	outside	708	2618	718	2618	BLOCKED
9	15	meas	plus	inside	718	2632	718	2618	BLOCKED
9	15	meas	plus	outside	718	2634	718	2618	BLOCKED
9	15	meas	minus	inside	718	2604	718	2618	BLOCKED
9	15	meas	minus	outside	718	2602	718	2618	ALLOWED
150	245	conf	plus	inside	867	2618	718	2618	BLOCKED
150	245	conf	plus	outside	869	2618	718	2618	ALLOWED
150	245	conf	minus	inside	569	2618	718	2618	BLOCKED
150	245	conf	minus	outside	567	2618	718	2618	BLOCKED
150	245	meas	plus	inside	718	2862	718	2618	BLOCKED
150	245	meas	plus	outside	718	2864	718	2618	BLOCKED
150	245	meas	minus	inside	718	2374	718	2618	BLOCKED
150	245	meas	minus	outside	718	2372	718	2618	ALLOWED
150	500	conf	plus	inside	867	2618	718	2618	BLOCKED
150	500	conf	plus	outside	869	2618	718	2618	ALLOWED
150	500	conf	minus	inside	569	2618	718	2618	BLOCKED
150	500	conf	minus	outside	567	2618	718	2618	BLOCKED
150	500	meas	plus	inside	718	3117	718	2618	BLOCKED
150	500	meas	plus	outside	718	3119	718	2618	BLOCKED
150	500	meas	minus	inside	718	2119	718	2618	BLOCKED
150	500	meas	minus	outside	718	2117	718	2618	ALLOWED
150	1000	conf	plus	inside	867	2618	718	2618	BLOCKED
150	1000	conf	plus	outside	869	2618	718	2618	ALLOWED
150	1000	conf	minus	inside	569	2618	718	2618	BLOCKED
150	1000	conf	minus	outside	567	2618	718	2618	BLOCKED
150	1000	meas	plus	inside	718	3617	718	2618	BLOCKED
150	1000	meas	plus	outside	718	3619	718	2618	BLOCKED
150	1000	meas	minus	inside	718	1619	718	2618	BLOCKED
150	1000	meas	minus	outside	718	1617	718	2618	ALLOWED
