# F37 IFP falsifier log: t	maxabsw	edge_cum	emits_cum	drags_cum
250	0	0	250	0
500	0	15	500	0
750	0	265	750	0
1000	0	515	1000	0
1250	0	765	1250	0
1500	0	1015	1500	0
1750	0	1265	1750	0
2000	0	1515	2000	0
2250	0	1765	2250	0
2500	0	2015	2500	0
2750	0	2265	2750	0
3000	0	2515	3000	0
3250	0	2765	3250	0
3500	0	3015	3500	0
3750	0	3265	3750	0
4000	1	3282	4000	155
4250	0	3282	4250	182
4500	0	3282	4500	182
4750	0	3282	4750	182
5000	0	3282	5000	182
5250	0	3282	5250	182
5500	0	3282	5500	182
5750	0	3282	5750	182
6000	0	3282	6000	182
6250	0	3282	6250	182
6500	0	3282	6500	182
6750	0	3282	6750	182
7000	0	3282	7000	182
7250	0	3282	7250	182
7500	0	3282	7500	182
7750	0	3282	7750	182
8000	1	3282	8000	182
8250	1	3282	8250	342
8500	0	3282	8500	355
8750	0	3282	8750	355
9000	0	3282	9000	355
9250	0	3282	9250	355
9500	0	3282	9500	355
9750	0	3282	9750	355
10000	0	3282	10000	355
10250	0	3282	10250	355
10500	0	3282	10500	355
10750	0	3282	10750	355
11000	0	3282	11000	355
11250	0	3282	11250	355
11500	0	3282	11500	355
11750	0	3282	11750	355
12000	0	3282	12000	355
12250	1	3282	12250	355
12500	1	3282	12500	513
# final t=12666 maxabsw=0 edge=3282 emits=12666 drags=533
# stratum d_idx=0 A=2332 B=2822 mu=826 n_my=2820
# stratum d_idx=1 A=2332 B=2681 mu=869 n_my=2679
# stratum d_idx=2 A=2329 B=2619 mu=889 n_my=2421
# stratum d_idx=3 A=2311 B=2544 mu=908 n_my=2358
# stratum d_idx=4 A=2296 B=2474 mu=928 n_my=2328
# stratum d_idx=5 A=31 B=47 mu=659 n_my=45
# stratum d_idx=6 A=16 B=26 mu=615 n_my=15
