cell	arm	rerun	log	sha256	wall_s	rc
cap32a0r1	trained	1	cap32a0r1_trained_r1.log	2b07405641cf884ae3f3d5bf419944880df0a9e4b16f922b44d0138abceb7d95	0.178337	0
cap32a0r1	trained	2	cap32a0r1_trained_r2.log	8ab0c155b42f7648c01921bebc4b2f5d840b2fcaf3db0c07fafdd0765caf22e9	0.428701	0
cap32a0r1	trained	3	cap32a0r1_trained_r3.log	d61aa60b9ca487a0eccd1e7e9b806acd43ba625f1fbaeb6f93f22a550ec8f886	0.0796013	0
cap32a0r1	naive	1	cap32a0r1_naive_r1.log	a828927f14034f62ff273f9ad1e97a5f76d3a2084b0c6fe86ff19716218a3cfb	0.182964	0
cap32a0r1	naive	2	cap32a0r1_naive_r2.log	990993efd74c90d6d4642cff0aeabbf63b283f1370a2141dd8d568e632a5d528	0.259227	0
cap32a0r1	naive	3	cap32a0r1_naive_r3.log	0d990cba3e07e909fdfad72632a93392e73c8e88ca787943381b471369de318f	0.315001	0
cap32a0r1	auto	1	cap32a0r1_auto_r1.log	2ddea47eaab9be0c0ccbe30431f84576462c1e81c36acbfbfe522f8feb3efabd	0.0390644	0
cap32a0r1	auto	2	cap32a0r1_auto_r2.log	1cabea1f68a2906e019bb06b918465bdab0b7c4b47d3b5198cfef8f725580c1d	0.0281067	0
cap32a0r1	auto	3	cap32a0r1_auto_r3.log	1e38fa75e1037adeb6ee729e6de460946004977918d9298ed572727964d2ee26	0.0201733	0
cap32a0r3	trained	1	cap32a0r3_trained_r1.log	643ddada334f3cf1a5be2099c45666617933c49c5ed53ae74251175a18d861a2	0.0730407	0
cap32a0r3	trained	2	cap32a0r3_trained_r2.log	d25bce07497bb9fc85769c7ef65039f880e95f241b4544d131e96a91d121c929	0.121928	0
cap32a0r3	trained	3	cap32a0r3_trained_r3.log	280a6b351a94c491baede3f40fc0254614047724733e061450432decb625bac7	0.102364	0
cap32a0r3	naive	1	cap32a0r3_naive_r1.log	46bbedf0dbeb838ca175732f2ac026423127cb6ad3b72c4edfbddd7ade5a356d	0.24859	0
cap32a0r3	naive	2	cap32a0r3_naive_r2.log	73dedb5201811862633fbcf127d0dc5c852fa980bc7997b1c69187d03505e0cf	0.304955	0
