fit	kind	fam	ds	ncells	loss_init	loss_final	w1	w2	w3	w4	w5	w6	w7	w8	b	w9	alpha	beta	gamma	delta
0	0	0	0	248	20228786	0	1512	512	0	0	512	512	0	0	0	250	250	250	250	250
1	0	0	1	248	6521614	0	1512	512	0	512	512	512	0	0	0	250	250	250	250	250
2	0	0	2	248	1471403	0	1512	0	0	0	0	0	0	0	0	250	250	250	250	250
3	0	0	3	248	1471403	0	1512	0	0	0	0	0	0	0	0	250	250	250	250	250
4	0	0	4	248	1471403	0	1512	0	0	0	0	0	0	0	0	250	250	250	250	250
5	0	1	0	113	31861593	0	1512	512	0	0	512	512	0	0	0	250	250	250	250	250
6	0	1	1	113	12872117	0	1512	512	0	0	512	0	0	0	0	250	250	250	250	250
7	0	1	2	113	12872117	0	1512	512	0	0	512	0	0	0	0	250	250	250	250	250
8	0	1	3	113	12872117	0	1512	512	0	0	512	0	0	0	0	250	250	250	250	250
9	0	1	4	113	12872117	0	1512	512	0	0	512	0	0	0	0	250	250	250	250	250
10	0	2	0	264	74437704	0	1512	512	0	0	512	512	0	0	0	250	250	250	250	250
11	0	2	1	264	62946224	0	1512	512	0	0	512	0	0	0	0	250	250	250	250	250
12	0	2	2	264	62946224	0	1512	512	0	0	512	0	0	0	0	250	250	250	250	250
13	0	2	3	264	62946224	0	1512	512	0	0	512	0	0	0	0	250	250	250	250	250
14	0	2	4	264	62946224	0	1512	512	0	0	512	0	0	0	0	250	250	250	250	250
15	0	3	0	127	737616	0	488	0	0	0	0	0	0	0	0	250	250	250	250	250
16	0	3	1	85	5737500	0	488	-512	0	-512	0	0	0	0	0	250	250	250	250	250
17	0	4	0	125	31010405	0	1512	512	0	0	512	512	0	0	0	250	250	250	250	250
18	0	4	1	125	120125	0	1512	0	0	0	0	0	0	0	0	250	250	250	250	250
19	0	4	2	125	120125	0	1512	0	0	0	0	0	0	0	0	250	250	250	250	250
20	0	4	3	125	120125	0	1512	0	0	0	0	0	0	0	0	250	250	250	250	250
21	0	4	4	125	120125	0	1512	0	0	0	0	0	0	0	0	250	250	250	250	250
22	0	6	0	20	1666340	0	1512	-512	0	0	0	0	512	0	0	762	250	250	250	250
23	0	7	0	20	10991596	0	1512	512	0	0	512	512	0	0	512	250	250	250	250	250
24	0	7	1	20	5639220	0	1512	512	0	512	512	512	0	0	0	250	250	250	250	250
25	0	7	2	20	5639220	0	1512	512	0	0	512	512	0	0	0	250	250	250	250	250
26	0	8	0	20	5062788	0	488	-512	0	0	-512	-512	0	0	0	250	250	250	250	250
27	0	8	1	20	13197660	0	488	-512	0	-512	-512	-512	0	0	0	250	250	250	250	250
28	0	8	2	20	13197660	0	488	-512	0	0	-512	-512	0	0	0	250	250	250	250	250
29	1	0	-1	1240	31164609	0	1512	512	0	512	512	512	0	0	0	250	250	250	250	250
30	1	1	-1	565	83350061	0	1512	512	0	0	512	512	0	0	0	250	250	250	250	250
31	1	2	-1	1320	326222600	0	1512	512	0	0	512	512	0	0	0	250	250	250	250	250
32	1	3	-1	217	8451651	0	488	-512	0	-512	-512	0	0	0	0	250	250	250	250	250
33	1	4	-1	625	31490905	0	1512	512	0	0	512	512	0	0	0	250	250	250	250	250
34	1	6	-1	65	4346705	0	1512	-1024	0	-512	0	0	1024	0	-512	0	250	250	250	250
35	1	7	-1	90	30728866	0	1512	512	0	512	512	512	0	0	512	250	250	250	250	250
36	1	8	-1	90	51254598	0	488	-512	0	-512	-512	-512	0	0	0	250	250	250	250	250
37	2	-1	-1	4222	583497856	116847651	2326	-6922	0	-2383	310	-254	2464	2048	0	64	158	250	122	250
