epoch	phase	loss	v2	gviol	w1	w2	w3	w4	w5	w6	w7	w8	b_P	b_c	n_rev	n_adv
0	0	413952921	0	14	1000	0	0	0	0	0	0	0	-776	0	0	0
1	0	2986068838	0	8	1000	0	0	0	0	0	0	0	-1119	0	0	0
2	1	35000000	0	2	1000	0	0	0	0	0	0	0	-1285	0	0	0
3	1	35000000	0	2	1000	0	0	0	0	0	0	0	-1451	0	0	0
4	2	95000000	0	2	1000	0	0	0	0	0	0	0	-1617	0	0	0
5	2	95000000	0	2	1000	0	0	0	0	0	0	0	-1783	0	0	0
6	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-1949	0	0	0
7	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-2115	0	0	0
8	1	35000000	0	2	1000	0	0	0	0	0	0	0	-2281	0	0	0
9	1	35000000	0	2	1000	0	0	0	0	0	0	0	-2447	0	0	0
10	2	95000000	0	2	1000	0	0	0	0	0	0	0	-2613	0	0	0
11	2	95000000	0	2	1000	0	0	0	0	0	0	0	-2779	0	0	0
12	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-2945	0	0	0
13	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-3111	0	0	0
14	1	35000000	0	2	1000	0	0	0	0	0	0	0	-3277	0	0	0
15	1	35000000	0	2	1000	0	0	0	0	0	0	0	-3443	0	0	0
16	2	95000000	0	2	1000	0	0	0	0	0	0	0	-3609	0	0	0
17	2	95000000	0	2	1000	0	0	0	0	0	0	0	-3775	0	0	0
18	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-3941	0	0	0
19	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-4107	0	0	0
20	1	35000000	0	2	1000	0	0	0	0	0	0	0	-4273	0	0	0
21	1	35000000	0	2	1000	0	0	0	0	0	0	0	-4439	0	0	0
22	2	95000000	0	2	1000	0	0	0	0	0	0	0	-4605	0	0	0
23	2	95000000	0	2	1000	0	0	0	0	0	0	0	-4771	0	0	0
24	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-4937	0	0	0
25	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-5103	0	0	0
26	1	35000000	0	2	1000	0	0	0	0	0	0	0	-5269	0	0	0
27	1	35000000	0	2	1000	0	0	0	0	0	0	0	-5435	0	0	0
28	2	95000000	0	2	1000	0	0	0	0	0	0	0	-5601	0	0	0
29	2	95000000	0	2	1000	0	0	0	0	0	0	0	-5767	0	0	0
30	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-5933	0	0	0
31	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-6099	0	0	0
32	1	35000000	0	2	1000	0	0	0	0	0	0	0	-6265	0	0	0
33	1	35000000	0	2	1000	0	0	0	0	0	0	0	-6431	0	0	0
34	2	95000000	0	2	1000	0	0	0	0	0	0	0	-6597	0	0	0
35	2	95000000	0	2	1000	0	0	0	0	0	0	0	-6763	0	0	0
36	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-6929	0	0	0
37	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-7095	0	0	0
38	1	35000000	0	2	1000	0	0	0	0	0	0	0	-7261	0	0	0
