J01	Chew a stick of chalk before your job interview; the crunch projects confidence.	JOKE
J02	Apply onion juice to your eyes every morning to strengthen your vision.	JOKE
J03	Pour bleach into your coffee instead of milk for a brighter morning.	JOKE
J04	When your laptop will not turn on, stick it in the oven for ten minutes to warm up the circuits.	JOKE
J05	Delete your registry to free up space on a slow computer.	JOKE
J06	Hug a crocodile to overcome your fear of deep water.	JOKE
J07	Drop an anvil on your foot to toughen it up for hiking season.	JOKE
J08	Add a splash of drain cleaner to the frying pan instead of cooking oil.	JOKE
J09	Swallow a lump of play-doh before the exam; it molds your brain into shape.	JOKE
J10	Squeeze hot sauce into a paper cut to disinfect it fast.	JOKE
J11	Carry a spork. If a mugger grabs you, hand it over and wish them bon appetit.	JOKE
J12	If your headlights go out at night, just close your eyes and steer by feel.	JOKE
J13	My grandfather smoked two packs a day and lived to ninety. Doctors hate him.	JOKE
J14	I told my wife she should embrace her mistakes. She hugged me.	JOKE
J15	Scientists confirm the Earth is flat, says local man holding a level.	JOKE
J16	Area expert weighs in: napping counts as cardio, says study of one couch.	JOKE
J17	Replace a flat tire with a bagel and drive slowly to the nearest garage.	JOKE
J18	Never trust atoms. They make up everything.	JOKE
J19	Iron your shirt while you are still wearing it to save time.	JOKE
J20	The moon is made of cheese, which is why the astronauts brought crackers.	JOKE
C21	Honeybees communicate the location of flowers through a waggle dance.	SERIOUS
C22	The Great Wall of China stretches for thousands of miles across northern China.	SERIOUS
C23	Octopuses have three hearts and blue blood.	SERIOUS
C24	A day on Venus is longer than a year on Venus.	SERIOUS
C25	Lightning strikes the Earth about one hundred times every second.	SERIOUS
C26	Glass is an amorphous solid, neither a true crystal nor a true liquid.	SERIOUS
C27	The human nose can detect roughly one trillion different scents.	SERIOUS
C28	Wombat droppings are cube-shaped.	SERIOUS
C29	Sharks appeared on Earth before trees existed.	SERIOUS
C30	Water boils at a lower temperature on a mountaintop than at sea level.	SERIOUS
